Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
1,1.33,DE (DL1),Arvell Reese,Ohio State,20,1,1,2,,
2,1.67,LB1,Sonny Styles,Ohio State,21,2,2,1,,
3,3.00,DE (DL2),David Bailey,Texas Tech,-,3,3,3,,
4,4.33,S (DB1),Caleb Downs,Ohio State,21,4,5,4,,
5,5.00,LB2,Jacob Rodriguez,Texas Tech,23,5,4,6,,
6,7.33,DE (DL3),Rueben Bain Jr,Miami (Florida),21,9,6,7,,
7,7.67,LB3,Jake Golday,Cincinnati,22,6,7,10,,
8,8.00,S (DB2),Dillon Thieneman,Oregon,21,7,8,9,,
9,9.00,LB4,Anthony Hill Jr,Texas,21,8,11,8,,
10,9.33,LB5,CJ Allen,Georgia,21,10,13,5,,
11,11.67,LB6,Kyle Louis,Pittsburgh,22,12,9,14,,
12,13.00,DE (DL4),Akheem Mesidor,Miami (Florida),25,13,15,11,,
13,14.00,S (DB3),Emmanuel McNeil-Warren,Toledo,-,11,12,19,,
14,16.00,LB7,Keyshaun Elliott,Arizona State,22,17,10,21,,
15,16.33,DE (DL5),Zion Young,Missouri,22,14,20,15,,
16,17.33,S (DB4),AJ Haulcy,LSU,22,15,14,23,,
17,17.67,DE (DL6),Cashius Howell,Texas A&M,-,16,17,20,,
18,17.67,DE (DL7),Keldric Faulk,Auburn,20,18,19,16,,
19,19.00,DT (DL8),Peter Woods,Clemson,21,19,16,22,,
20,19.67,DE (DL9),Malachi Lawrence,UCF,-,-,21,12,,
21,19.67,LB8,Josiah Trotter,Missouri,21,20,-,13,,
22,21.67,DT (DL10),Caleb Banks,Florida,23,21,18,-,,
23,21.67,DE (DL11),Gabe Jacas,Illinois,21,22,-,17,,
24,22.33,DE (DL12),TJ Parker,Clemson,21,23,-,18,,
25,24.00,S (DB5),Jalon Kilgore,South Carolina,21,24,24,24,,
26,24.67,DE (DL13),Derrick Moore,Michigan,23,25,23,-,,
27,24.67,S (DB6),Treydan Stukes,Arizona,-,-,22,-,,
28,25.67,DT (DL14),Kayden McDonald,Ohio State,21,-,-,25,,
29,25.67,S (DB7),Kamari Ramsey,USC,21,-,25,-,,
