Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
1,1.00,DE (DL1),Aidan Hutchinson,DET,25,1,1,1,,
2,2.00,DE (DL2),Will Anderson Jr,HOU,24,2,2,2,,
3,3.67,DE (DL3),Micah Parsons,GB,26,3,5,3,,
4,4.67,DE (DL4),Jared Verse,LAR,25,4,6,4,,
5,5.67,LB1,Jack Campbell,DET,26,5,4,8,,
6,6.00,LB2,Carson Schwesinger,CLE,-,6,3,9,,
7,6.67,DE (DL5),Myles Garrett,CLE,30,7,8,5,,
8,7.33,DE (DL6),Nick Bosa,SF,28,8,7,7,,
9,9.67,DE (DL7),Maxx Crosby,LV,28,9,14,6,,
10,10.33,DE (DL8),Abdul Carter,NYG,22,11,9,11,,
11,10.67,DE (DL9),Nik Bonitto,DEN,-,10,12,10,,
12,12.33,LB3,Edgerrin Cooper,GB,24,12,11,14,,
13,13.33,DE (DL10),Brian Burns,NYG,27,14,13,13,,
14,13.33,LB4,Ernest Jones,SEA,26,13,10,17,,
15,14.00,DE (DL11),TJ Watt,PIT,31,15,15,12,,
16,16.00,LB5,Roquan Smith,BAL,29,16,17,15,,
17,17.00,LB6,Jamien Sherwood,NYJ,-,17,16,18,,
18,18.33,LB7,Fred Warner,SF,29,18,18,19,,
19,18.67,LB8,Nick Bolton,KC,26,19,21,16,,
20,20.67,LB9,Zack Baun,PHI,29,20,19,23,,
21,21.67,LB10,Jordyn Brooks,MIA,28,21,20,24,,
22,23.67,DE (DL12),Alex Highsmith,PIT,28,22,29,20,,
23,24.00,DE (DL13),Laiatu Latu,IND,25,23,28,21,,
24,25.33,DE (DL14),Josh Hines-Allen,JAC,28,24,30,22,,
25,25.67,DT (DL15),Jalen Carter,PHI,25,25,26,26,,
26,29.33,LB11,Daiyan Henley,LAC,26,26,23,39,,
27,31.67,DE (DL16),Danielle Hunter,HOU,31,27,34,34,,
28,32.00,DT (DL17),Jeffery Simmons,TEN,28,29,27,40,,
29,32.67,DE (DL18),Tuli Tuipulotu,LAC,23,28,45,25,,
30,33.00,LB12,Jihaad Campbell,PHI,22,31,33,35,,
31,33.33,LB13,Quay Walker,LV,25,30,39,31,,
32,34.00,LB14,Foye Oluokun,JAC,30,32,24,46,,
33,34.67,DE (DL19),Gregory Rousseau,BUF,26,33,43,28,,
34,35.33,LB15,Nakobe Dean,LV,25,36,40,30,,
35,38.67,LB16,Cedric Gray,TEN,-,65,22,29,,
36,39.00,LB17,Payton Wilson,PIT,25,35,46,36,,
37,40.00,DE (DL20),Chop Robinson,MIA,22,34,59,27,,
38,41.00,LB18,Terrel Bernard,BUF,-,37,44,42,,
39,41.00,DT (DL21),Byron Murphy II,SEA,23,38,25,60,,
40,41.67,S (DB1),Brian Branch,DET,24,39,49,37,,
41,42.33,LB19,TJ Edwards,CHI,29,40,54,33,,
42,42.33,DE (DL22),Dallas Turner,MIN,23,42,32,53,,
43,43.00,LB20,Zaire Franklin,IND,29,41,56,32,,
44,43.33,S (DB2),Kyle Hamilton,BAL,25,44,36,50,,
45,44.67,DE (DL23),Jonathan Greenard,MIN,28,43,48,43,,
46,45.00,LB21,Azeez Al-Shaair,HOU,28,45,52,38,,
47,47.33,LB22,Devin Lloyd,CAR,27,49,38,55,,
48,50.33,LB23,Kaden Elliss,NO,30,47,60,44,,
49,50.33,LB24,Patrick Queen,PIT,26,48,51,52,,
50,51.33,DE (DL24),George Karlaftis,KC,25,50,50,54,,
51,53.33,DE (DL25),Trey Hendrickson,BAL,31,51,62,47,,
52,54.67,LB25,Quincy Williams,NYJ,29,46,77,41,,
53,55.33,DT (DL26),Quinnen Williams,DAL,28,53,64,49,,
54,56.67,DT (DL27),Dexter Lawrence,NYG,28,54,68,48,,
55,57.33,S (DB3),Nick Emmanwori,SEA,22,67,35,70,,
56,57.67,DE (DL28),Jaelan Phillips,CAR,26,52,41,80,,
57,58.67,LB26,Tremaine Edmunds,NYG,27,55,42,79,,
58,59.67,DT (DL29),Kobie Turner,LAR,26,57,63,59,,
59,60.33,DE (DL30),Travon Walker,JAC,25,56,80,45,,
60,63.33,DE (DL31),Jalon Walker,ATL,22,59,47,84,,
61,64.33,LB27,Robert Spillane,NE,30,60,55,78,,
62,64.67,DT (DL32),DeForest Buckner,IND,32,61,67,66,,
63,69.00,LB28,Blake Cashman,MIN,-,64,53,90,,
64,69.00,S (DB4),Antoine Winfield,TB,27,68,88,51,,
65,69.67,DE (DL33),YaYa Diaby,TB,26,62,84,63,,
66,71.67,DE (DL34),Kayvon Thibodeaux,NYG,25,63,83,69,,
67,72.00,S (DB5),Budda Baker,ARI,30,71,71,74,,
68,72.00,DE (DL35),Byron Young,LAR,28,69,61,86,,
69,72.67,S (DB6),Nick Cross,WAS,-,74,72,72,,
70,73.67,S (DB7),Derwin James,LAC,29,75,73,73,,
71,74.00,LB29,Bobby Okereke,FA,29,58,107,57,,
72,77.33,LB30,Frankie Luvu,WAS,29,70,104,58,,
73,81.33,DT (DL36),Zach Allen,DEN,28,73,86,85,,
74,81.67,CB (DB8),Devon Witherspoon,SEA,25,78,96,71,,
75,82.33,DE (DL37),Jermaine Johnson,TEN,27,77,105,65,,
76,83.00,LB31,Dee Winters,SF,25,66,78,105,,
77,83.67,DE (DL38),Will McDonald IV,NYJ,26,79,108,64,,
78,84.00,DT (DL39),Derrick Brown,CAR,27,72,91,89,,
79,84.00,DE (DL40),Jonathon Cooper,DEN,-,76,94,82,,
80,87.00,DT (DL41),Calijah Kancey,TB,25,80,119,62,,
81,87.67,LB32,Nate Landman,LAR,27,81,31,-,,
82,88.33,LB33,Devin Bush,CHI,27,-,58,56,,
83,89.00,S (DB9),Tykee Smith,TB,25,90,85,92,,
84,91.00,DT (DL42),Braden Fiske,LAR,-,84,101,88,,
85,91.33,DE (DL43),Andrew Van Ginkel,MIN,-,89,69,116,,
86,91.33,LB34,DeMarvion Overshown,DAL,25,86,37,-,,
87,92.33,DE (DL44),Mykel Williams,SF,21,82,128,67,,
88,92.67,S (DB10),Xavier McKinney,GB,26,85,117,76,,
89,93.33,CB (DB11),Cooper DeJean,PHI,-,88,65,127,,
90,97.33,LB35,Dre Greenlaw,SF,28,87,122,83,,
91,98.33,DT (DL45),Leonard Williams,SEA,31,95,66,134,,
92,98.67,DT (DL46),Jer'Zhan Newton,WAS,23,93,100,103,,
93,99.00,DE (DL47),Nick Herbig,PIT,24,92,103,102,,
94,99.00,DT (DL48),Mason Graham,CLE,22,91,102,104,,
95,100.67,DT (DL49),Ed Oliver,BUF,28,96,98,108,,
96,102.00,DE (DL50),Nolan Smith,PHI,25,94,-,61,,
97,102.67,LB36,Tyrel Dodson,MIA,-,98,111,99,,
98,104.00,DE (DL51),Montez Sweat,CHI,29,97,138,77,,
99,105.33,LB37,Trevin Wallace,CAR,23,99,116,101,,
100,106.00,S (DB12),Jessie Bates,ATL,29,101,120,97,,
101,107.00,DE (DL52),Mike Green,BAL,-,102,-,68,,
102,107.33,LB38,Alex Singleton,DEN,32,129,74,119,,
103,108.33,DT (DL53),Justin Madubuike,BAL,28,104,134,87,,
104,109.67,DE (DL54),Rashan Gary,DAL,28,100,148,81,,
105,109.67,LB39,Teddye Buchanan,BAL,23,103,93,133,,
106,110.33,LB40,Bobby Wagner,WAS,35,83,135,113,,
107,110.33,S (DB13),Tyler Nubin,NYG,24,105,-,75,,
108,111.67,LB41,Leo Chenal,WAS,25,127,57,-,,
109,112.67,LB42,Divine Deablo,ATL,27,112,75,-,,
110,112.67,LB43,Drake Thomas,SEA,26,111,76,-,,
111,113.00,DE (DL55),Donovan Ezeiruaku,DAL,22,107,81,-,,
112,113.33,S (DB14),Jalen Pitre,HOU,26,119,70,-,,
113,113.67,DE (DL56),Chase Young,NO,26,108,82,-,,
114,116.00,S (DB15),Malaki Starks,BAL,22,117,114,117,,
115,116.00,DT (DL57),Walter Nolen,ARI,22,110,87,-,,
116,116.33,DE (DL58),Jalyx Hunt,PHI,-,109,89,-,,
117,116.67,S (DB16),Julian Love,SEA,28,114,113,123,,
118,117.00,DE (DL59),James Pearce Jr,ATL,22,106,-,94,,
119,117.33,DT (DL60),Zach Sieler,MIA,-,115,130,107,,
120,117.67,S (DB17),Kamren Curl,LAR,27,124,79,150,,
121,118.00,WR1,Travis Hunter,JAC,22,113,90,-,,
122,119.67,S (DB18),Quentin Lake,LAR,27,116,92,-,,
123,120.67,LB44,Junior Colson,LAC,23,120,-,91,,
124,121.00,DE (DL61),Boye Mafe,CIN,27,131,132,100,,
