name,rank
Aidan Hutchinson,1
Will Anderson Jr,2
Micah Parsons,3.67
Jack Campbell,4
Carson Schwesinger,4.33
Myles Garrett,7
Jared Verse,7
Sonny Styles,7.33
Nick Bosa,10
Abdul Carter,10.33
Nik Bonitto,12.33
Edgerrin Cooper,12.33
Maxx Crosby,14.67
Ernest Jones,15.67
Brian Burns,17
Fred Warner,17.67
Jamien Sherwood,19
Roquan Smith,20
Arvell Reese,20.67
Dallas Turner,21
David Bailey,21
TJ Watt,21.67
Nick Bolton,22
Jordyn Brooks,22.67
Cedric Gray,23.33
Jihaad Campbell,24
Zack Baun,27.33
Laiatu Latu,28
CJ Allen,28.67
Quay Walker,34
Nick Emmanwori,34
Tuli Tuipulotu,34.33
Foye Oluokun,34.67
Josh Hines-Allen,36
Nakobe Dean,37.33
Kyle Hamilton,38
Daiyan Henley,38
Danielle Hunter,39
Jeffery Simmons,39.67
Caleb Downs,41.33
Jacob Rodriguez,41.33
Jalen Carter,41.67
Byron Murphy II,42.67
Alex Highsmith,43.33
Gregory Rousseau,44
Travis Hunter,46
Payton Wilson,46
Zaire Franklin,47.67
Brian Branch,51
Azeez Al-Shaair,51
Nate Landman,51
Terrel Bernard,54.33
Devin Lloyd,55.67
Jonathan Greenard,56
TJ Edwards,56.33
George Karlaftis,58
Kaden Elliss,59
Chop Robinson,59.67
Rueben Bain Jr,60
Dexter Lawrence,64
Quinnen Williams,64
Jaelan Phillips,64
Patrick Queen,65
Robert Spillane,65.33
Quincy Williams,67
Blake Cashman,67.67
Nick Cross,67.67
Devin Bush,70
Tremaine Edmunds,72
Byron Young,72
Anthony Hill Jr,72.33
Trey Hendrickson,72.67
Kobie Turner,76
Derwin James,76.67
Antoine Winfield,77
Dee Winters,77.33
Travon Walker,79
Budda Baker,79.33
Jalon Walker,82
DeForest Buckner,82.33
Dillon Thieneman,82.67
Tykee Smith,84
Cooper DeJean,85
Devon Witherspoon,85.33
Zach Allen,90.33
Josiah Trotter,90.33
DeMarvion Overshown,91.67
Nick Herbig,93.33
Alex Singleton,94
Andrew Van Ginkel,95.33
Kayvon Thibodeaux,95.67
YaYa Diaby,96.33
Frankie Luvu,96.67
Derrick Brown,97.67
Jermaine Johnson,98.33
Dre Greenlaw,101.33
Xavier McKinney,102.67
Montez Sweat,103
Will McDonald IV,106.67
Walter Nolen,106.67
Braden Fiske,107
Jake Golday,107
Leonard Williams,107.67
Calijah Kancey,108.33
Divine Deablo,109
Quentin Lake,109.67
Drake Thomas,110
Jalen Pitre,110.33
Mason Graham,110.33
Ed Oliver,110.67
Barrett Carter,111
Kamren Curl,113.33
Demetrius Knight Jr,115.33
AJ Haulcy,115.33
Tyler Nubin,116.33
Julian Love,117.33
Nolan Smith,118.67
Jer'Zhan Newton,119.33
Jonathon Cooper,121.33
Teddye Buchanan,121.67
Kaleb Elarms-Orr,121.67
Jessie Bates,123
Emmanuel McNeil-Warren,123
Talanoa Hufanga,123.67
Tre'von Moehrig,123.67
Donovan Ezeiruaku,124
Zach Sieler,124.67
Tyrel Dodson,124.67
James Pearce Jr,125.33
Chase Young,125.67
Carl Granderson,127.67
Chris Jones,128.33
Jalen Thompson,129.33
Mike Green,131.33
Justin Madubuike,132
Trevin Wallace,132.33
Mykel Williams,132.33
Malaki Starks,132.67
Rashan Gary,133
Eric Wilson,133.67
Leo Chenal,134.33
Boye Mafe,134.67
Kyle Louis,135
Jaquan Brisker,136.67
Kevin Winston Jr,138.33
Jalyx Hunt,139.33
Derrick Harmon,139.33
Tyrice Knight,140.33
Xavier Watts,141
Junior Colson,141.33
Jonas Sanker,142
Jordan Battle,142.33
Bradley Chubb,142.67
Danny Stutsman,142.67
Jeremy Chinn,144
Jordan Davis,144.67
Uchenna Nwosu,145
Demario Davis,145.33
Josh Sweat,145.67
Cole Bishop,145.67
Alex Anzalone,146.33
Bobby Okereke,146.67
Peter Woods,147.67
Gervon Dexter,148
Dadrion Taylor-Demerson,148.33
Lukas Van Ness,148.67
Milton Williams,149.67
Odafe Oweh,150
Osa Odighizuwa,150.33
Henry To'oTo'o,150.67
Andrew Mukuba,150.67
