name,rank,value
Sonny Styles,1.33,
Jacob Rodriguez,2,
David Bailey,3.33,
Arvell Reese,3.67,
Caleb Downs,5.33,
Dillon Thieneman,7.67,
Anthony Hill Jr,7.67,
Josiah Trotter,7.67,
CJ Allen,9,
Rueben Bain Jr,9.33,
Jake Golday,12,
Akheem Mesidor,14.33,
AJ Haulcy,14.33,
Emmanuel McNeil-Warren,16,
Peter Woods,16.33,
Malachi Lawrence,17.33,
Kaleb Elarms-Orr,17.67,
Jaishawn Barham,18.33,
Cashius Howell,18.67,
Gabe Jacas,20.33,
Zion Young,21.67,
Kyle Louis,21.67,
R Mason Thomas,22,
Keldric Faulk,22.67,
Kendal Daniels,22.67,
Keyshaun Elliott,23.67,
Treydan Stukes,24.33,
Derrick Moore,24.67,
TJ Parker,24.67,
Bryce Boettcher,24.67,
