name,rank,value
Jeremiyah Love,1.20,
Fernando Mendoza,2,
Jordyn Tyson,3.40,
Carnell Tate,3.80,
KC Concepcion,5.60,
Makai Lemon,5.80,
Jadarian Price,6.80,
Denzel Boston,8.20,
Kenyon Sadiq,9.20,
Omar Cooper,10.40,
De'Zhaun Stribling,11.60,
Ty Simpson,13.80,
Jonah Coleman,14.40,
Ted Hurst,16,
Chris Bell,16.40,
Germie Bernard,17.60,
Antonio Williams,18.40,
Eli Stowers,18.80,
Mike Washington Jr,19.60,
Kaelon Black,20.60,
Emmett Johnson,21,
Carson Beck,22.60,
Ja'Kobi Lane,22.80,
Caleb Douglas,26,
Zachariah Branch,26.20,
Cyrus Allen,26.60,
Nicholas Singleton,28.60,
Max Klare,28.80,
Malachi Fields,29,
Eli Raridon,29,
Elijah Sarratt,31.40,
Kaytron Allen,32,
Bryce Lance,32,
Demond Claiborne,32.20,
Chris Brazzell II,37,
Seth McGowan,37.60,
Oscar Delp,37.60,
Drew Allar,38.40,
Skyler Bell,38.40,
Brenen Thompson,39.20,
Adam Randall,39.40,
Cade Klubnik,42.40,
Colbie Young,42.40,
Josh Cameron,42.80,
Eli Heidenreich,44,
Zavion Thomas,45.20,
Kevin Coleman Jr,46,
Barion Brown,46.40,
Taylen Green,46.40,
Tanner Koziol,46.60,
Nate Boerkircher,46.60,
Cole Payton,47.60,
Justin Joly,47.80,
CJ Daniels,47.80,
Malik Benson,48,
Sam Roush,48.60,
