name,rank
Josh Allen,1
Ja'Marr Chase,3.67
Drake Maye,4.33
Jaxon Smith-Njigba,4.50
Lamar Jackson,5.17
Puka Nacua,6.83
Jahmyr Gibbs,8.83
Bijan Robinson,9.33
Jalen Hurts,9.83
Amon-Ra St. Brown,10.17
Jayden Daniels,11.33
Justin Jefferson,13.83
CeeDee Lamb,14.50
Joe Burrow,14.50
Brock Bowers,15
Malik Nabers,16.17
Caleb Williams,16.33
Justin Herbert,18.67
Trey McBride,20.33
Drake London,20.83
Ashton Jeanty,21
Patrick Mahomes,22.83
Jeremiyah Love,23
Jaxson Dart,23.67
Trevor Lawrence,26.33
Tetairoa McMillan,26.83
Emeka Egbuka,28.67
Nico Collins,28.83
De'Von Achane,29
Jordan Love,31.50
Bo Nix,33.17
George Pickens,34.33
Brock Purdy,35.17
Garrett Wilson,35.67
Omarion Hampton,36.33
Dak Prescott,38.50
Colston Loveland,38.83
Jonathan Taylor,40
Tyler Warren,41.67
Jordyn Tyson,41.67
DeVonta Smith,42.67
Ladd McConkey,45.50
AJ Brown,45.83
Carnell Tate,46.33
Breece Hall,46.67
Baker Mayfield,48.67
Rome Odunze,49
Jaylen Waddle,49.83
Zay Flowers,50.17
Brian Thomas Jr,51.17
Chris Olave,51.50
James Cook,52.33
Jared Goff,52.67
CJ Stroud,53.50
Fernando Mendoza,53.83
Tee Higgins,57.83
Marvin Harrison Jr,59.17
Rashee Rice,60.50
Luther Burden,60.50
Saquon Barkley,60.83
Kenneth Walker,63.67
Harold Fannin,63.67
Kyler Murray,65.17
Chase Brown,65.17
Jameson Williams,66.67
Cam Ward,67
Christian McCaffrey,67.17
Sam LaPorta,68.17
Kyren Williams,68.83
Makai Lemon,68.83
Tucker Kraft,72.83
Jadarian Price,74
Bucky Irving,74.33
Quinshon Judkins,75.17
DK Metcalf,75.83
TreVeyon Henderson,76.17
Jordan Addison,79.50
Kyle Pitts,80
Sam Darnold,81.33
Cam Skattebo,82
DJ Moore,83
Omar Cooper,86
Travis Etienne,86.33
Tyler Shough,86.50
KC Concepcion,87.67
Jayden Reed,87.83
Davante Adams,88.83
