name,pos,team,value
Josh Allen,QB,BUF,984.7047
Ja'Marr Chase,WR,CIN,935.7288
Jahmyr Gibbs,RB,DET,902.8878
Drake Maye,QB,NE,899.6613
Jaxon Smith-Njigba,WR,SEA,885.4398
Bijan Robinson,RB,ATL,875.2088
Lamar Jackson,QB,BAL,854.8960
Brock Bowers,TE,LV,845.5756
Puka Nacua,WR,LAR,843.3476
Amon-Ra St. Brown,WR,DET,815.4956
Jayden Daniels,QB,WAS,762.8315
Caleb Williams,QB,CHI,758.0040
Trey McBride,TE,ARI,731.4194
Justin Jefferson,WR,MIN,724.2085
Joe Burrow,QB,CIN,723.4445
Malik Nabers,WR,NYG,707.3430
Ashton Jeanty,RB,LV,691.3773
CeeDee Lamb,WR,DAL,677.9541
Justin Herbert,QB,LAC,671.0211
Jalen Hurts,QB,PHI,668.2294
Jeremiyah Love,RB,ARI,661.2978
Patrick Mahomes,QB,KC,625.5110
Drake London,WR,ATL,620.7514
De'Von Achane,RB,MIA,603.8433
Colston Loveland,TE,CHI,597.4290
Trevor Lawrence,QB,JAC,576.4208
Omarion Hampton,RB,LAC,567.2058
Jonathan Taylor,RB,IND,546.5592
Jaxson Dart,QB,NYG,542.6832
Tyler Warren,TE,IND,535.4236
Tetairoa McMillan,WR,CAR,517.3692
James Cook,RB,BUF,514.4082
Bo Nix,QB,DEN,501.8871
Nico Collins,WR,HOU,474.7757
Emeka Egbuka,WR,TB,473.8305
George Pickens,WR,DAL,457.8054
Brock Purdy,QB,SF,455.5771
Garrett Wilson,WR,NYJ,434.8180
Jordan Love,QB,GB,433.6811
Kenneth Walker,RB,KC,407.1908
Ladd McConkey,WR,LAC,402.7399
Dak Prescott,QB,DAL,394.0536
Chris Olave,WR,NO,392.3259
Zay Flowers,WR,BAL,378.5728
Chase Brown,RB,CIN,374.4638
Breece Hall,RB,NYJ,370.6030
Christian McCaffrey,RB,SF,360.1194
DeVonta Smith,WR,PHI,353.6726
Carnell Tate,WR,TEN,348.6613
Saquon Barkley,RB,PHI,334.8568
Tucker Kraft,TE,GB,333.6875
Jared Goff,QB,DET,323.6786
Fernando Mendoza,QB,LV,322.4942
Luther Burden,WR,CHI,308.6870
Harold Fannin,TE,CLE,307.4246
Jaylen Waddle,WR,DEN,304.8747
Rome Odunze,WR,CHI,303.4765
Jordyn Tyson,WR,NO,298.5970
AJ Brown,WR,NE,289.6359
Quinshon Judkins,RB,CLE,288.5163
Rashee Rice,WR,KC,283.1667
Tee Higgins,WR,CIN,282.5656
Baker Mayfield,QB,TB,282.2149
Sam LaPorta,TE,DET,274.7354
Jadarian Price,RB,SEA,261.9509
Kyren Williams,RB,LAR,260.1595
Kyle Pitts,TE,ATL,256.3871
Jameson Williams,WR,DET,236.8088
Brian Thomas Jr,WR,JAC,230.0366
TreVeyon Henderson,RB,NE,227.7818
Bucky Irving,RB,TB,223.4577
CJ Stroud,QB,HOU,222.1977
Tyler Shough,QB,NO,221.0085
Makai Lemon,WR,PHI,215.1841
Marvin Harrison Jr,WR,ARI,207.4642
Javonte Williams,RB,DAL,203.7397
Travis Etienne,RB,NO,199.0354
Kyler Murray,QB,MIN,198.7263
Cam Skattebo,RB,NYG,198.4008
Cam Ward,QB,TEN,190.7616
KC Concepcion,WR,CLE,188.6023
Derrick Henry,RB,BAL,167.6359
Kenyon Sadiq,TE,NYJ,166.8096
Sam Darnold,QB,SEA,164.9859
Parker Washington,WR,JAC,162.7334
DJ Moore,WR,BUF,157.2611
D'Andre Swift,RB,CHI,154.7567
Bhayshul Tuten,RB,JAC,146.4552
Matthew Stafford,QB,LAR,137.9900
Christian Watson,WR,GB,137.1287
Daniel Jones,QB,IND,134.7897
Jordan Addison,WR,MIN,134.6474
Dalton Kincaid,TE,BUF,133.7181
Bryce Young,QB,CAR,133.1212
George Kittle,TE,SF,132.1137
Terry McLaurin,WR,WAS,119.6023
DK Metcalf,WR,PIT,117.8048
Denzel Boston,WR,CLE,116.9152
De'Zhaun Stribling,WR,SF,116.9055
Davante Adams,WR,LAR,115.2398
Isaiah Likely,TE,NYG,110.6144
Josh Downs,WR,IND,109.5361
RJ Harvey,RB,DEN,109.3030
Matthew Golden,WR,GB,107.6424
Alec Pierce,WR,IND,103.7396
Malik Willis,QB,MIA,103.6143
