asset,year,round,slot,overall,value
2026 1.01 (1),2026,1,1,1,625.0000
2026 1.02 (2),2026,1,2,2,425.0000
2026 1.03 (3),2026,1,3,3,350.0000
2026 1.04 (4),2026,1,4,4,300.0000
2026 1.05 (5),2026,1,5,5,250.0000
2026 1.06 (6),2026,1,6,6,225.0000
2026 1.07 (7),2026,1,7,7,175.0000
2026 1.08 (8),2026,1,8,8,156.2500
2026 1.09 (9),2026,1,9,9,143.7500
2026 1.10 (10),2026,1,10,10,68.7500
2026 1.11 (11),2026,1,11,11,62.5000
2026 1.12 (12),2026,1,12,12,59.3800
2026 2.01 (13),2026,2,1,13,56.2500
2026 2.02 (14),2026,2,2,14,53.1300
2026 2.03 (15),2026,2,3,15,50.0000
2026 2.04 (16),2026,2,4,16,46.8800
2026 2.05 (17),2026,2,5,17,43.7500
2026 2.06 (18),2026,2,6,18,40.6300
2026 2.07 (19),2026,2,7,19,37.5000
2026 2.08 (20),2026,2,8,20,34.3800
2026 2.09 (21),2026,2,9,21,31.2500
2026 2.10 (22),2026,2,10,22,28.1300
2026 2.11 (23),2026,2,11,23,25.0000
2026 2.12 (24),2026,2,12,24,21.8800
2026 3.01 (25),2026,3,1,25,18.7500
2026 3.02 (26),2026,3,2,26,17.1900
2026 3.03 (27),2026,3,3,27,15.6300
2026 3.04 (28),2026,3,4,28,14.0600
2026 3.05 (29),2026,3,5,29,12.5000
2026 3.06 (30),2026,3,6,30,10.9400
2026 3.07 (31),2026,3,7,31,10.6300
2026 3.08 (32),2026,3,8,32,10.3100
2026 3.09 (33),2026,3,9,33,10.0000
2026 3.10 (34),2026,3,10,34,9.6900
2026 3.11 (35),2026,3,11,35,9.3800
2026 3.12 (36),2026,3,12,36,9.0600
2026 4.01 (37),2026,4,1,37,8.1300
2026 4.02 (38),2026,4,2,38,7.5000
2026 4.03 (39),2026,4,3,39,6.8800
2026 4.04 (40),2026,4,4,40,6.2500
2026 4.05 (41),2026,4,5,41,5.6300
2026 4.06 (42),2026,4,6,42,5.0000
2026 4.07 (43),2026,4,7,43,4.3800
2026 4.08 (44),2026,4,8,44,3.7500
2026 4.09 (45),2026,4,9,45,3.1300
2026 4.10 (46),2026,4,10,46,2.5000
2026 4.11 (47),2026,4,11,47,1.8800
2026 4.12 (48),2026,4,12,48,1.2500
2026 5.01 (49),2026,5,1,49,1.1300
2026 5.02 (50),2026,5,2,50,1.0000
2026 5.03 (51),2026,5,3,51,0.8800
2026 5.04 (52),2026,5,4,52,0.7500
2026 5.05 (53),2026,5,5,53,0.6900
2026 5.06 (54),2026,5,6,54,0.6300
2026 5.07 (55),2026,5,7,55,0.5600
2026 5.08 (56),2026,5,8,56,0.5000
2026 5.09 (57),2026,5,9,57,0.4400
2026 5.10 (58),2026,5,10,58,0.3800
2026 5.11 (59),2026,5,11,59,0.3100
2026 5.12 (60),2026,5,12,60,0.2500
