Rank,Team,Player,Fantasy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
1,,Carson Schwesinger,LB,8.09,11,23.5,271,783,1295,2426,,54
2,,Cedric Gray,LB,13.04,9,23.8,230,697,1152,2158,,46
3,,Sonny Styles,LB,9.12,7,21.8,186,615,1062,2139,,42
4,,CJ Allen,LB,16.01,13,21.5,145,559,965,1943,,35
5,,Nick Emmanwori,DB,13.02,11,22.6,197,570,933,1773,,34
6,,Edgerrin Cooper,LB,10.02,11,24.8,212,557,900,1633,,33
7,,Jihaad Campbell,LB,17.05,10,22.5,175,534,903,1744,,33
8,,Jack Campbell,LB,8.05,6,26,227,553,876,1492,,32
9,,Jamien Sherwood,LB,11.05,13,26.7,228,550,871,1484,,32
10,,Nick Bolton,LB,11.10,5,26.5,212,530,838,1428,,30
11,,Arvell Reese,LB,12.02,8,21,166,480,791,1594,,28
12,,Ernest Jones,LB,13.08,11,26.8,211,492,778,1326,,27
13,,Kevin Winston Jr.,DB,21.03,9,22.8,174,494,809,1535,,27
14,,Quay Walker,LB,12.07,13,26.3,208,473,748,1275,,25
15,,Dillon Thieneman,DB,14.06,10,22.1,157,479,784,1489,,25
16,,Jordyn Brooks,LB,10.04,6,28.8,223,473,730,1165,,24
17,,Cooper DeJean,DB,13.11,10,23.6,206,465,753,1350,,24
18,,Devin Lloyd,LB,14.03,5,27.9,222,453,710,1170,,23
19,,Nakobe Dean,LB,11.04,13,25.8,191,448,721,1263,,23
20,,Daiyan Henley,LB,13.03,7,26.8,193,454,718,1224,,23
21,,Jacob Rodriguez,LB,18.03,6,24,176,440,711,1290,,23
22,,Fred Warner,LB,9.08,8,29.8,212,439,690,1174,,22
23,,Zack Baun,LB,10.06,10,29.7,237,441,671,1019,,22
24,,Caleb Downs,DB,10.07,14,21.8,153,432,704,1312,,20
25,,Devin Bush,LB,15.10,10,28.1,203,404,624,996,,18
26,,David Bailey,LB,15.05,13,23,116,389,655,1245,,18
27,,Tremaine Edmunds,LB,18.02,8,28.3,210,385,594,948,,17
28,,Barrett Carter,LB,20.12,6,23.8,165,375,606,1100,,17
29,,Blake Cashman,LB,14.10,6,30.3,228,391,584,866,,17
30,,DeMarvion Overshown,LB,21.09,14,26.1,212,365,579,986,,17
31,,Tykee Smith,DB,15.03,10,25.5,210,396,632,1098,,17
32,,Patrick Queen,LB,16.10,9,27.1,169,377,591,973,,16
33,,Trevin Wallace,LB,28.05,13,23.5,22,397,656,1229,,16
34,,Kool-Aid McKinstry,DB,88.05,8,23.9,186,385,601,1053,,14
35,,Terrel Bernard,LB,18.12,7,27.3,179,349,547,901,,14
36,,Foyesade Oluokun,LB,10.11,7,31.1,219,356,522,744,,13
37,,Roquan Smith,LB,8.07,13,29.4,198,349,530,805,,13
38,,Kyle Hamilton,DB,9.11,13,25.4,197,365,579,1001,,13
39,,Demetrius Knight Jr.,LB,17.03,6,26.1,163,338,535,911,,13
40,,Xavier Watts,DB,15.01,11,24.8,167,363,587,1059,,13
41,,Kamari Lassiter,DB,18.06,8,23.6,169,364,586,1036,,13
42,,Zaire Franklin,LB,14.01,11,30.2,166,352,526,780,,12
43,,Kaleb Elarms-Orr,LB,25.06,7,23,113,325,537,1006,,12
44,,Sirvocea Dennis,LB,28.07,10,26.5,40,370,585,997,,12
45,,Nik Bonitto,DL,10.09,10,26.9,160,341,531,759,,12
46,,Nathan Landman,LB,14.09,11,27.8,191,316,495,816,,12
47,,Divine Deablo,LB,25.08,11,28,180,321,495,790,,11
48,,T.J. Edwards,LB,20.11,10,30.1,206,322,482,714,,11
49,,Kaden Elliss,LB,16.05,8,31.2,188,332,486,694,,11
50,,Robert Spillane,LB,17.09,11,30.7,199,321,480,711,,11
51,,Will Johnson,DB,40.02,14,23.4,140,353,568,1005,,11
52,,Aidan Hutchinson,DL,7.06,6,26.1,193,384,634,966,,10
53,,Will Anderson Jr.,DL,8.10,8,25,170,363,609,999,,10
54,,Cody Simon,LB,26.06,14,24.4,42,328,531,963,,10
55,,Malaki Starks,DB,16.03,13,22.8,119,336,551,1046,,9
56,,Devon Witherspoon,DB,16.09,11,25.8,188,324,508,931,,9
57,,Frankie Luvu,LB,24.01,7,29.9,170,307,460,681,,9
58,,Cody Barton,LB,28.09,9,29.8,143,316,481,730,,9
59,,Riley Moss,DB,29.12,10,26.5,199,326,513,870,,9
60,,Antoine Winfield Jr.,DB,18.08,10,28,206,318,505,872,,9
61,,Brian Burns,DL,10.03,8,28.3,175,390,560,784,,9
62,,Maxwell Hairston,DB,39.11,7,23.1,146,333,535,946,,9
63,,Tuli Tuipulotu,DL,13.09,7,24,158,332,557,998,,9
64,,Jared Verse,DL,10.01,11,25.8,153,342,575,942,,9
65,,Dallas Turner,DL,14.12,6,23.6,114,283,469,883,,9
66,,Quincy Williams,LB,18.11,11,30,167,301,450,666,,8
67,,Brian Branch,DB,17.10,6,24.8,163,328,520,899,,8
68,,Maxx Crosby,DL,8.03,13,29,198,372,501,699,,8
69,,Anthony Hill Jr.,LB,19.04,9,21.5,96,268,462,930,,8
70,,Chris Johnson,DB,29.04,6,21.8,131,327,522,964,,8
71,,Malachi Moore,DB,79.05,13,25,146,325,523,902,,8
72,,Bobby Okereke,LB,26.02,5,30.1,145,297,445,659,,8
73,,Cole Bishop,DB,19.03,7,23.8,156,312,505,910,,7
74,,Alontae Taylor,DB,26.12,9,27.8,191,314,495,816,,7
75,,Gregory Rousseau,DL,17.01,7,26.4,158,319,526,802,,7
76,,Nate Wiggins,DB,88.09,13,23,155,314,505,893,,7
77,,Jalen Carter,DL,16.07,10,25.4,143,319,513,858,,7
78,,Abdul Carter,DL,12.01,8,22.9,132,300,498,936,,7
79,,Myles Garrett,DL,7.04,11,30.7,188,351,456,659,,7
80,,Eric Wilson,LB,22.03,6,31.9,197,279,398,554,,7
81,,Laiatu Latu,DL,17.02,13,25.7,140,305,512,839,,7
82,,D'Angelo Ponds,DB,31.10,13,21.7,123,317,507,936,,7
83,,Chamarri Conner,DB,13.07,5,26.2,166,311,492,823,,7
84,,Travon Walker,DL,20.04,7,25.7,123,265,444,728,,6
85,,George Karlaftis,DL,22.02,5,25.4,134,300,503,825,,6
86,,A.J. Haulcy,DB,19.06,13,22.7,150,299,488,914,,6
87,,Andrew Mukuba,DB,80.10,10,23.8,118,308,506,943,,6
88,,Talanoa Hufanga,DB,16.02,10,26.6,187,297,470,786,,6
89,,Jacob Parrish,DB,80.09,10,22.5,127,307,498,898,,6
90,,Donovan Ezeiruaku,LB,24.11,14,22.9,118,278,468,890,,6
91,,James Pearce,DL,25.04,11,22.9,109,285,473,889,,6
92,,Drue Tranquill,LB,21.06,5,31,164,273,399,569,,6
93,,Zach Allen,DL,23.07,10,29,143,318,471,655,,6
94,,Chase Young,DL,20.10,8,27.3,168,286,446,637,,5
95,,Derrick Harmon,DL,81.10,9,23.1,110,275,466,862,,5
96,,Henry To'oto'o,LB,23.09,8,25.7,133,249,400,701,,5
97,,Jonas Sanker,DB,80.02,8,23.8,95,310,506,913,,5
98,,Jeffery Simmons,DL,15.02,9,29.1,149,297,440,613,,5
99,,Nic Scourton,DL,31.05,5,22,0,302,500,978,,5
100,,Azeez Al-Shaair,LB,19.10,8,29.1,158,257,390,593,,5
101,,Mansoor Delane,DB,20.06,5,22.7,120,301,488,881,,5
102,,Trevon Moehrig,DB,15.07,5,27.2,178,293,456,737,,5
103,,Josh Hines-Allen,DL,14.08,7,29.2,163,301,405,565,,5
104,,Byron Young,DL,12.03,11,28.5,163,263,378,529,,5
105,,Alex Highsmith,DL,18.10,9,29.1,162,272,367,513,,5
106,,Calen Bullock,DB,27.11,8,23.3,119,292,479,893,,5
107,,Julian Blackmon,DB,55.05,8,28,144,306,473,762,,5
108,,Avieon Terrell,DB,23.10,11,21.7,116,297,474,876,,5
109,,Mike Green,DL,27.02,13,23.1,109,254,423,795,,5
110,,Christian Gonzalez,DB,20.08,11,24.2,160,291,454,806,,4
111,,Emmanuel McNeil-Warren,DB,20.03,11,22.7,88,300,490,918,,4
112,,Jessie Bates,DB,18.04,11,29.5,193,279,441,747,,4
113,,Byron Murphy II,DL,21.01,11,24,104,257,426,754,,4
114,,Derek Stingley,DB,24.07,8,25.2,161,290,448,771,,4
