name,value,rank
Jahmyr Gibbs,10200,1
Josh Allen,10200,2
Bijan Robinson,10200,3
Ja'Marr Chase,10086,4
Drake Maye,9517,5
Jaxon Smith-Njigba,9361,6
Puka Nacua,8964,7
Brock Bowers,8543,8
Caleb Williams,7912,9
Amon-Ra St. Brown,7706,10
Jayden Daniels,7669,11
Ashton Jeanty,7594,12
Lamar Jackson,7532,13
Jeremiyah Love,7453,14
Trey McBride,7271,15
Justin Jefferson,7270,16
Joe Burrow,7228,17
Malik Nabers,6957,18
CeeDee Lamb,6668,19
Justin Herbert,6522,20
Omarion Hampton,6393,21
Drake London,6149,22
De'Von Achane,6135,23
Patrick Mahomes,5933,24
Jalen Hurts,5826,25
Colston Loveland,5800,26
Jaxson Dart,5720,27
Trevor Lawrence,5668,28
Jonathan Taylor,5493,29
James Cook,5379,30
Bo Nix,5337,31
Tetairoa McMillan,5176,32
Tyler Warren,5068,33
Emeka Egbuka,4982,34
George Pickens,4958,35
Brock Purdy,4958,36
Carnell Tate,4937,37
Fernando Mendoza,4536,38
Christian McCaffrey,4506,39
Jordan Love,4481,40
Kenneth Walker,4468,41
Nico Collins,4437,42
Dak Prescott,4340,43
Garrett Wilson,4263,44
Cam Ward,4171,45
Chase Brown,4167,46
Quinshon Judkins,4164,47
Chris Olave,4146,48
Ladd McConkey,3950,49
Breece Hall,3821,50
Jordyn Tyson,3788,51
Saquon Barkley,3779,52
A.J. Brown,3770,53
Luther Burden,3769,54
TreVeyon Henderson,3757,55
C.J. Stroud,3420,56
Jared Goff,3405,57
DeVonta Smith,3396,58
Rashee Rice,3380,59
Tucker Kraft,3306,60
Harold Fannin,3305,61
Zay Flowers,3265,62
Kyren Williams,3178,63
Rome Odunze,3162,64
Tyler Shough,3153,65
Makai Lemon,3130,66
Baker Mayfield,3113,67
Cam Skattebo,3084,68
Tee Higgins,3070,69
Marvin Harrison,3063,70
Sam LaPorta,2994,71
Jaylen Waddle,2984,72
Bucky Irving,2981,73
Jadarian Price,2976,74
Brian Thomas,2961,75
Kyle Pitts,2956,76
Javonte Williams,2937,77
Sam Darnold,2931,78
Travis Etienne,2854,79
Kyler Murray,2849,80
Derrick Henry,2849,81
Jameson Williams,2830,82
Bryce Young,2767,83
Josh Jacobs,2688,84
Matthew Stafford,2667,85
Bhayshul Tuten,2609,86
Kenyon Sadiq,2596,87
KC Concepcion,2524,88
Malik Willis,2470,89
Parker Washington,2401,90
DJ Moore,2394,91
Daniel Jones,2364,92
D'Andre Swift,2354,93
David Montgomery,2294,94
Christian Watson,2266,95
Terry McLaurin,2194,96
Michael Wilson,2159,97
Alec Pierce,2152,98
Omar Cooper,2140,99
Ty Simpson,2101,100
Isaiah Likely,2076,101
Josh Downs,2044,102
Oronde Gadsden,2013,103
Quentin Johnston,2004,104
Eli Stowers,1956,105
Jordan Addison,1949,106
Mike Evans,1912,107
Wan'Dale Robinson,1905,108
Jonathon Brooks,1905,109
George Kittle,1894,110
Davante Adams,1885,111
De'Zhaun Stribling,1874,112
Dalton Kincaid,1861,113
Denzel Boston,1855,114
Matthew Golden,1815,115
Kyle Monangai,1815,116
Jake Ferguson,1798,117
Blake Corum,1755,118
RJ Harvey,1750,119
DK Metcalf,1728,120
Ricky Pearsall,1717,121
Xavier Worthy,1675,122
Carson Beck,1673,123
Jayden Reed,1660,124
Michael Pittman,1655,125
Jaylen Warren,1654,126
Chuba Hubbard,1643,127
Travis Hunter,1627,128
Jayden Higgins,1593,129
Chig Okonkwo,1589,130
Rico Dowdle,1530,131
Mark Andrews,1529,132
Shedeur Sanders,1518,133
Deebo Samuel,1500,134
J.K. Dobbins,1494,135
Zach Charbonnet,1491,136
Jonah Coleman,1472,137
J.J. McCarthy,1471,138
Brenton Strange,1462,139
Cyrus Allen,1461,140
Jacory Croskey-Merritt,1445,141
Courtland Sutton,1445,142
Rhamondre Stevenson,1444,143
Stefon Diggs,1434,144
Chris Godwin,1412,145
Tua Tagovailoa,1406,146
Jalen Coker,1389,147
Kenny Gainwell,1388,148
Travis Kelce,1377,149
Nicholas Singleton,1376,150
Terrance Ferguson,1353,151
Rachaad White,1344,152
Antonio Williams,1339,153
Tony Pollard,1326,154
AJ Barner,1324,155
Michael Penix,1321,156
Chris Bell,1305,157
Romeo Doubs,1304,158
Jacoby Brissett,1303,159
Jordan Mason,1297,160
Zachariah Branch,1296,161
T.J. Hockenson,1282,162
Dallas Goedert,1275,163
Jalen McMillan,1268,164
Jakobi Meyers,1265,165
Juwan Johnson,1254,166
Kayshon Boutte,1233,167
Geno Smith,1231,168
Dalton Schultz,1212,169
Khalil Shakir,1199,170
Aaron Rodgers,1195,171
Rashid Shaheed,1187,172
Tyler Allgeier,1182,173
Tre' Harris,1180,174
Tank Bigsby,1169,175
Woody Marks,1167,176
Germie Bernard,1166,177
Gunnar Helm,1166,178
Ja'Kobi Lane,1166,179
Chris Rodriguez,1142,180
Pat Freiermuth,1141,181
Mac Jones,1140,182
Tyrone Tracy,1140,183
Hunter Henry,1134,184
Dylan Sampson,1130,185
Greg Dulcich,1125,186
Tank Dell,1123,187
Dontayvion Wicks,1119,188
Jaydon Blue,1111,189
Deshaun Watson,1105,190
Eli Raridon,1102,191
Braelon Allen,1098,192
Kirk Cousins,1096,193
Aaron Jones,1094,194
Jerry Jeudy,1094,195
Malachi Fields,1084,196
Drew Allar,1083,197
Isaac TeSlaa,1081,198
Keon Coleman,1071,199
Alvin Kamara,1068,200
Keaton Mitchell,1066,201
Tre Tucker,1063,202
Elijah Sarratt,1057,203
Elic Ayomanor,1054,204
Malik Washington,1052,205
Adonai Mitchell,1044,206
Brian Robinson,1038,207
Jalen Nailor,1035,208
Tory Horton,1033,209
Isiah Pacheco,1030,210
Cade Otton,1018,211
Tyjae Spears,1006,212
Ryan Flournoy,992,213
Jack Bech,971,214
Kaleb Johnson,958,215
Jauan Jennings,952,216
David Njoku,950,217
MarShawn Lloyd,943,218
Chris Brazzell,935,219
Justin Fields,934,220
Kaelon Black,925,221
Ted Hurst,924,222
Mike Washington,923,223
Jaylen Wright,919,224
Jake Tonges,916,225
Pat Bryant,914,226
Kimani Vidal,912,227
Trey Benson,910,228
Demond Claiborne,906,229
Brandon Aiyuk,858,230
Calvin Ridley,846,231
Jaylin Noel,817,232
Anthony Richardson,806,233
Kaytron Allen,804,234
Ollie Gordon,804,235
Jordan James,799,236
Mason Taylor,785,237
Caleb Douglas,768,238
Troy Franklin,757,239
Emmett Johnson,739,240
Skyler Bell,732,241
Oscar Delp,718,242
Evan Engram,686,243
Tyreek Hill,652,244
Elijah Arroyo,639,245
Max Klare,630,246
Cade Klubnik,615,247
Ray Davis,587,248
Chimere Dike,517,249
Sean Tucker,493,250
Adam Randall,487,251
LeQuint Allen,466,252
Justin Joly,397,253
Malik Benson,389,254
Bryce Lance,370,255
Joe Mixon,352,256
Theo Johnson,351,257
Garrett Nussmeier,282,258
Zavion Thomas,279,259
Colbie Young,277,260
Brenen Thompson,273,261
Jimmy Horn,270,262
CJ Daniels,261,263
Kyle Williams,248,264
Jeff Caldwell,244,265
Michael Mayer,228,266
Joe Flacco,217,267
Najee Harris,212,268
Cooper Kupp,206,269
Eli Heidenreich,202,270
DJ Giddens,202,271
Olamide Zaccheaus,193,272
Will Howard,192,273
Emari Demercado,183,274
Konata Mumpfield,177,275
Emanuel Wilson,175,276
Davis Mills,170,277
Jack Endries,170,278
Kevin Coleman,167,279
Kendre Miller,159,280
Jam Miller,158,281
Trey Lance,151,282
Isaac Guerendo,147,283
Isaiah Davis,147,284
Cole Payton,145,285
Tyler Huntley,139,286
Michael Trigg,138,287
Cedric Tillman,138,288
Marvin Mims,138,289
Noah Gray,135,290
George Holani,134,291
Malik Davis,133,292
Audric Estime,128,293
Darnell Mooney,128,294
Cole Kmet,125,295
Chris Brooks,117,296
Luke McCaffrey,117,297
Darius Slayton,117,298
Mack Hollins,116,299
Devaughn Vele,116,300
Devin Neal,116,301
Will Levis,116,302
Deion Burks,115,303
Sam Roush,113,304
Ty Johnson,112,305
Tez Johnson,110,306
Calvin Austin,110,307
Jalen Milroe,108,308
Samaje Perine,106,309
Treylon Burks,104,310
Xavier Legette,101,311
Darnell Washington,101,312
Roman Wilson,100,313
Tyson Bagent,100,314
Marquise Brown,99,315
Gardner Minshew,99,316
Jameis Winston,99,317
Christian Kirk,96,318
