name,value,rank
Bijan Robinson,10069,1
Josh Allen,10029,2
Ja'Marr Chase,9752,3
Jaxon Smith-Njigba,9611,4
Jahmyr Gibbs,9517,5
Drake Maye,8951,6
Puka Nacua,8625,7
Brock Bowers,7863,8
Lamar Jackson,7386,9
Jayden Daniels,7274,10
Amon-Ra St. Brown,7203,11
Caleb Williams,7193,12
Malik Nabers,6979,13
Justin Jefferson,6958,14
Ashton Jeanty,6851,15
Trey McBride,6850,16
Joe Burrow,6785,17
Jeremiyah Love,6773,18
CeeDee Lamb,6212,19
De'Von Achane,5863,20
Patrick Mahomes,5838,21
Justin Herbert,5833,22
Omarion Hampton,5680,23
Drake London,5633,24
Jalen Hurts,5561,25
Jaxson Dart,5461,26
Tetairoa McMillan,5087,27
Bo Nix,4977,28
Jonathan Taylor,4941,29
Trevor Lawrence,4867,30
James Cook,4747,31
Colston Loveland,4746,32
Emeka Egbuka,4552,33
George Pickens,4456,34
Tyler Warren,4356,35
Carnell Tate,4341,36
Brock Purdy,4293,37
Fernando Mendoza,4270,38
Christian McCaffrey,4168,39
Nico Collins,4092,40
Jordan Love,4077,41
Garrett Wilson,4061,42
Breece Hall,4028,43
Kenneth Walker,3994,44
Dak Prescott,3961,45
Quinshon Judkins,3913,46
Chris Olave,3911,47
Cam Ward,3829,48
Saquon Barkley,3810,49
Rashee Rice,3806,50
Jordyn Tyson,3796,51
Ladd McConkey,3769,52
TreVeyon Henderson,3758,53
Rome Odunze,3700,54
Makai Lemon,3650,55
Chase Brown,3589,56
A.J. Brown,3574,57
DeVonta Smith,3567,58
Tucker Kraft,3498,59
Luther Burden,3489,60
Jadarian Price,3465,61
Baker Mayfield,3435,62
Marvin Harrison Jr,3415,63
Bucky Irving,3381,64
Tyler Shough,3370,65
Kyren Williams,3350,66
Harold Fannin,3307,67
Brian Thomas,3307,68
Jared Goff,3275,69
C.J. Stroud,3147,70
Josh Jacobs,3118,71
Sam LaPorta,3077,72
Cam Skattebo,3070,73
Tee Higgins,3069,74
Zay Flowers,3063,75
Jaylen Waddle,3021,76
Kenyon Sadiq,3004,77
KC Concepcion,2980,78
Javonte Williams,2959,79
Travis Etienne,2942,80
Jameson Williams,2938,81
Sam Darnold,2906,82
Kyler Murray,2854,83
Kyle Pitts,2836,84
Derrick Henry,2743,85
Bryce Young,2699,86
Ty Simpson,2551,87
Malik Willis,2516,88
Eli Stowers,2492,89
Omar Cooper,2475,90
Matthew Stafford,2407,91
Daniel Jones,2377,92
DJ Moore,2350,93
Alec Pierce,2304,94
Bhayshul Tuten,2247,95
Denzel Boston,2227,96
David Montgomery,2212,97
Terry McLaurin,2210,98
Jonah Coleman,2202,99
Christian Watson,2194,100
D'Andre Swift,2132,101
Travis Hunter,2118,102
Oronde Gadsden,2116,103
Jordan Addison,2097,104
Matthew Golden,2095,105
Davante Adams,2065,106
Jake Ferguson,2023,107
DK Metcalf,2022,108
George Kittle,1997,109
Chris Bell,1990,110
Michael Wilson,1980,111
Mike Evans,1966,112
Chuba Hubbard,1939,113
Parker Washington,1931,114
RJ Harvey,1912,115
Isaiah Likely,1906,116
Nicholas Singleton,1902,117
Xavier Worthy,1897,118
Josh Downs,1887,119
Zach Charbonnet,1871,120
Germie Bernard,1848,121
Michael Penix,1847,122
Quentin Johnston,1831,123
Wan'Dale Robinson,1830,124
Dalton Kincaid,1822,125
Rico Dowdle,1822,126
Kyle Monangai,1820,127
Jayden Higgins,1810,128
Michael Pittman,1787,129
Antonio Williams,1775,130
Jaylen Warren,1766,131
Ricky Pearsall,1762,132
Courtland Sutton,1736,133
Jayden Reed,1721,134
Romeo Doubs,1669,135
Jonathon Brooks,1667,136
Tua Tagovailoa,1661,137
J.J. McCarthy,1636,138
Jacoby Brissett,1629,139
Emmett Johnson,1626,140
Carson Beck,1625,141
Chris Godwin,1608,142
Jakobi Meyers,1603,143
Rhamondre Stevenson,1590,144
Mark Andrews,1583,145
Blake Corum,1580,146
Jacory Croskey-Merritt,1568,147
Chig Okonkwo,1565,148
Kenneth Gainwell,1556,149
Elijah Sarratt,1549,150
Brenton Strange,1545,151
De'Zhaun Stribling,1539,152
Geno Smith,1527,153
Dallas Goedert,1520,154
Tony Pollard,1516,155
T.J. Hockenson,1513,156
Zachariah Branch,1506,157
Travis Kelce,1505,158
Malachi Fields,1468,159
Ted Hurst,1462,160
Khalil Shakir,1458,161
Shedeur Sanders,1453,162
Kaytron Allen,1450,163
J.K. Dobbins,1447,164
AJ Barner,1432,165
Chris Brazzell,1424,166
Jalen Coker,1421,167
Rachaad White,1390,168
Jalen McMillan,1389,169
Dylan Sampson,1388,170
Mike Washington,1382,171
Tre' Harris,1371,172
Woody Marks,1358,173
Tyler Allgeier,1354,174
Max Klare,1350,175
Deshaun Watson,1348,176
Aaron Rodgers,1342,177
Tyrone Tracy,1338,178
Jordan Mason,1325,179
Chris Rodriguez,1316,180
Isiah Pacheco,1295,181
Brandon Aiyuk,1289,182
Rashid Shaheed,1287,183
Skyler Bell,1285,184
David Njoku,1277,185
Isaac TeSlaa,1263,186
Brian Robinson,1254,187
Ja'Kobi Lane,1247,188
Aaron Jones,1246,189
Gunnar Helm,1240,190
