name,value,rank
Josh Allen,9869.0,1
Jahmyr Gibbs,9118.0,2
Bijan Robinson,9113.0,3
Lamar Jackson,7831.0,4
Puka Nacua,7768.0,5
Jaxon Smith-Njigba,7437.0,6
Justin Jefferson,7108.0,7
CeeDee Lamb,6998.0,8
Drake Maye,6816.0,9
Caleb Williams,6801.0,10
Ashton Jeanty,6770.0,11
Joe Burrow,6626.0,12
Brock Bowers,6190.0,13
Trey McBride,5989.0,14
Jalen Hurts,5929.0,15
Jeremiyah Love,5920.0,16
Malik Nabers,5913.0,17
James Cook,5866.0,18
Kenneth Walker,5848.0,19
Jayden Daniels,5805.0,20
Jonathan Taylor,5772.0,21
Drake London,5512.0,22
Omarion Hampton,5468.0,23
Justin Herbert,5232.0,24
Patrick Mahomes,5178.0,25
Chris Olave,4941.0,26
Trevor Lawrence,4919.0,27
George Pickens,4791.0,28
Tetairoa McMillan,4694.0,29
Christian McCaffrey,4656.0,30
Brock Purdy,4577.0,31
Nico Collins,4573.0,32
Jaxson Dart,4357.0,33
Bo Nix,4263.0,34
Chase Brown,4258.0,35
Garrett Wilson,4235.0,36
Emeka Egbuka,4162.0,37
Dak Prescott,4134.0,38
Breece Hall,4106.0,39
Colston Loveland,4103.0,40
Jordan Love,3898.0,41
DeVonta Smith,3877.0,42
Zay Flowers,3864.0,43
Ladd McConkey,3625.0,44
Tyler Warren,3597.0,45
Carnell Tate,3534.0,46
Saquon Barkley,3487.0,47
Jaylen Waddle,3423.0,48
Jared Goff,3379.0,49
Rashee Rice,3283.0,50
Tee Higgins,3254.0,51
Luther Burden,3211.0,52
Sam LaPorta,3184.0,53
Tucker Kraft,3068.0,54
Tyler Shough,3065.0,55
Rome Odunze,3028.0,56
Kyren Williams,3019.0,57
TreVeyon Henderson,2929.0,58
Quinshon Judkins,2919.0,59
Fernando Mendoza,2884.0,60
Dalton Kincaid,2869.0,61
Baker Mayfield,2840.0,62
Christian Watson,2822.0,63
Marvin Harrison,2799.0,64
Jadarian Price,2729.0,65
Javonte Williams,2724.0,66
Makai Lemon,2696.0,67
Kyler Murray,2675.0,68
Parker Washington,2658.0,69
Jordyn Tyson,2644.0,70
Jameson Williams,2631.0,71
Bryce Young,2544.0,72
Bucky Irving,2540.0,73
Travis Etienne,2526.0,74
Harold Fannin,2518.0,75
Derrick Henry,2461.0,76
Matthew Stafford,2384.0,77
Sam Darnold,2358.0,78
Brian Thomas,2304.0,79
Cam Skattebo,2301.0,80
Cam Ward,2273.0,81
KC Concepcion,2241.0,82
DJ Moore,2149.0,83
Bhayshul Tuten,2081.0,84
Isaiah Likely,2050.0,85
Malik Willis,1982.0,86
Kenyon Sadiq,1909.0,87
Terry McLaurin,1898.0,88
Alec Pierce,1870.0,89
Davante Adams,1785.0,90
Daniel Jones,1732.0,91
Jordan Addison,1704.0,92
DK Metcalf,1690.0,93
Josh Jacobs,1674.0,94
Denzel Boston,1632.0,95
George Kittle,1611.0,96
David Montgomery,1592.0,97
Michael Wilson,1570.0,98
Deebo Samuel,1542.0,99
Kyle Pitts,1402.0,100
Mike Evans,1384.0,101
Ty Simpson,1338.0,102
Josh Downs,1328.0,103
Jaylen Warren,1317.0,104
Quentin Johnston,1266.0,105
Jake Ferguson,1261.0,106
Matthew Golden,1256.0,107
Michael Pittman,1243.0,108
Xavier Worthy,1243.0,108
Jerrion Ealy,1242.0,110
Courtland Sutton,1231.0,111
Jalen Coker,1228.0,112
Kyle Monangai,1225.0,113
Chris Godwin,1179.0,114
Omar Cooper,1171.0,115
Jayden Reed,1170.0,116
Jacoby Brissett,1133.0,117
Aaron Jones,1125.0,118
RJ Harvey,1113.0,119
Chuba Hubbard,1092.0,120
Eli Stowers,1068.0,121
Jayden Higgins,1065.0,122
Dallas Goedert,1060.0,123
Romeo Doubs,1017.0,124
Brenton Strange,1016.0,125
Blake Corum,1006.0,126
Jonah Coleman,990.0,127
Jakobi Meyers,976.0,128
Mark Andrews,951.0,129
Tua Tagovailoa,936.0,130
