name,Rank
Josh Allen,2.13
Jaxon Smith-Njigba,3.5
Ja'Marr Chase,4.13
Drake Maye,4.25
Bijan Robinson,4.88
Puka Nacua,5.63
Jahmyr Gibbs,5.75
Jayden Daniels,9.13
Amon-Ra St. Brown,11.63
Lamar Jackson,12.13
Caleb Williams,12.63
Jeremiyah Love,13.86
Ashton Jeanty,13.88
Malik Nabers,14.0
Justin Jefferson,15.5
CeeDee Lamb,16.0
Joe Burrow,17.0
Brock Bowers,17.38
Drake London,19.38
Patrick Mahomes,21.75
Trey McBride,22.38
Omarion Hampton,22.63
Devon Achane,26.25
Tetairoa McMillan,27.88
Jalen Hurts,28.13
Justin Herbert,29.13
George Pickens,30.13
Jaxson Dart,30.25
Colston Loveland,30.5
Carnell Tate,31.14
Trevor Lawrence,31.25
Brock Purdy,34.25
Bo Nix,35.5
Rashee Rice,39.13
Jonathan Taylor,39.75
Emeka Egbuka,40.13
Chris Olave,40.13
Garrett Wilson,40.75
Nico Collins,40.88
James Cook,41.25
Kenneth Walker,44.25
Jordyn Tyson,49.29
Fernando Mendoza,50.29
Makai Lemon,50.57
Ladd McConkey,51.25
Chase Brown,53.63
Luther Burden,53.88
Breece Hall,55.38
Dak Prescott,55.75
Jadarian Price,57.71
Tyler Warren,57.75
Jared Goff,61.25
TreVeyon Henderson,62.25
Zay Flowers,62.88
Quinshon Judkins,63.13
Rome Odunze,64.0
Jordan Love,64.75
Brian Thomas,68.38
Tee Higgins,69.0
Christian McCaffrey,69.13
DeVonta Smith,70.0
Kyren Williams,71.13
Bucky Irving,71.25
Harold Fannin,71.38
A.J. Brown,71.38
Cam Skattebo,72.25
Baker Mayfield,74.0
Tucker Kraft,74.88
Marvin Harrison,75.13
Saquon Barkley,75.88
Cam Ward,78.0
Tyler Shough,78.63
Javonte Williams,79.25
Jaylen Waddle,80.25
Kyler Murray,82.25
Jameson Williams,83.38
C.J. Stroud,83.88
Travis Etienne,84.13
KC Concepcion,88.71
Kenyon Sadiq,90.43
Bhayshul Tuten,91.13
Josh Jacobs,94.5
Kyle Pitts,95.88
Travis Hunter,98.0
Sam LaPorta,98.88
Omar Cooper Jr.,99.14
Jordan Addison,101.5
Sam Darnold,102.0
Derrick Henry,103.38
Ty Simpson,105.71
D'Andre Swift,107.38
DJ Moore,108.25
Alec Pierce,108.38
Daniel Jones,108.88
Bryce Young,110.0
Michael Wilson,111.75
Christian Watson,112.13
Terry McLaurin,115.0
Davante Adams,115.63
Oronde Gadsden,117.13
Matthew Stafford,120.0
Jonah Coleman,120.29
Mike Evans,121.88
Malik Willis,121.88
Michael Pittman,122.38
David Montgomery,124.13
DK Metcalf,124.88
Wan'Dale Robinson,125.5
Xavier Worthy,126.75
Quentin Johnston,128.5
RJ Harvey,129.88
Ricky Pearsall,130.25
Eli Stowers,133.0
Denzel Boston,133.29
George Kittle,137.38
Matthew Golden,138.13
Parker Washington,138.38
Jayden Higgins,138.75
Jaylen Warren,139.13
Chuba Hubbard,141.75
Josh Downs,144.5
Dalton Kincaid,144.88
Kyle Monangai,146.0
Jonathon Brooks,147.38
Jake Ferguson,147.75
Chris Godwin,147.88
Courtland Sutton,150.0
Jakobi Meyers,150.38
Isaiah Likely,151.75
Rico Dowdle,155.5
Romeo Doubs,157.63
Blake Corum,159.38
Rachaad White,159.38
Jayden Reed,159.88
Rhamondre Stevenson,162.25
Brenton Strange,162.25
Michael Penix,163.0
Germie Bernard,164.14
Zach Charbonnet,166.0
Tony Pollard,170.75
J.K. Dobbins,172.0
Jalen Coker,172.5
Nicholas Singleton,173.33
Jacory Croskey-Merritt,174.38
Kenneth Gainwell,174.88
Brandon Aiyuk,177.25
Tua Tagovailoa,179.13
Chris Bell,179.14
Tyrone Tracy,180.25
Tyler Allgeier,181.5
Chris Rodriguez,182.33
