name,Rank
Jeremiyah Love,1.0
Carnell Tate,2.0
Fernando Mendoza,3.75
Makai Lemon,4.0
Jordyn Tyson,4.25
Jadarian Price,6.0
Kenyon Sadiq,7.25
KC Concepcion,8.0
Ty Simpson,9.25
Omar Cooper Jr.,9.5
Jonah Coleman,11.75
Denzel Boston,12.75
Eli Stowers,13.0
Germie Bernard,15.75
Chris Bell,17.0
Drew Allar,17.5
Elijah Sarratt,18.0
Antonio Williams,19.25
Carson Beck,20.0
Nicholas Singleton,21.25
Max Klare,21.5
Eli Raridon,22.25
Ja'Kobi Lane,22.75
Ted Hurst,23.25
De'Zhaun Stribling,25.25
Kaytron Allen,25.75
Zachariah Branch,26.0
Oscar Delp,27.75
Adam Randall,30.5
Chris Brazzell II,30.75
Justin Joly,30.75
Demond Claiborne,32.75
Kaelon Black,33.25
Emmett Johnson,33.5
Skyler Bell,34.5
Malachi Fields,35.0
Mike Washington Jr.,36.75
Cade Klubnik,37.33
Eli Heidenreich,39.25
Cole Payton,40.0
Bryce Lance,40.25
Caleb Douglas,40.5
Taylen Green,42.33
Seth McGowan,43.5
Brenen Thompson,43.75
Jack Endries,44.0
Kevin Coleman Jr.,45.33
Seydou Traore,48.0
Sam Roush,48.25
Zavion Thomas,50.0
C.J. Daniels,50.0
Jam Miller,51.5
Deion Burks,52.0
Cyrus Allen,52.5
J'Mari Taylor,55.33
Reggie Virgil,55.5
Marlin Klein,55.67
Le'Veon Moss,56.33
Dae'quan Wright,57.0
Tanner Koziol,57.33
Kaden Wetjen,59.0
Jeff Caldwell,59.33
Josh Cuevas,59.5
Eric McAlister,59.67
John Michael Gyllenborg,60.0
Garrett Nussmeier,61.67
Dallen Bentley,62.0
Malik Benson,62.0
Jaydn Ott,62.5
Roman Hemby,62.5
Terion Stewart,63.0
Desmond Reid,64.5
Michael Trigg,65.0
Diego Pavia,66.0
Kendrick Law,66.5
Lewis Bond,67.0
Eric Rivers,69.0
Joe Royer,70.0
Chase Roberts,70.0
Robert Henry Jr.,72.0
Jalon Daniels,72.0
Barion Brown,73.0
Colbie Young,73.5
Josh Cameron,74.0
Emmanuel Henderson Jr,76.0
Bauer Sharp,79.0
Jaren Kanak,80.0
