name,position,rank
Aidan Hutchinson,DE,1
Will Anderson Jr.,DE,2
Carson Schwesinger,LB,3
Jack Campbell,LB,4
Travis Hunter,CB,5
Abdul Carter,DE,6
Micah Parsons,DE,7
Myles Garrett,DE,8
Arvell Reese,LB,9
Jared Verse,DE,10
Sonny Styles,LB,11
Fred Warner,LB,12
Jacob Rodriguez,LB,13
Dallas Turner,DE,14
Laiatu Latu,DE,15
Roquan Smith,LB,16
Jordyn Brooks,LB,17
David Bailey,DE,18
Nick Bosa,DE,19
Brian Burns,DE,20
Maxx Crosby,DE,21
Nick Emmanwori,S,22
Kyle Hamilton,S,23
Nik Bonitto,DE,24
Edgerrin Cooper,LB,25
Josh Hines-Allen,DE,26
Nick Bolton,LB,27
Devin Lloyd,LB,28
Caleb Downs,S,29
Rueben Bain Jr.,DE,30
Jihaad Campbell,LB,31
Tuli Tuipulotu,DE,32
T.J. Watt,DE,33
CJ Allen,LB,34
Ernest Jones,LB,35
Alex Highsmith,DE,36
Nakobe Dean,LB,37
Quay Walker,LB,38
Byron Young,DE,39
Zack Baun,LB,40
George Karlaftis,DE,41
Dillon Thieneman,S,42
Jaelan Phillips,DE,43
Nate Landman,LB,44
Cedric Gray,LB,45
Jeffery Simmons,DT,46
Danielle Hunter,DE,47
Brian Branch,S,48
Nick Herbig,DE,49
Blake Cashman,LB,50
Byron Murphy II,DT,51
Cooper DeJean,CB,52
Devin Bush,LB,53
Derwin James Jr.,S,54
Tykee Smith,S,55
Foyesade Oluokun,LB,56
Jalen Carter,DT,57
Jalon Walker,DE,58
Jonathan Greenard,DE,59
Kevin Winston Jr.,S,60
Chase Young,DE,61
Trey Hendrickson,DE,62
Josiah Trotter,LB,63
Greg Rousseau,DE,64
Montez Sweat,DE,65
Jamien Sherwood,LB,66
Chop Robinson,DE,67
Travon Walker,DE,68
Jake Golday,LB,69
Zach Allen,DT,70
A.J. Haulcy,S,71
Andrew Van Ginkel,DE,72
Antoine Winfield Jr.,S,73
Daiyan Henley,LB,74
Azeez Al-Shaair,LB,75
Anthony Hill Jr.,LB,76
Patrick Queen,LB,77
Tremaine Edmunds,LB,78
Payton Wilson,LB,79
Kaden Elliss,LB,80
DeMarvion Overshown,LB,81
Nick Cross,S,82
Devon Witherspoon,CB,83
Emmanuel McNeil-Warren,S,84
Akheem Mesidor,DE,85
Budda Baker,S,86
Terrel Bernard,LB,87
Kayvon Thibodeaux,DE,88
Xavier Watts,S,89
Barrett Carter,LB,90
Mike Green,DE,91
Malachi Lawrence,DE,92
James Pearce Jr.,DE,93
Donovan Ezeiruaku,DE,94
Quinnen Williams,DT,95
Divine Deablo,LB,96
Tre'von Moehrig,S,97
Nolan Smith,DE,98
Calijah Kancey,DT,99
Jalen Pitre,S,100
DeForest Buckner,DT,101
Zaire Franklin,LB,102
Leo Chenal,LB,103
Yaya Diaby,DE,104
Keldric Faulk,DE,105
Demetrius Knight Jr.,LB,106
Quincy Williams,LB,107
Cashius Howell,DE,108
Jeremy Chinn,S,109
Quentin Lake,S,110
Talanoa Hufanga,S,111
Mack Wilson Sr.,LB,112
Kobie Turner,DT,113
Robert Spillane,LB,114
Malaki Starks,S,115
Kaleb Elarms-Orr,LB,116
Jalyx Hunt,DE,117
Derrick Moore,DE,118
T.J. Edwards,LB,119
Leonard Williams,DT,120
Alex Singleton,LB,121
Kamren Curl,S,122
Dexter Lawrence,DT,123
Drake Thomas,LB,124
Cole Bishop,S,125
Carl Granderson,DE,126
Milton Williams,DT,127
Dee Winters,LB,128
Jalen Redmond,DT,129
Derrick Brown,DT,130
Josh Sweat,DE,131
Jordan Battle,S,132
Will McDonald IV,DE,133
Kendal Daniels,LB,134
Jacob Parrish,CB,135
Harold Landry III,DE,136
Jessie Bates III,S,137
Jonas Sanker,S,138
T.J. Parker,DE,139
Austin Booker,DE,140
Teddye Buchanan,LB,141
Alex Anzalone,LB,142
Jer'Zhan Newton,DT,143
Julian Love,S,144
R Mason Thomas,DE,145
Keionte Scott,CB,146
Xavier McKinney,S,147
Jermaine Johnson,DE,148
Frankie Luvu,LB,149
Odafe Oweh,DE,150
Mike Sainristil,CB,151
Boye Mafe,DE,152
Chamarri Conner,S,153
Chris Jones,DT,154
Ed Oliver,DT,155
Josh Metellus,S,156
Mason Graham,DT,157
Myles Murphy,DE,158
Demario Davis,LB,159
Bryce Boettcher,LB,160
Danny Stutsman,LB,161
Rashan Gary,DE,162
Tyrel Dodson,LB,163
Jordan Davis,DT,164
Drue Tranquill,LB,165
Upton Stout,CB,166
Nic Scourton,DE,167
Grant Delpit,S,168
Kyle Louis,LB,169
Zion Young,DE,170
