name,position,rank
Bijan Robinson,RB,1
Josh Allen,QB,2
Jahmyr Gibbs,RB,3
Drake Maye,QB,4
Ja'Marr Chase,WR,5
Jaxon Smith-Njigba,WR,6
Puka Nacua,WR,7
Lamar Jackson,QB,8
Amon-Ra St. Brown,WR,9
Jayden Daniels,QB,10
Joe Burrow,QB,11
Ashton Jeanty,RB,12
Justin Jefferson,LB,13
Caleb Williams,QB,14
CeeDee Lamb,WR,15
Jeremiyah Love,RB,16
Brock Bowers,TE,17
Trey McBride,TE,18
De'Von Achane,RB,19
Omarion Hampton,RB,20
Malik Nabers,WR,21
James Cook,RB,22
Jonathan Taylor,RB,23
Justin Herbert,QB,24
Kenneth Walker,RB,25
Drake London,WR,26
Patrick Mahomes,QB,27
Breece Hall,RB,28
Jalen Hurts,QB,29
Trevor Lawrence,QB,30
Colston Loveland,TE,31
Tetairoa McMillan,WR,32
Brock Purdy,QB,33
Jaxson Dart,QB,34
Nico Collins,WR,35
George Pickens,WR,36
Chase Brown,RB,37
Emeka Egbuka,WR,38
Tyler Warren,TE,39
Bo Nix,QB,40
TreVeyon Henderson,RB,41
Chris Olave,WR,42
Christian McCaffrey,RB,43
Garrett Wilson,WR,44
Carnell Tate,WR,45
Dak Prescott,QB,46
Zay Flowers,WR,47
Quinshon Judkins,RB,48
Saquon Barkley,RB,49
Ladd McConkey,WR,50
Kyren Williams,RB,51
DeVonta Smith,WR,52
Travis Etienne,RB,53
Jordan Love,QB,54
Tucker Kraft,TE,55
A.J. Brown,WR,56
Jared Goff,QB,57
Bucky Irving,RB,58
Luther Burden,WR,59
Javonte Williams,RB,60
Fernando Mendoza,QB,61
Jadarian Price,RB,62
Cam Skattebo,RB,63
Jordyn Tyson,WR,64
Derrick Henry,RB,65
Tee Higgins,WR,66
Rashee Rice,WR,67
Baker Mayfield,QB,68
Cam Ward,QB,69
Jaylen Waddle,WR,70
Aidan Hutchinson,DL,71
Harold Fannin,TE,72
Makai Lemon,WR,73
C.J. Stroud,QB,74
Rome Odunze,WR,75
Jameson Williams,WR,76
Sam LaPorta,TE,77
Kyle Pitts,TE,78
Josh Jacobs,RB,79
