name,value
2026 Early 1st,5486
2026 Early 2nd,3377
2026 Early 3rd,2489
2026 Early 4th,1785
2026 Late 1st,4092
2026 Late 2nd,2937
2026 Late 3rd,2162
2026 Late 4th,1498
2026 Mid 1st,4692
2026 Mid 2nd,3155
2026 Mid 3rd,2316
2026 Mid 4th,1690
2027 Early 1st,6986
2027 Early 2nd,3830
2027 Early 3rd,2564
2027 Early 4th,1990
2027 Late 1st,4944
2027 Late 2nd,3221
2027 Late 3rd,2313
2027 Late 4th,1655
2027 Mid 1st,5581
2027 Mid 2nd,3433
2027 Mid 3rd,2479
2027 Mid 4th,1883
2028 Early 1st,5231
2028 Early 2nd,3247
2028 Early 3rd,2301
2028 Early 4th,1587
2028 Late 1st,4143
2028 Late 2nd,2786
2028 Late 3rd,2077
2028 Late 4th,1394
2028 Mid 1st,4601
2028 Mid 2nd,3062
2028 Mid 3rd,2187
2028 Mid 4th,1517
A.J. Brown,5367
Aaron Jones,2227
Aaron Rodgers,1918
Adam Randall,2091
Adam Trautman,476
Adonai Mitchell,2558
Aidan O'Connell,479
AJ Barner,2633
AJ Dillon,594
Alec Pierce,3706
Alexander Mattison,499
Alvin Kamara,1894
Amon-Ra St. Brown,8215
Andrei Iosivas,1614
Anthony Richardson,1902
Antonio Williams,2871
Arian Smith,987
Ashton Jeanty,7236
Audric Estime,1426
Baker Mayfield,4599
Bam Knight,1064
Barion Brown,1813
Ben Sinnott,1506
Bhayshul Tuten,4479
Bijan Robinson,9997
Blake Corum,3544
Bo Melton,825
Bo Nix,6012
Braelon Allen,2625
Brandin Cooks,465
Brandon Aiyuk,978
Brashard Smith,1758
Breece Hall,5331
Brenen Thompson,1782
Brenton Strange,2907
Brevin Jordan,854
Brian Robinson,2340
Brian Thomas,4464
Brock Bowers,8259
Brock Purdy,5580
Brock Wright,778
Bryce Lance,1962
Bryce Young,3682
Bub Means,681
Bucky Irving,4603
C.J. Stroud,4403
Cade Klubnik,2068
Cade Otton,2146
Cade Stover,1281
Caleb Douglas,2781
Caleb Williams,7784
Calvin Austin,1143
Calvin Ridley,1669
Cam Skattebo,4543
Cam Ward,4497
Carnell Tate,5516
Carson Beck,2775
Cedric Tillman,1208
CeeDee Lamb,7220
Charlie Kolar,1406
Chase Brown,5773
Chigoziem Okonkwo,2637
Chimere Dike,2070
Chris Bell,3077
Chris Brazzell,2269
Chris Brooks,1696
Chris Godwin,3049
Chris Olave,5764
Chris Rodriguez,2685
Christian Kirk,1591
Christian McCaffrey,5416
Christian Watson,4118
Chuba Hubbard,3005
CJ Daniels,1299
Colbie Young,1352
Colby Parkinson,1986
Cole Kmet,1930
Cole Payton,722
Colston Loveland,6268
Cooper Kupp,1625
Courtland Sutton,3098
Cyrus Allen,2810
D'Andre Swift,4123
D.J. Moore,3963
Dak Prescott,5123
Dallas Goedert,2599
Dalton Kincaid,3249
Dalton Schultz,2274
Dameon Pierce,916
Damien Martinez,1145
Daniel Bellinger,1275
Daniel Jones,3693
Darius Slayton,1314
Darnell Mooney,1773
Darnell Washington,1920
Darren Waller,1257
Davante Adams,3448
David Bell,1076
David Montgomery,3574
David Njoku,2120
Davis Allen,953
Davis Mills,1154
Dawson Knox,1607
De'Von Achane,6963
De'Zhaun Stribling,4008
Deebo Samuel,2359
Deion Burks,1352
Demarcus Robinson,573
Demario Douglas,2016
Demond Claiborne,2335
Denzel Boston,3596
Derius Davis,473
Derrick Henry,4353
Deshaun Watson,1684
Devaughn Vele,1816
Devin Duvernay,461
Devin Neal,1754
Devin Singletary,1147
DeVonta Smith,5600
Devontez Walker,1336
Dillon Gabriel,1105
DJ Giddens,1884
DK Metcalf,3332
Dohnte Meyers,572
Donovan Edwards,937
Dont'e Thornton,1884
Dontayvion Wicks,2588
Drake London,6753
Drake Maye,8870
Drew Allar,2514
Drew Lock,855
Dyami Brown,1283
Dylan Laube,498
Dylan Sampson,2550
Efton Chism,1084
Eli Heidenreich,1727
Eli Raridon,2413
Eli Stowers,2905
Elic Ayomanor,2273
Elijah Arroyo,2289
Elijah Higgins,1130
Elijah Moore,1241
Elijah Sarratt,2479
Emanuel Wilson,1671
Emari Demercado,1209
Emeka Egbuka,6158
Emmett Johnson,2710
Erick All,1467
Evan Engram,1632
Fernando Mendoza,5229
Foster Moreau,482
Frank Gore,887
Gabriel Davis,1161
Gardner Minshew,992
Garrett Nussmeier,1445
Garrett Wilson,5634
Geno Smith,2200
George Holani,1778
George Kittle,3285
George Pickens,6228
Germie Bernard,2940
Grant Calcaterra,464
Greg Dortch,1127
Greg Dulcich,2199
Gunnar Helm,2504
Harold Fannin,4675
Hunter Henry,2382
Isaac Guerendo,1304
Isaac TeSlaa,2448
Isaiah Bond,1998
Isaiah Davis,1945
Isaiah Hodgins,851
Isaiah Likely,3450
Isiah Pacheco,1977
Israel Abanikanda,897
J'Mari Taylor,1098
J.J. McCarthy,2094
J.K. Dobbins,2947
Ja'Kobi Lane,3256
Ja'Marr Chase,9949
Ja'Tavion Sanders,1751
Jack Bech,2288
Jack Endries,1178
Jack Strand,1547
Jacob Cowing,1192
Jacob Saylors,1379
Jacoby Brissett,2460
Jacory Croskey-Merritt,3196
Jadarian Price,5196
Jahan Dotson,1678
Jahdae Walker,1360
Jahmyr Gibbs,9998
Jake Bobo,613
Jake Ferguson,2989
Jake Tonges,1924
Jakobi Meyers,2817
Jaleel McLaughlin,1165
Jalen Coker,3278
Jalen Hurts,6008
Jalen McMillan,2878
Jalen Milroe,2135
Jalen Nailor,2468
Jalen Royals,1789
Jalen Tolbert,1626
Jalin Hyatt,1165
Jalon Daniels,1918
Jam Miller,1118
Jamari Thrash,487
Jameis Winston,1197
James Conner,1397
James Cook,6695
Jameson Williams,4841
Jared Goff,4628
Jared Wiley,914
Jarquez Hunter,1442
Jauan Jennings,2223
Javon Baker,1021
Javonte Williams,4810
Jaxon Smith-Njigba,9174
Jaxson Dart,5817
Jayden Daniels,7118
Jayden Higgins,3065
Jayden Reed,3304
Jaydon Blue,1246
Jaylen Waddle,5136
Jaylen Warren,3317
Jaylen Wright,2141
Jaylin Lane,1971
Jaylin Noel,2513
Jeremiyah Love,7255
Jerome Ford,941
Jerry Jeudy,2258
Jimmy Horn,1439
Joe Burrow,7294
Joe Flacco,811
Joe Milton,1513
John Metchie,1336
Johnny Wilson,514
Jonah Coleman,3296
Jonathan Mingo,1118
Jonathan Taylor,6402
Jonathon Brooks,3696
Jonnu Smith,780
Jordan Addison,3711
Jordan James,2170
Jordan Love,5420
Jordan Mason,3038
Jordan Watkins,1236
Jordan Whittington,1381
Jordyn Tyson,4856
Josh Allen,9990
Josh Downs,3478
Josh Jacobs,2695
Josh Oliver,465
Joshua Palmer,1498
Julius Chestnut,483
Justice Hill,1653
Justin Fields,1768
Justin Herbert,6922
Justin Jefferson,7437
Justin Joly,1672
Juwan Johnson,2560
Kaelon Black,2604
Kaleb Johnson,2412
Kalel Mullings,1011
Kalif Raymond,476
Kameron Johnson,1310
KaVontae Turpin,1067
Kayshon Boutte,2681
Kaytron Allen,2475
KC Concepcion,4701
KeAndre Lambert-Smith,1388
Keaton Mitchell,2619
Keenan Allen,1712
Kendall Milton,817
Kendre Miller,1786
Kendrick Bourne,1198
Kenneth Gainwell,2966
Kenneth Walker,5795
Kenny Pickett,937
Kenyon Sadiq,3630
Keon Coleman,2250
Kevin Coleman,2050
Khalil Herbert,929
Khalil Shakir,2808
Kimani Vidal,2136
Kirk Cousins,2079
Konata Mumpfield,1249
Kyle McCord,707
Kyle Monangai,3315
Kyle Pitts,4281
Kyle Williams,2229
Kyler Murray,3796
Kyren Williams,4935
Ladd McConkey,5768
LaJohntay Wester,495
Lamar Jackson,7458
Le'Veon Moss,875
LeQuint Allen,2015
Lil'Jordan Humphrey,587
Luke McCaffrey,1490
Luke Musgrave,1617
Luke Schoonmaker,1100
Luther Burden,5554
Mac Jones,2254
Mack Hollins,982
Makai Lemon,4709
Malachi Corley,1206
Malachi Fields,2966
Malik Benson,1803
Malik Davis,1908
Malik Nabers,7302
Malik Washington,2655
Malik Willis,3683
Marcus Mariota,984
Mark Andrews,2604
Marlin Klein,1336
Marquise Brown,1276
MarShawn Lloyd,3350
Marvin Harrison,4707
Marvin Mims,2032
Mason Taylor,2309
Mason Tipton,863
Matthew Golden,3703
Matthew Hibner,1270
Matthew Stafford,3761
Max Klare,2222
Michael Carter,734
Michael Mayer,2113
Michael Penix,2775
Michael Pittman,3255
Michael Trigg,1168
Michael Wilson,3753
Mike Evans,3127
Mike Gesicki,1335
Mike Washington,3244
Mitchell Evans,1153
Najee Harris,1727
Nathan Carter,460
Nicholas Singleton,2709
Nick Westbrook-Ikhine,912
Nico Collins,5763
Noah Fant,1258
Noah Gray,1368
Odell Beckham,563
Olamide Zaccheaus,1246
Ollie Gordon,2141
Omar Cooper,3288
Omarion Hampton,6959
Oronde Gadsden,2980
Oscar Delp,2097
Parker Washington,4665
Pat Bryant,2632
Pat Freiermuth,2163
Patrick Mahomes,5915
Phil Mafah,923
Puka Nacua,8370
Quentin Johnston,3579
Quinn Ewers,1544
Quinshon Judkins,5227
Rachaad White,2632
Raheim Sanders,1228
Rashee Rice,4922
Rasheen Ali,1192
Rashid Shaheed,2637
Rashod Bateman,2053
Ray Davis,2002
Ray-Ray McCloud,459
Reggie Virgil,823
Rhamondre Stevenson,3333
Ricky Pearsall,2566
Rico Dowdle,3161
Riley Leonard,1440
RJ Harvey,3280
Roman Wilson,1788
Rome Odunze,5170
Romeo Doubs,3182
Roschon Johnson,1494
Ryan Flournoy,2060
Sam Darnold,4258
Sam Howell,959
Sam LaPorta,4479
Sam Roush,1054
Samaje Perine,846
Saquon Barkley,5344
Savion Williams,1610
Sean Tucker,2100
Seth McGowan,1840
Shedeur Sanders,2390
Sione Vaki,919
Skyler Bell,2354
Skyy Moore,947
Spencer Rattler,1378
Stefon Diggs,2662
Sterling Shepard,456
Stetson Bennett,576
T.J. Hockenson,2466
Tahj Brooks,1542
Tahj Washington,1018
Tai Felton,1343
Tank Bigsby,2635
Tank Dell,2388
Tanner Koziol,1154
Tanner McKee,1100
Taylen Green,1584
Ted Hurst,2625
Tee Higgins,5127
Terrance Ferguson,3053
Terry McLaurin,3389
Tetairoa McMillan,6279
Tez Johnson,2037
Theo Johnson,1977
Tim Patrick,456
Tommy Tremble,1233
Tony Pollard,2742
Tory Horton,2424
Travis Etienne,4480
Travis Hunter,2911
Travis Kelce,2493
Tre Harris,2584
Tre Tucker,2565
TreVeyon Henderson,4861
Trevor Etienne,1980
Trevor Lawrence,6339
Trey Benson,1724
Trey Lance,965
Trey McBride,7246
Trey Palmer,1126
Treylon Burks,1440
Troy Franklin,2336
Tua Tagovailoa,2068
Tucker Kraft,4940
Tutu Atwell,1462
Ty Johnson,1242
Ty Simpson,3702
Tyjae Spears,2525
Tyler Allgeier,2794
Tyler Badie,941
Tyler Goodson,908
Tyler Higbee,1238
Tyler Huntley,1107
Tyler Scott,825
Tyler Shough,4784
Tyler Warren,5903
Tyquan Thornton,1734
Tyreek Hill,1077
Tyrell Shavers,676
Tyrone Tracy,2165
Tyson Bagent,1351
Wan'Dale Robinson,3352
Will Howard,1714
Will Levis,842
Will Shipley,1504
Woody Marks,2864
Xavier Gipson,809
Xavier Hutchinson,2020
Xavier Legette,1862
Xavier Restrepo,1091
Xavier Worthy,3036
Zach Charbonnet,3254
Zachariah Branch,2752
Zavier Scott,470
Zavion Thomas,2158
Zay Flowers,5354
