name,value,rank
Bijan Robinson,100.0,1
Jahmyr Gibbs,97.9,2
Josh Allen,94.2,3
Ja'Marr Chase,93.2,4
Drake Maye,84.6,5
Jaxon Smith-Njigba,81.6,6
Puka Nacua,80.2,7
Ashton Jeanty,71.3,8
Caleb Williams,67.8,9
Jeremiyah Love,67.8,9
Jayden Daniels,67.3,11
Amon-Ra St. Brown,66.2,12
Lamar Jackson,65.6,13
Brock Bowers,65.4,14
Justin Jefferson,63.3,15
Joe Burrow,61.8,16
Malik Nabers,61.2,17
Omarion Hampton,59.6,18
CeeDee Lamb,59.2,19
Trey McBride,55.3,20
Justin Herbert,54.7,21
Drake London,54.7,21
De'Von Achane,54.4,23
Patrick Mahomes,52.4,24
Jonathan Taylor,51.1,25
Jaxson Dart,50.2,26
Jalen Hurts,50.2,26
James Cook,49.7,28
Trevor Lawrence,46.7,29
Tetairoa McMillan,45.3,30
Carnell Tate,44.3,31
Bo Nix,43.6,32
Emeka Egbuka,42.7,33
Colston Loveland,42.6,34
George Pickens,42.0,35
Brock Purdy,41.1,36
Kenneth Walker,38.9,37
Quinshon Judkins,38.0,38
Nico Collins,37.5,39
Tyler Warren,37.1,40
Fernando Mendoza,37.0,41
Christian McCaffrey,36.4,42
Jordan Love,35.4,43
Breece Hall,35.4,43
Garrett Wilson,35.0,45
TreVeyon Henderson,34.8,46
Saquon Barkley,34.7,47
Chase Brown,34.5,48
Dak Prescott,34.1,49
Jordyn Tyson,34.0,50
Cam Ward,33.9,51
Chris Olave,33.9,51
Ladd McConkey,33.3,53
Kyren Williams,32.2,54
A.J. Brown,31.9,55
Luther Burden,31.6,56
Rome Odunze,30.9,57
Makai Lemon,30.4,58
DeVonta Smith,29.8,59
Bucky Irving,29.7,60
Rashee Rice,29.7,60
Jadarian Price,29.6,62
Cam Skattebo,29.6,62
Marvin Harrison,29.3,64
C.J. Stroud,29.1,65
Zay Flowers,28.9,66
Tyler Shough,28.9,66
Jared Goff,28.8,68
Tee Higgins,28.4,69
Brian Thomas,28.1,70
Jaylen Waddle,27.8,71
Baker Mayfield,27.1,72
Javonte Williams,26.3,73
Tucker Kraft,26.2,74
Harold Fannin,25.3,75
Travis Etienne,25.2,76
Derrick Henry,25.0,77
Jameson Williams,24.9,78
Kenyon Sadiq,24.6,79
Sam Darnold,24.5,80
Sam LaPorta,24.2,81
