Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
1,1.00,DE (DL1),Aidan Hutchinson,DET,25,1,1,1,,
2,2.00,DE (DL2),Will Anderson Jr,HOU,24,2,2,2,,
3,3.67,DE (DL3),Micah Parsons,GB,26,3,5,3,,
4,4.67,DE (DL4),Jared Verse,LAR,25,4,6,4,,
5,5.67,LB1,Jack Campbell,DET,26,5,4,8,,
6,6.00,LB2,Carson Schwesinger,CLE,-,6,3,9,,
7,6.67,DE (DL5),Myles Garrett,CLE,30,7,8,5,,
8,7.33,DE (DL6),Nick Bosa,SF,28,8,7,7,,
9,9.67,DE (DL7),Maxx Crosby,LV,28,9,14,6,,
10,10.00,DE (DL8),Nik Bonitto,DEN,-,10,10,10,,
11,10.33,DE (DL9),Abdul Carter,NYG,22,11,9,11,,
12,12.33,LB3,Edgerrin Cooper,GB,24,12,11,14,,
13,13.00,DE (DL10),Brian Burns,NYG,27,13,13,13,,
14,13.67,DE (DL11),TJ Watt,PIT,31,14,15,12,,
15,14.67,LB4,Ernest Jones,SEA,26,15,12,17,,
16,16.33,LB5,Roquan Smith,BAL,28,16,18,15,,
17,17.33,LB6,Jamien Sherwood,NYJ,-,17,17,18,,
18,18.67,LB7,Fred Warner,SF,29,18,19,19,,
19,19.00,LB8,Nick Bolton,KC,25,19,22,16,,
20,21.00,LB9,Zack Baun,PHI,29,20,20,23,,
21,22.00,LB10,Jordyn Brooks,MIA,28,21,21,24,,
22,23.33,DE (DL12),Alex Highsmith,PIT,28,22,28,20,,
23,24.33,DE (DL13),Laiatu Latu,IND,25,23,29,21,,
24,25.33,DE (DL14),Josh Hines-Allen,JAC,28,24,30,22,,
25,25.67,DT (DL15),Jalen Carter,PHI,24,25,26,26,,
26,29.00,LB11,Daiyan Henley,LAC,26,26,23,38,,
27,31.00,DE (DL16),Danielle Hunter,HOU,31,27,34,32,,
28,31.00,DE (DL17),Tuli Tuipulotu,LAC,23,28,40,25,,
29,31.67,DT (DL18),Jeffery Simmons,TEN,28,29,27,39,,
30,32.33,LB12,Quay Walker,GB,25,30,38,29,,
31,32.67,LB13,Jihaad Campbell,PHI,22,31,31,36,,
32,33.67,LB14,Foye Oluokun,JAC,30,32,24,45,,
33,35.00,DE (DL19),Gregory Rousseau,BUF,25,33,44,28,,
34,37.33,DE (DL20),Chop Robinson,MIA,22,34,51,27,,
35,38.00,LB15,Payton Wilson,PIT,25,35,46,33,,
36,39.33,LB16,Nakobe Dean,PHI,25,36,47,35,,
37,40.00,DT (DL21),Byron Murphy II,SEA,23,38,25,57,,
38,41.00,LB17,Terrel Bernard,BUF,-,37,45,41,,
39,41.00,S (DB1),Brian Branch,DET,24,39,50,34,,
40,42.00,LB18,TJ Edwards,CHI,29,40,55,31,,
41,42.67,LB19,Zaire Franklin,IND,29,41,57,30,,
42,43.00,DE (DL22),Dallas Turner,MIN,23,42,35,52,,
43,44.00,S (DB2),Kyle Hamilton,BAL,24,44,39,49,,
44,44.67,DE (DL23),Jonathan Greenard,MIN,28,43,49,42,,
45,46.67,LB20,Azeez Al-Shaair,HOU,28,45,58,37,,
46,48.33,LB21,Quincy Williams,NYJ,29,46,59,40,,
47,50.00,LB22,Kaden Elliss,ATL,30,47,60,43,,
48,50.67,LB23,Patrick Queen,PIT,26,48,53,51,,
49,50.67,LB24,Devin Lloyd,JAC,27,49,43,60,,
50,51.67,DE (DL24),George Karlaftis,KC,24,50,52,53,,
51,53.00,DE (DL25),Trey Hendrickson,CIN,31,51,62,46,,
52,54.00,DE (DL26),Jaelan Phillips,PHI,26,52,33,77,,
53,55.00,DT (DL27),Quinnen Williams,DAL,28,53,64,48,,
54,56.00,DT (DL28),Dexter Lawrence,NYG,28,54,67,47,,
55,57.33,LB25,Tremaine Edmunds,FA,27,55,41,76,,
56,57.67,DE (DL29),Travon Walker,JAC,25,56,73,44,,
57,58.67,DT (DL30),Kobie Turner,LAR,26,57,63,56,,
58,59.33,LB26,Bobby Okereke,FA,29,58,66,54,,
59,60.67,DE (DL31),Jalon Walker,ATL,22,59,42,81,,
60,63.67,LB27,Robert Spillane,NE,30,60,56,75,,
61,64.33,DT (DL32),DeForest Buckner,IND,31,61,68,64,,
62,65.67,DE (DL33),YaYa Diaby,TB,26,62,74,61,,
63,67.33,DE (DL34),Kayvon Thibodeaux,NYG,25,63,72,67,,
64,68.00,LB28,Blake Cashman,MIN,-,64,54,86,,
65,71.00,LB29,Cedric Gray,TEN,-,65,16,132,,
66,71.67,S (DB3),Antoine Winfield,TB,27,68,97,50,,
67,71.67,LB30,Dee Winters,SF,25,66,48,101,,
68,72.67,S (DB4),Nick Emmanwori,SEA,22,67,36,115,,
69,74.33,DE (DL35),Byron Young,LAR,27,69,61,93,,
70,76.33,S (DB5),Budda Baker,ARI,30,71,88,70,,
71,76.33,LB31,Frankie Luvu,WAS,29,70,104,55,,
72,77.67,DT (DL36),Zach Allen,DEN,28,73,78,82,,
73,78.67,S (DB6),Nick Cross,IND,-,74,93,69,,
74,79.67,S (DB7),Derwin James,LAC,29,75,96,68,,
75,80.33,DT (DL37),Derrick Brown,CAR,27,72,84,85,,
76,81.33,DE (DL38),Jonathon Cooper,DEN,-,76,89,79,,
77,81.67,DE (DL39),Jermaine Johnson,TEN,27,77,105,63,,
78,82.00,CB (DB8),Devon Witherspoon,SEA,25,78,95,73,,
79,82.67,DE (DL40),Will McDonald IV,NYJ,26,79,107,62,,
80,85.67,DT (DL41),Calijah Kancey,TB,25,80,118,59,,
81,88.00,LB32,Nate Landman,LAR,27,81,32,-,,
82,89.33,DE (DL42),Mykel Williams,SF,21,82,121,65,,
83,90.00,LB33,Bobby Wagner,WAS,35,83,77,110,,
84,90.00,DT (DL43),Braden Fiske,LAR,-,84,102,84,,
85,91.00,S (DB9),Xavier McKinney,GB,26,85,116,72,,
86,91.33,LB34,DeMarvion Overshown,DAL,25,86,37,-,,
87,91.67,LB35,Dre Greenlaw,DEN,28,87,108,80,,
88,92.67,CB (DB10),Cooper DeJean,PHI,-,88,65,125,,
89,95.00,DE (DL44),Andrew Van Ginkel,MIN,-,89,83,113,,
90,95.33,S (DB11),Tykee Smith,TB,25,90,75,121,,
91,97.33,DT (DL45),Jer'Zhan Newton,WAS,23,93,100,99,,
92,97.33,DT (DL46),Mason Graham,CLE,22,91,101,100,,
93,97.67,DE (DL47),Nick Herbig,PIT,24,92,103,98,,
94,98.33,DE (DL48),Nolan Smith,PHI,25,94,143,58,,
95,99.00,DT (DL49),Leonard Williams,SEA,31,95,69,133,,
96,99.67,DT (DL50),Ed Oliver,BUF,28,96,98,105,,
97,100.67,LB36,Tyrel Dodson,MIA,-,98,109,95,,
98,101.00,DE (DL51),Montez Sweat,CHI,29,97,132,74,,
99,102.00,LB37,Trevin Wallace,CAR,23,99,110,97,,
100,104.67,S (DB12),Jessie Bates,ATL,29,101,119,94,,
101,105.00,DE (DL52),Rashan Gary,GB,28,100,137,78,,
102,106.33,DE (DL53),Mike Green,BAL,-,102,-,66,,
103,106.67,LB38,Teddye Buchanan,BAL,23,103,86,131,,
104,107.00,DT (DL54),Justin Madubuike,BAL,28,104,134,83,,
105,107.67,S (DB13),Tyler Nubin,NYG,24,105,147,71,,
106,108.33,DE (DL55),James Pearce Jr,ATL,22,106,129,90,,
107,109.33,DE (DL56),Donovan Ezeiruaku,DAL,22,107,70,-,,
108,110.00,DE (DL57),Chase Young,NO,26,108,71,-,,
109,112.00,DE (DL58),Jalyx Hunt,PHI,-,109,76,-,,
110,113.33,DT (DL59),Walter Nolen,ARI,22,110,79,-,,
111,114.00,LB39,Drake Thomas,SEA,26,111,80,-,,
112,114.67,LB40,Divine Deablo,ATL,27,112,81,-,,
113,115.33,WR1,Travis Hunter,JAC,22,113,82,-,,
114,116.00,S (DB14),Julian Love,SEA,27,114,114,120,,
115,117.00,DT (DL60),Zach Sieler,MIA,-,115,133,103,,
116,117.33,S (DB15),Quentin Lake,LAR,27,116,85,-,,
117,118.00,S (DB16),Malaki Starks,BAL,22,117,123,114,,
118,118.67,LB41,Logan Wilson,FA,29,118,-,87,,
119,119.00,S (DB17),Jalen Pitre,HOU,26,119,87,-,,
120,119.67,LB42,Junior Colson,LAC,23,120,-,88,,
121,120.33,LB43,Tyrice Knight,SEA,25,121,-,89,,
122,121.00,LB44,Demetrius Knight Jr,CIN,26,122,90,-,,
123,121.67,DE (DL61),Carl Granderson,NO,-,123,-,91,,
124,122.00,S (DB18),Kamren Curl,LAR,26,124,92,150,,
