Rank,Avg,Pos,Name,Team,Age,EricD,John H,Matt P,Michael M,Ryan M,Value,Follow
1,1.00,QB1,Josh Allen,BUF,29,1,1,1,1,1,,
2,3.20,QB2,Lamar Jackson,BAL,29,2,7,2,2,3,,
3,6.00,WR1,Ja'Marr Chase,CIN,26,3,11,8,3,5,,
4,6.40,QB3,Drake Maye,NE,23,9,6,5,10,2,,
5,7.00,WR2,Jaxon Smith-Njigba,SEA,24,5,14,6,6,4,,
6,7.40,WR3,Puka Nacua,LAR,24,4,15,7,5,6,,
7,8.40,QB4,Jayden Daniels,WAS,25,8,4,3,12,15,,
8,9.20,WR4,CeeDee Lamb,DAL,26,6,12,10,8,10,,
9,9.60,QB5,Jalen Hurts,PHI,27,18,8,4,7,11,,
10,10.00,QB6,Joe Burrow,CIN,29,10,3,19,4,14,,
11,10.60,RB1,Jahmyr Gibbs,DET,23,13,10,11,11,8,,
12,10.80,WR5,Amon-Ra St. Brown,DET,26,7,16,9,13,9,,
13,11.40,RB2,Bijan Robinson,ATL,24,12,9,12,17,7,,
14,13.80,WR6,Justin Jefferson,MIN,26,11,13,16,16,13,,
15,14.20,WR7,Malik Nabers,NYG,22,14,17,14,14,12,,
16,17.20,QB7,Patrick Mahomes,KC,30,19,2,32,9,24,,
17,17.60,QB8,Justin Herbert,LAC,27,20,5,25,15,23,,
18,19.60,TE1,Brock Bowers,LV,23,15,18,20,20,25,,
19,20.00,TE2,Trey McBride,ARI,26,17,19,13,25,26,,
20,21.40,QB9,Caleb Williams,CHI,23,23,20,24,22,18,,
21,21.40,RB3,Ashton Jeanty,LV,22,22,25,22,18,20,,
22,21.60,WR8,Drake London,ATL,24,16,27,15,31,19,,
23,23.20,QB10,Trevor Lawrence,JAC,26,29,21,23,27,16,,
24,25.40,WR9,Nico Collins,HOU,26,28,33,17,19,30,,
25,25.40,RB4,De'Von Achane,MIA,24,24,23,21,30,29,,
26,26.20,QB11,Jaxson Dart,NYG,22,35,29,18,32,17,,
27,27.00,QB12,Bo Nix,DEN,26,25,22,28,33,27,,
28,28.20,QB13,Jordan Love,GB,27,27,24,26,28,36,,
29,29.80,WR10,Emeka Egbuka,TB,23,21,45,27,23,33,,
30,30.40,RB5,Jonathan Taylor,IND,27,31,31,29,24,37,,
31,33.60,WR11,Garrett Wilson,NYJ,25,32,26,34,41,35,,
32,34.00,WR12,Tetairoa McMillan,CAR,22,26,44,30,49,21,,
33,36.60,WR13,George Pickens,DAL,25,37,48,33,43,22,,
34,36.60,RB6,Omarion Hampton,LAC,22,30,28,49,42,34,,
35,38.00,RB7,Breece Hall,NYJ,24,40,41,31,26,52,,
36,38.40,WR14,Ladd McConkey,LAC,24,33,32,37,48,42,,
37,41.00,QB14,Dak Prescott,DAL,32,34,49,40,21,61,,
38,43.00,QB15,Brock Purdy,SF,26,38,53,41,35,48,,
39,43.40,WR15,AJ Brown,PHI,28,42,46,35,37,57,,
40,44.40,RB8,James Cook,BUF,26,41,34,48,55,44,,
41,46.20,WR16,Rome Odunze,CHI,23,36,74,45,44,32,,
42,46.60,WR17,Brian Thomas,JAC,23,39,71,38,45,40,,
43,47.40,WR18,Marvin Harrison Jr,ARI,23,62,42,44,34,55,,
44,47.60,RB9,Bucky Irving,TB,23,43,40,52,65,38,,
45,49.20,QB16,Baker Mayfield,TB,30,46,37,50,51,62,,
46,49.40,WR19,Rashee Rice,KC,25,57,47,56,59,28,,
47,50.20,RB10,Christian McCaffrey,SF,29,49,66,51,40,45,,
48,50.40,RB11,Saquon Barkley,PHI,29,51,38,68,39,56,,
49,51.00,WR20,DeVonta Smith,PHI,27,50,43,46,50,66,,
50,51.20,TE3,Tyler Warren,IND,23,44,58,53,62,39,,
51,51.80,QB17,CJ Stroud,HOU,24,63,61,43,29,63,,
52,52.00,RB12,Quinshon Judkins,CLE,22,47,35,65,67,46,,
53,55.00,TE4,Sam LaPorta,DET,25,53,92,36,36,58,,
54,56.00,RB13,Kyren Williams,LAR,25,48,64,66,53,49,,
55,56.20,WR21,Tee Higgins,CIN,27,58,77,47,56,43,,
56,57.20,QB18,Jared Goff,DET,31,54,52,67,54,59,,
57,57.40,TE5,Tucker Kraft,GB,25,55,36,54,92,50,,
58,58.40,WR22,Chris Olave,NO,25,67,57,39,58,71,,
59,58.40,TE6,Colston Loveland,CHI,21,52,50,95,64,31,,
60,58.60,RB14,Chase Brown,CIN,25,60,51,58,70,54,,
61,60.00,RB15,TreVeyon Henderson,NE,23,45,54,57,93,51,,
62,60.20,WR23,Jaylen Waddle,MIA,27,65,62,60,46,68,,
63,61.00,RB16,Kenneth Walker,FA,25,56,39,63,66,81,,
64,62.60,WR24,DK Metcalf,PIT,28,64,63,61,52,73,,
65,63.40,QB19,Kyler Murray,FA,28,69,79,42,38,89,,
66,66.00,RB17,Josh Jacobs,GB,28,66,30,86,81,67,,
67,67.20,QB20,Cam Ward,TEN,23,71,56,72,47,90,,
68,69.40,WR25,Zay Flowers,BAL,25,59,99,59,61,69,,
69,71.80,WR26,Jordan Addison,MIN,24,61,111,70,57,60,,
70,79.40,WR27,Brandon Aiyuk,SF,27,83,100,73,63,78,,
71,79.60,WR28,Davante Adams,LAR,33,70,112,71,68,77,,
72,80.60,WR29,Chris Godwin,TB,30,74,97,84,72,76,,
73,80.60,RB18,Travis Etienne,FA,27,77,81,75,84,86,,
74,80.60,RB19,Cam Skattebo,NYG,24,84,70,62,134,53,,
75,81.60,QB21,Sam Darnold,SEA,28,75,59,69,103,102,,
76,81.80,RB20,RJ Harvey,DEN,25,68,76,102,98,65,,
77,82.60,WR30,Travis Hunter,JAC,22,82,113,76,78,64,,
78,83.80,WR31,Luther Burden,CHI,22,72,73,97,136,41,,
79,85.20,WR32,Terry McLaurin,WAS,30,78,96,103,74,75,,
80,86.20,WR33,Jameson Williams,DET,24,73,116,81,114,47,,
81,87.00,QB22,Bryce Young,CAR,24,81,55,110,90,99,,
82,87.60,RB21,Derrick Henry,BAL,32,89,69,99,111,70,,
83,88.00,TE7,Kyle Pitts,ATL,25,92,90,94,80,84,,
84,88.20,TE8,Mark Andrews,BAL,30,85,101,79,79,97,,
85,90.40,TE9,George Kittle,SF,32,80,123,77,87,85,,
86,90.80,WR34,DJ Moore,BUF,28,99,98,85,76,96,,
87,92.40,TE10,Dalton Kincaid,BUF,26,98,117,78,75,94,,
88,92.60,WR35,Michael Pittman,IND,28,76,119,83,113,72,,
89,95.20,RB22,Trey Benson,ARI,23,90,84,100,120,82,,
90,96.40,WR36,Jayden Reed,GB,25,86,138,88,82,88,,
91,96.60,WR37,Deebo Samuel,WAS,30,93,109,90,85,106,,
92,98.60,QB23,Michael Penix,ATL,25,100,106,89,106,92,,
93,98.80,WR38,Xavier Worthy,KC,22,97,121,93,71,112,,
94,99.40,RB23,Javonte Williams,DAL,25,105,83,64,132,113,,
95,99.60,WR39,Matthew Golden,GB,22,103,126,82,104,83,,
96,102.20,QB24,JJ McCarthy,MIN,23,110,107,91,77,126,,
97,102.40,TE11,TJ Hockenson,MIN,28,96,136,80,69,131,,
98,103.20,WR40,Courtland Sutton,DEN,30,79,114,141,102,80,,
99,103.40,RB24,D'Andre Swift,CHI,27,94,94,108,105,116,,
100,104.60,WR41,Josh Downs,IND,24,104,133,96,83,107,,
101,105.00,QB25,Daniel Jones,IND,28,95,80,134,118,98,,
102,106.60,QB26,Matthew Stafford,LAR,38,102,78,152,100,101,,
103,107.40,RB25,Zach Charbonnet,SEA,25,88,102,107,130,110,,
104,108.40,WR42,Mike Evans,FA,32,112,120,113,88,109,,
105,108.60,WR43,Ricky Pearsall,SF,25,107,122,111,124,79,,
106,109.20,TE12,Oronde Gadsden,LAC,22,87,91,87,178,103,,
107,109.40,TE13,David Njoku,FA,29,91,150,101,73,132,,
108,110.60,TE14,Travis Kelce,KC,36,101,110,130,60,152,,
109,116.60,QB27,Tyler Shough,NO,26,111,60,117,172,123,,
110,117.00,TE15,Harold Fannin,CLE,22,119,89,55,235,87,,
111,117.20,RB26,Alvin Kamara,NO,30,114,141,118,89,124,,
112,117.60,RB27,Jaylen Warren,PIT,27,117,68,139,159,105,,
113,118.80,RB28,Rhamondre Stevenson,NE,28,118,65,145,99,167,,
114,119.20,WR44,Jayden Higgins,HOU,23,106,158,98,116,118,,
115,119.60,WR45,Christian Watson,GB,26,127,88,133,131,119,,
116,121.60,QB28,Tua Tagovailoa,MIA,28,141,108,74,157,128,,
117,121.80,WR46,Keon Coleman,BUF,22,132,139,116,127,95,,
118,123.20,RB29,David Montgomery,HOU,28,120,142,138,101,115,,
119,123.80,WR47,Jakobi Meyers,JAC,29,121,125,123,142,108,,
120,124.40,WR48,Stefon Diggs,FA,32,116,140,115,97,154,,
121,125.20,WR49,Jauan Jennings,SF,28,125,87,144,148,122,,
122,125.80,RB30,Aaron Jones,MIN,31,115,115,119,109,171,,
123,126.00,WR50,Quentin Johnston,LAC,24,108,130,112,187,93,,
124,127.20,RB31,Isiah Pacheco,KC,27,124,151,131,91,139,,
125,127.60,WR51,Tyreek Hill,FA,32,142,137,92,112,155,,
126,127.80,TE16,Jake Ferguson,DAL,27,109,156,105,139,130,,
127,131.00,RB32,JK Dobbins,DEN,27,123,93,140,156,143,,
128,132.40,RB33,Rico Dowdle,FA,27,113,124,136,185,104,,
129,134.60,WR52,Calvin Ridley,TEN,31,139,149,121,95,169,,
130,135.00,QB29,Geno Smith,FA,35,143,148,104,123,157,,
131,135.00,RB34,Kaleb Johnson,PIT,22,131,153,153,147,91,,
132,135.80,RB35,Tyjae Spears,TEN,24,122,131,151,86,189,,
133,136.00,WR53,Jerry Jeudy,CLE,26,151,143,161,125,100,,
134,137.60,RB36,Chuba Hubbard,CAR,26,137,152,142,140,117,,
135,138.40,TE17,Dallas Goedert,PHI,31,126,135,126,119,186,,
136,138.80,WR54,Cooper Kupp,SEA,32,128,144,114,96,212,,
137,138.80,RB37,Woody Marks,HOU,25,135,67,146,232,114,,
138,140.60,RB38,Tony Pollard,TEN,28,153,163,150,108,129,,
139,142.20,TE18,Isaiah Likely,FA,25,136,154,129,151,141,,
140,143.40,WR55,Parker Washington,JAC,23,140,72,166,228,111,,
141,144.20,RB39,Jacory Croskey-Merritt,WAS,24,150,85,147,183,156,,
142,145.20,RB40,Tyrone Tracy Jr,NYG,26,152,159,122,149,144,,
143,145.40,RB41,Kyle Monangai,CHI,23,138,95,156,188,150,,
144,147.00,WR56,Wan'Dale Robinson,NYG,25,129,162,173,144,127,,
145,147.20,RB42,Bhayshul Tuten,JAC,23,130,160,109,191,146,,
146,148.00,WR57,Alec Pierce,FA,25,198,75,124,209,134,,
147,149.60,WR58,Elic Ayomanor,TEN,22,133,157,168,155,135,,
148,151.20,RB43,Brian Robinson,SF,26,155,168,135,117,181,,
149,151.40,TE19,Evan Engram,DEN,31,134,145,132,135,211,,
150,151.80,WR59,Tre Harris,LAC,24,156,169,155,141,138,,
151,152.80,RB44,Tyler Allgeier,ATL,25,147,127,149,168,173,,
152,153.00,TE20,Juwan Johnson,NO,29,146,167,128,160,164,,
153,154.20,RB45,Blake Corum,LAR,25,157,132,154,207,121,,
154,156.40,WR60,Michael Wilson,ARI,26,148,-,148,110,125,,
155,156.60,WR61,Romeo Doubs,GB,25,149,164,165,126,179,,
156,159.00,WR62,Tank Dell,HOU,26,170,181,106,121,217,,
157,160.20,QB30,Malik Willis,FA,26,193,103,216,215,74,,
158,160.20,RB46,Rachaad White,TB,27,158,182,120,196,145,,
159,160.20,RB47,Braelon Allen,NYJ,22,167,170,157,170,137,,
160,162.40,WR63,Rashid Shaheed,SEA,27,145,165,176,146,180,,
161,163.00,RB48,Joe Mixon,FA,29,183,193,125,115,199,,
162,163.80,RB49,Jordan Mason,MIN,26,154,172,177,176,140,,
163,165.00,QB31,Justin Fields,NYJ,27,178,147,217,122,161,,
164,165.60,RB50,James Conner,ARI,30,174,179,185,107,183,,
165,167.40,QB32,Aaron Rodgers,PIT,42,192,104,200,179,162,,
166,168.80,TE21,Mason Taylor,NYJ,21,144,155,163,234,148,,
167,169.00,QB33,Shedeur Sanders,CLE,24,163,105,158,241,178,,
168,171.20,RB51,Jaylen Wright,MIA,22,164,176,174,154,188,,
169,173.00,WR64,Christian Kirk,HOU,29,160,180,179,128,218,,
170,173.40,WR65,Tory Horton,SEA,23,161,204,191,153,158,,
171,173.80,WR66,Adonai Mitchell,NYJ,24,201,184,206,145,133,,
172,174.00,WR67,Jalen Coker,CAR,24,191,86,169,249,175,,
173,175.60,RB52,Ray Davis,BUF,26,159,171,164,218,166,,
174,177.00,WR68,Khalil Shakir,BUF,26,168,174,194,229,120,,
175,177.60,WR69,Darnell Mooney,FA,28,172,161,213,129,213,,
176,178.40,TE22,Elijah Arroyo,SEA,22,206,205,167,165,149,,
177,180.20,QB34,Jalen Milroe,SEA,23,182,196,175,212,136,,
178,180.40,TE23,Theo Johnson,NYG,25,179,118,198,223,184,,
179,181.00,TE24,Chig Okonkwo,TEN,26,171,183,182,175,194,,
180,181.60,WR70,Dontayvion Wicks,GB,24,175,166,196,161,210,,
181,181.80,RB53,Tank Bigsby,PHI,24,181,216,184,137,191,,
182,182.20,WR71,Tre Tucker,LV,24,176,189,199,184,163,,
183,182.40,WR72,Pat Bryant,DEN,23,162,202,186,166,196,,
184,184.00,WR73,Marvin Mims,DEN,23,169,173,170,181,227,,
185,185.00,WR74,Jack Bech,LV,23,200,213,160,167,185,,
186,185.40,WR75,Kayshon Boutte,NE,23,173,185,224,171,174,,
187,185.40,WR76,Xavier Legette,CAR,25,166,175,205,143,238,,
188,185.60,WR77,Troy Franklin,DEN,23,165,190,193,233,147,,
189,186.20,QB35,Anthony Richardson,IND,23,-,225,171,94,190,,
190,187.00,TE25,Terrance Ferguson,LAR,23,185,-,159,189,151,,
191,187.40,WR78,Jaylin Noel,HOU,23,177,-,137,202,170,,
192,188.40,WR79,Rashod Bateman,BAL,26,209,207,181,203,142,,
193,189.00,RB54,Kenneth Gainwell,PIT,26,199,82,-,236,177,,
194,191.40,WR80,Marquise Brown,KC,28,204,186,143,190,234,,
195,192.40,QB36,Russell Wilson,NYG,37,205,222,183,138,214,,
196,192.80,TE26,Jonnu Smith,FA,30,212,192,127,194,239,,
197,193.80,RB55,Kendre Miller,NO,23,180,187,215,186,201,,
198,195.60,WR81,Kyle Williams,NE,23,188,-,162,224,153,,
199,196.00,WR82,Cedric Tillman,CLE,25,187,223,180,231,159,,
200,197.40,RB56,Nick Chubb,HOU,30,213,210,178,150,236,,
201,198.00,QB37,Kirk Cousins,ATL,37,207,203,225,152,203,,
202,198.00,WR83,Demario Douglas,NE,25,195,195,207,163,230,,
203,198.20,WR84,Isaac TeSlaa,DET,24,184,238,190,211,168,,
204,198.40,RB57,Jonathon Brooks,CAR,22,203,201,197,182,209,,
205,198.60,RB58,Dylan Sampson,CLE,21,211,228,172,200,182,,
206,199.20,QB38,Spencer Rattler,NO,25,196,188,192,169,-,,
207,200.00,TE27,Cole Kmet,CHI,26,216,217,227,133,207,,
208,200.80,TE28,Hunter Henry,NE,31,230,129,214,226,205,,
209,203.60,TE29,Pat Freiermuth,PIT,27,194,234,211,158,221,,
210,204.00,TE30,Cade Otton,TB,26,190,194,187,225,224,,
211,204.60,TE31,Dalton Schultz,HOU,29,219,218,201,162,223,,
212,205.40,WR85,Chimere Dike,TEN,24,197,230,226,198,176,,
213,207.00,WR86,Keenan Allen,LAC,33,186,177,204,243,225,,
214,207.40,RB59,Kimani Vidal,LAC,24,232,134,-,227,193,,
215,211.40,RB60,DJ Giddens,IND,22,210,208,208,244,187,,
216,212.60,RB61,Jaydon Blue,DAL,22,241,233,188,199,202,,
217,212.80,TE32,Ja'Tavion Sanders,CAR,22,189,191,220,222,242,,
218,215.00,RB62,Jerome Ford,CLE,26,220,215,212,197,231,,
219,215.40,RB63,Sean Tucker,TB,24,202,178,247,242,208,,
220,215.40,RB64,Devin Neal,NO,22,233,229,239,204,172,,
