name,value
A.J. Brown,71.0
Aaron Anderson,485.0
Aaron Jones,269.0
Aaron Rodgers,422.0
Adam Randall,292.0
Adonai Mitchell,251.0
AJ Barner,238.0
Alec Pierce,127.0
Alvin Kamara,265.0
Amon-Ra St. Brown,15.0
Andrei Iosivas,420.0
Andres Borregales,407.0
Anthony Gould,552.0
Anthony Richardson,334.0
Antonio Gibson,425.0
Antonio Williams,259.0
Arian Smith,470.0
Ashton Jeanty,20.0
Audric Estime,428.0
Baker Mayfield,66.0
Barion Brown,429.0
Barry Kpeenu,510.0
Bauer Sharp,580.0
Behren Morton,505.0
Ben Sinnott,554.0
Bhayshul Tuten,145.0
Bijan Robinson,4.0
Blake Corum,184.0
Bo Nix,40.0
Braelon Allen,233.0
Brandon Aiyuk,242.0
Brandon Aubrey,112.0
Brandon McManus,342.0
Brashard Smith,315.0
Breece Hall,45.0
Brenen Thompson,313.0
Brenton Strange,129.0
Brian Robinson,314.0
Brian Thomas,90.0
Brock Bowers,12.0
Brock Purdy,33.0
Bryce Lance,284.0
Bryce Young,87.0
Bub Means,536.0
Bucky Irving,69.0
C.J. Stroud,52.0
Cade Klubnik,493.0
Cade Otton,249.0
Cade Stover,555.0
Cairo Santos,432.0
Caleb Douglas,477.0
Caleb Williams,14.0
Calvin Austin,330.0
Calvin Ridley,377.0
Cam Little,283.0
Cameron Dicker,170.0
Cameron Skattebo,96.0
Cameron Ward,83.0
Carnell Tate,65.0
Carson Beck,413.0
Caullin Lacy,520.0
Cedric Tillman,318.0
CeeDee Lamb,16.0
Charlie Kolar,518.0
Charlie Smyth,461.0
Chase Brown,62.0
Chase McLaughlin,205.0
Chase Roberts,531.0
Chigoziem Okonkwo,215.0
Chimere Dike,296.0
Chip Trayanum,492.0
Chris Bell,212.0
Chris Boswell,350.0
Chris Brazzell,224.0
Chris Godwin,164.0
Chris Hilton,521.0
Chris Olave,49.0
Chris Rodriguez,304.0
Christian Kirk,405.0
Christian McCaffrey,48.0
Christian Watson,113.0
Chuba Hubbard,173.0
CJ Daniels,439.0
CJ Dippre,570.0
CJ Donaldson,486.0
Colbie Young,522.0
Colby Parkinson,293.0
Cole Kmet,496.0
Cole Payton,445.0
Colston Loveland,30.0
Cooper Kupp,404.0
Courtland Sutton,134.0
Cyrus Allen,540.0
D'Andre Swift,147.0
D.J. Moore,137.0
D.K. Metcalf,117.0
Dae'Quan Wright,581.0
Dak Prescott,46.0
Dallas Goedert,141.0
Dallen Bentley,572.0
Dalton Kincaid,77.0
Dalton Schultz,195.0
Dan Villari,587.0
Daniel Bellinger,526.0
Daniel Jones,94.0
Darius Slayton,463.0
Darnell Mooney,341.0
Darnell Washington,450.0
Darren Waller,545.0
Davante Adams,123.0
David Montgomery,183.0
David Njoku,165.0
Davis Allen,560.0
Dawson Knox,549.0
De'Von Achane,23.0
De'Zhaun Stribling,410.0
Deebo Samuel,310.0
Deion Burks,289.0
Demarcus Robinson,515.0
Demario Douglas,365.0
Demond Claiborne,285.0
Denzel Boston,136.0
Derius Davis,527.0
Derrick Henry,102.0
Deshaun Watson,446.0
Desmond Reid,481.0
Devaughn Vele,349.0
Devin Culp,571.0
Devin Neal,316.0
Devin Singletary,395.0
Devin Voisin,535.0
DeVonta Smith,68.0
Devontez Walker,500.0
Diego Pavia,490.0
Dillon Gabriel,364.0
DJ Giddens,412.0
DJ Rogers,543.0
Dominic Lovett,551.0
Donaven McCulley,528.0
Dont'e Thornton,338.0
Dontayvion Wicks,329.0
Drake London,24.0
Drake Maye,2.0
Drew Allar,401.0
Dyami Brown,503.0
Dylan Sampson,252.0
Eli Heidenreich,435.0
Eli Raridon,575.0
Eli Stowers,110.0
Elic Ayomanor,274.0
Elijah Arroyo,232.0
Elijah Sarratt,216.0
Emanuel Wilson,345.0
Emari Demercado,433.0
Emeka Egbuka,42.0
Emmanuel Henderson,532.0
Emmett Johnson,176.0
Eric McAlister,453.0
Eric Rivers,474.0
Evan Engram,399.0
Evan McPherson,271.0
Fernando Mendoza,41.0
Garrett Nussmeier,322.0
Garrett Wilson,57.0
Geno Smith,268.0
George Kittle,106.0
George Pickens,37.0
Germie Bernard,231.0
Graham Gano,564.0
Greg Dortch,514.0
Greg Dulcich,509.0
Gunnar Helm,256.0
Harold Fannin,32.0
Harrison Butker,225.0
Harrison Mevis,494.0
Harrison Wallace,437.0
Haynes King,491.0
Hunter Henry,178.0
Isaac Guerendo,355.0
Isaac TeSlaa,278.0
Isaiah Bond,387.0
Isaiah Davis,332.0
Isaiah Likely,124.0
Isiah Pacheco,264.0
J'Mari Taylor,427.0
J. Michael Sturdivant,497.0
J.J. McCarthy,103.0
J.K. Dobbins,202.0
Ja'Corey Brooks,544.0
Ja'Kobi Lane,266.0
Ja'Lynn Polk,542.0
Ja'Marr Chase,5.0
Ja'Tavion Sanders,406.0
Jack Bech,311.0
Jack Endries,541.0
Jackson Hawes,558.0
Jacob Cowing,546.0
Jacoby Brissett,312.0
Jacory Croskey-Merritt,221.0
Jadarian Price,128.0
Jahan Dotson,302.0
Jahmyr Gibbs,9.0
Jake Bates,143.0
Jake Briningstool,561.0
Jake Elliott,228.0
Jake Ferguson,81.0
Jake Tonges,547.0
Jakobi Meyers,169.0
Jaleel McLaughlin,417.0
Jalen Coker,243.0
Jalen Hurts,21.0
Jalen McMillan,211.0
Jalen Milroe,369.0
Jalen Nailor,396.0
Jalen Royals,411.0
Jalen Tolbert,471.0
Jalen Walthall,524.0
Jalin Hyatt,525.0
Jalon Daniels,498.0
Jamal Haynes,506.0
Jamarion Miller,326.0
James Conner,303.0
James Cook,36.0
Jameson Williams,73.0
Jared Goff,70.0
Jaren Kanak,583.0
Jarquez Hunter,368.0
Jason Myers,348.0
Jason Sanders,403.0
Jauan Jennings,237.0
Javonte Williams,109.0
Jawhar Jordan,469.0
Jaxon Smith-Njigba,6.0
Jaxson Dart,34.0
Jayden Daniels,3.0
Jayden Higgins,121.0
Jayden Reed,189.0
Jaydn Ott,476.0
Jaydon Blue,325.0
Jaylen Waddle,72.0
Jaylen Warren,148.0
Jaylen Wright,323.0
Jaylin Lane,408.0
Jaylin Noel,273.0
Jeff Caldwell,434.0
Jeremiyah Love,19.0
Jeremy Ruckert,568.0
Jerome Ford,394.0
Jerry Jeudy,280.0
Jimmy Horn,451.0
Joe Burrow,10.0
Joe Fagnano,508.0
Joe Mixon,300.0
Joe Royer,557.0
John Metchie,513.0
John Michael Gyllenborg,565.0
Jonah Coleman,163.0
Jonathan Mingo,519.0
Jonathan Taylor,29.0
Jonathon Brooks,244.0
Jonnu Smith,480.0
Jordan Addison,115.0
Jordan Hudson,449.0
Jordan James,363.0
Jordan Love,39.0
Jordan Mason,203.0
Jordan Watkins,452.0
Jordan Whittington,447.0
Jordyn Tyson,76.0
Josh Allen,1.0
Josh Cameron,415.0
Josh Cuevas,576.0
Josh Downs,196.0
Josh Jacobs,59.0
Joshua Palmer,402.0
Justice Hill,388.0
Justin Fields,220.0
Justin Herbert,22.0
Justin Jefferson,17.0
Justin Joly,533.0
Juwan Johnson,166.0
Ka'imi Fairbairn,161.0
Kaden Wetjen,502.0
Kaelon Black,516.0
Kaleb Johnson,317.0
KaVontae Turpin,478.0
Kayshon Boutte,291.0
Kaytron Allen,239.0
KC Concepcion,107.0
KeAndre Lambert-Smith,424.0
Keaton Mitchell,305.0
Keenan Allen,337.0
Kejon Owens,507.0
Kendre Miller,390.0
Kendrick Law,479.0
Kenneth Gainwell,204.0
Kenneth Walker,44.0
Kentrel Bullock,511.0
Kenyon Sadiq,47.0
Keon Coleman,307.0
Kevin Coleman,430.0
Khalil Dinkins,584.0
Khalil Shakir,156.0
Kimani Vidal,357.0
Kirk Cousins,431.0
Konata Mumpfield,441.0
Kyle Monangai,199.0
Kyle Pitts,51.0
Kyle Williams,308.0
Kyler Murray,82.0
Kyren Williams,80.0
Ladd McConkey,58.0
Lake McRee,574.0
Lamar Jackson,7.0
Le'Veon Moss,421.0
LeQuint Allen,333.0
Lewis Bond,534.0
Luke Altmyer,487.0
Luke McCaffrey,475.0
Luke Musgrave,550.0
Luke Schoonmaker,563.0
Luther Burden,64.0
Mac Jones,380.0
Mack Hollins,501.0
Makai Lemon,63.0
Malachi Fields,260.0
Malik Benson,464.0
