name,value
Bijan Robinson,10200
Ja'Marr Chase,10200
Josh Allen,10200
Jahmyr Gibbs,10136
Jaxon Smith-Njigba,10006
Drake Maye,9982
Puka Nacua,9420
Lamar Jackson,8019
Malik Nabers,7951
Brock Bowers,7941
Justin Jefferson,7931
Trey McBride,7893
Jayden Daniels,7792
Caleb Williams,7753
Amon-Ra St. Brown,7694
Ashton Jeanty,7466
Joe Burrow,7347
CeeDee Lamb,7174
Justin Herbert,6502
Patrick Mahomes,6400
Omarion Hampton,6298
De'Von Achane,6274
Jeremiyah Love,6211
Drake London,6207
Jalen Hurts,6103
Jaxson Dart,5944
Colston Loveland,5502
Bo Nix,5480
Tetairoa McMillan,5458
Trevor Lawrence,5430
Jonathan Taylor,5328
James Cook,5255
Brock Purdy,5186
Tyler Warren,4974
George Pickens,4971
Emeka Egbuka,4868
Jordan Love,4554
Nico Collins,4551
Chris Olave,4494
Garrett Wilson,4461
Kenneth Walker,4343
Christian McCaffrey,4297
Dak Prescott,4290
TreVeyon Henderson,4272
Quinshon Judkins,3979
Breece Hall,3860
Ladd McConkey,3837
Carnell Tate,3818
Cam Ward,3777
Fernando Mendoza,3724
Rome Odunze,3559
Rashee Rice,3530
Makai Lemon,3528
Chase Brown,3513
Bucky Irving,3455
Luther Burden,3395
Harold Fannin,3387
Kenyon Sadiq,3384
Saquon Barkley,3349
Baker Mayfield,3326
Tucker Kraft,3311
Marvin Harrison,3302
Brian Thomas,3228
Sam LaPorta,3216
C.J. Stroud,3208
A.J. Brown,3176
Tee Higgins,3143
Jared Goff,3142
Zay Flowers,3065
Kyren Williams,3047
Jordyn Tyson,3011
DeVonta Smith,2992
Jaylen Waddle,2975
Tyler Shough,2972
Kyle Pitts,2972
Javonte Williams,2964
Sam Darnold,2958
Travis Etienne,2919
Josh Jacobs,2918
Bryce Young,2904
Cam Skattebo,2892
Kyler Murray,2881
Jameson Williams,2860
Malik Willis,2686
DJ Moore,2598
Daniel Jones,2590
Jadarian Price,2564
Alec Pierce,2497
Oronde Gadsden,2493
Bhayshul Tuten,2483
Omar Cooper,2409
KC Concepcion,2382
Derrick Henry,2381
RJ Harvey,2376
Jonah Coleman,2344
Travis Hunter,2268
Eli Stowers,2231
Denzel Boston,2223
Jordan Addison,2210
Matthew Stafford,2119
Parker Washington,2108
Isaiah Likely,2101
Davante Adams,2101
David Montgomery,2095
Michael Wilson,2081
Wan'Dale Robinson,2069
Mike Evans,2018
Emmett Johnson,2005
Matthew Golden,1996
Nicholas Singleton,1956
Ty Simpson,1953
Mike Washington,1931
Christian Watson,1914
D'Andre Swift,1873
Terry McLaurin,1833
DK Metcalf,1831
Zach Charbonnet,1827
Romeo Doubs,1825
Chuba Hubbard,1798
Elijah Sarratt,1794
George Kittle,1790
Chris Bell,1779
Michael Pittman,1777
Dalton Kincaid,1756
Jake Ferguson,1747
Tyler Allgeier,1706
Ricky Pearsall,1694
Jayden Higgins,1665
Kyle Monangai,1662
Michael Penix,1592
Chig Okonkwo,1584
Xavier Worthy,1568
Josh Downs,1540
J.J. McCarthy,1539
Brenton Strange,1536
T.J. Hockenson,1521
Jonathon Brooks,1520
Rico Dowdle,1501
Courtland Sutton,1500
Jayden Reed,1496
Jaylen Warren,1495
Tua Tagovailoa,1488
J.K. Dobbins,1481
Zachariah Branch,1475
Jakobi Meyers,1467
Quentin Johnston,1460
Jalen McMillan,1456
Rhamondre Stevenson,1434
Shedeur Sanders,1422
Blake Corum,1415
Gunnar Helm,1408
Chris Godwin,1404
AJ Barner,1399
Chris Brazzell,1399
Demond Claiborne,1386
Mason Taylor,1383
Chris Rodriguez,1363
Kirk Cousins,1357
Jacoby Brissett,1347
Germie Bernard,1345
Terrance Ferguson,1339
Mark Andrews,1331
Dallas Goedert,1329
Brian Robinson,1328
Tre' Harris,1327
Max Klare,1315
Travis Kelce,1305
Malachi Fields,1300
Kenneth Gainwell,1295
Jalen Coker,1289
Braelon Allen,1283
Ja'Kobi Lane,1279
Dylan Sampson,1253
Geno Smith,1245
Khalil Shakir,1241
Tank Bigsby,1241
Mac Jones,1235
Brandon Aiyuk,1233
Tank Dell,1225
Jacory Croskey-Merritt,1223
David Njoku,1214
Rachaad White,1209
Kaytron Allen,1202
Juwan Johnson,1201
Antonio Williams,1192
Jordan Mason,1188
Justin Fields,1186
Skyler Bell,1183
Woody Marks,1179
Jerry Jeudy,1177
Tyreek Hill,1172
Dontayvion Wicks,1161
Ted Hurst,1155
Jauan Jennings,1154
Kaleb Johnson,1150
Deshaun Watson,1146
Anthony Richardson,1145
Isaac TeSlaa,1144
Tony Pollard,1143
Trey Benson,1132
Jordan James,1128
Cade Otton,1124
Rashid Shaheed,1123
Keaton Mitchell,1112
Pat Bryant,1112
Isiah Pacheco,1107
Elic Ayomanor,1095
Keon Coleman,1093
Hunter Henry,1093
Adonai Mitchell,1070
Tyrone Tracy,1069
Ollie Gordon,1068
Jaylin Noel,1067
Troy Franklin,1066
Emanuel Wilson,1064
Dalton Schultz,1048
Alvin Kamara,1047
Kayshon Boutte,1036
Jalen Nailor,1029
Tyjae Spears,1028
Pat Freiermuth,1005
Le'Veon Moss,1002
Aaron Jones,1001
Chimere Dike,998
Calvin Ridley,994
Jack Bech,993
Kyle Williams,968
Tre Tucker,958
Garrett Nussmeier,952
Jake Tonges,943
Michael Trigg,931
Deebo Samuel,924
James Conner,920
Malik Washington,913
J'Mari Taylor,887
Ray Davis,856
Tory Horton,855
Aaron Rodgers,826
Theo Johnson,819
Kimani Vidal,788
Elijah Arroyo,734
Dont'e Thornton,723
Isaiah Bond,694
Tez Johnson,606
Cade Klubnik,596
Stefon Diggs,555
DJ Giddens,529
Evan Engram,484
Christian Kirk,468
Najee Harris,462
Joe Flacco,434
Darnell Mooney,432
Jaydon Blue,431
Xavier Legette,397
Michael Mayer,391
Will Howard,389
Ja'Tavion Sanders,381
Jaylen Wright,371
Sean Tucker,368
Riley Leonard,351
MarShawn Lloyd,305
DeMario Douglas,302
Jonnu Smith,298
Brashard Smith,296
Mike Gesicki,287
Luke Musgrave,280
LeQuint Allen,275
Greg Dulcich,274
Marvin Mims,274
Trevor Etienne,266
Jalen Milroe,261
Savion Williams,259
Jameis Winston,248
Cedric Tillman,242
Jalen Tolbert,233
Colby Parkinson,233
Marcus Mariota,233
Devin Neal,230
Ben Sinnott,223
Tyson Bagent,206
Cole Kmet,203
Cooper Kupp,201
Jaylin Lane,199
Jahan Dotson,199
Devaughn Vele,193
