name,value
2026 Early 1st,5046.0
2026 Early 2nd,1859.0
2026 Early 3rd,808.0
2026 Early 4th,480.0
2026 Late 1st,2399.0
2026 Late 2nd,1292.0
2026 Late 3rd,541.0
2026 Late 4th,412.0
2026 Mid 1st,2979.0
2026 Mid 2nd,1558.0
2026 Mid 3rd,680.0
2026 Mid 4th,456.0
2027 Early 1st,3803.0
2027 Early 2nd,1825.0
2027 Early 3rd,727.0
2027 Early 4th,468.0
2027 Late 1st,2311.0
2027 Late 2nd,1273.0
2027 Late 3rd,518.0
2027 Late 4th,387.0
2027 Mid 1st,2889.0
2027 Mid 2nd,1535.0
2027 Mid 3rd,606.0
2027 Mid 4th,438.0
2028 Early 1st,3224.0
2028 Early 2nd,1683.0
2028 Early 3rd,713.0
2028 Early 4th,457.0
2028 Late 1st,2244.0
2028 Late 2nd,1246.0
2028 Late 3rd,506.0
2028 Late 4th,385.0
2028 Mid 1st,2880.0
2028 Mid 2nd,1466.0
2028 Mid 3rd,566.0
2028 Mid 4th,419.0
A.J. Brown,3174.0
Aaron Jones,1104.0
Aaron Rodgers,838.0
Adonai Mitchell,1132.0
AJ Barner,1324.0
Alec Pierce,2460.0
Alvin Kamara,1050.0
Amon-Ra St. Brown,7522.0
Andrei Iosivas,47.0
Anthony Richardson,1193.0
Antonio Williams,1190.0
Ashton Jeanty,7163.0
Audric Estime,13.0
Baker Mayfield,3169.0
Ben Sinnott,272.0
Bhayshul Tuten,2438.0
Bijan Robinson,10200.0
Blake Corum,1474.0
Bo Nix,5540.0
Braelon Allen,1232.0
Brandon Aiyuk,1340.0
Brashard Smith,541.0
Breece Hall,4010.0
Brenton Strange,1549.0
Brian Robinson,1466.0
Brian Thomas,3296.0
Brock Bowers,7574.0
Brock Purdy,5196.0
Bryce Young,2863.0
Bucky Irving,3859.0
C.J. Stroud,3329.0
Cade Otton,1185.0
Caleb Williams,7734.0
Calvin Austin,170.0
Calvin Ridley,765.0
Cam Skattebo,2869.0
Cam Ward,4015.0
Carnell Tate,3791.0
Cedric Tillman,159.0
CeeDee Lamb,6914.0
Chase Brown,3467.0
Chig Okonkwo,1663.0
Chimere Dike,1105.0
Chris Bell,1798.0
Chris Brazzell,1423.0
Chris Godwin,1434.0
Chris Olave,4492.0
Chris Rodriguez,1388.0
Christian Kirk,428.0
Christian McCaffrey,4325.0
Christian Watson,1745.0
Chuba Hubbard,1770.0
Colby Parkinson,396.0
Cole Kmet,65.0
Colston Loveland,5538.0
Cooper Kupp,244.0
Courtland Sutton,1588.0
D'Andre Swift,1848.0
Dak Prescott,4456.0
Dallas Goedert,1329.0
Dalton Kincaid,1761.0
Dalton Schultz,1310.0
Daniel Bellinger,136.0
Daniel Jones,2656.0
Darius Slayton,35.0
Darnell Mooney,798.0
Darnell Washington,161.0
Darren Waller,52.0
Davante Adams,2210.0
David Montgomery,2047.0
David Njoku,1189.0
Davis Mills,33.0
De'Von Achane,6365.0
Deebo Samuel,957.0
Deion Burks,1002.0
DeMario Douglas,93.0
Demond Claiborne,1415.0
Denzel Boston,2600.0
Derrick Henry,2561.0
Deshaun Watson,931.0
Devaughn Vele,275.0
Devin Neal,339.0
DeVonta Smith,3024.0
Dillon Gabriel,10.0
DJ Giddens,770.0
DJ Moore,2656.0
DK Metcalf,1840.0
Dont'e Thornton,763.0
Dontayvion Wicks,203.0
Drake London,6219.0
Drake Maye,9867.0
Dylan Sampson,1246.0
Efton Chism,31.0
Eli Stowers,2226.0
Elic Ayomanor,1053.0
Elijah Arroyo,750.0
Elijah Sarratt,1701.0
Emanuel Wilson,1256.0
Emari Demercado,95.0
Emeka Egbuka,4839.0
Emmett Johnson,2190.0
Evan Engram,488.0
Fernando Mendoza,4196.0
Gardner Minshew,207.0
Garrett Nussmeier,637.0
Garrett Wilson,4397.0
Geno Smith,1335.0
George Holani,138.0
George Kittle,1843.0
George Pickens,4947.0
Germie Bernard,1315.0
Greg Dulcich,286.0
Gunnar Helm,1247.0
Harold Fannin,3283.0
Hunter Henry,1137.0
Isaac Guerendo,204.0
Isaac TeSlaa,1171.0
Isaiah Bond,928.0
Isaiah Davis,80.0
Isaiah Likely,2187.0
Isiah Pacheco,1133.0
J'Mari Taylor,890.0
J.J. McCarthy,1543.0
J.K. Dobbins,1455.0
Ja'Kobi Lane,1296.0
Ja'Lynn Polk,59.0
Ja'Marr Chase,10037.0
Ja'Tavion Sanders,202.0
Jack Bech,1065.0
Jack Endries,1018.0
Jacoby Brissett,1392.0
Jacory Croskey-Merritt,1205.0
Jadarian Price,2530.0
Jahan Dotson,275.0
Jahmyr Gibbs,9869.0
Jake Ferguson,1871.0
Jake Tonges,1061.0
Jakobi Meyers,1482.0
Jalen Coker,1373.0
Jalen Hurts,6152.0
Jalen McMillan,1489.0
Jalen Milroe,408.0
Jalen Nailor,1051.0
Jalen Royals,200.0
Jalen Tolbert,296.0
Jam Miller,437.0
Jameis Winston,95.0
James Conner,982.0
James Cook,5189.0
Jameson Williams,2872.0
Jared Goff,3064.0
Jarquez Hunter,244.0
Jauan Jennings,1256.0
Javonte Williams,2906.0
Jaxon Smith-Njigba,10127.0
Jaxson Dart,6010.0
Jayden Daniels,7802.0
Jayden Higgins,1738.0
Jayden Reed,1471.0
Jaydon Blue,588.0
Jaylen Waddle,2979.0
Jaylen Warren,1522.0
Jaylen Wright,516.0
Jaylin Lane,196.0
Jaylin Noel,1111.0
Jeremiyah Love,6836.0
Jerome Ford,122.0
Jerry Jeudy,1253.0
Jimmy Horn,4.0
Joe Burrow,7341.0
Joe Flacco,1087.0
Joe Milton,237.0
Joe Mixon,237.0
John Metchie,106.0
Jonah Coleman,2667.0
Jonathan Taylor,5355.0
Jonathon Brooks,1441.0
Jordan Addison,2327.0
Jordan James,906.0
Jordan Love,4493.0
Jordan Mason,1181.0
Jordyn Tyson,3109.0
Josh Allen,10200.0
Josh Downs,1550.0
Josh Jacobs,2958.0
Justice Hill,34.0
Justin Fields,1423.0
Justin Herbert,6650.0
Justin Jefferson,7556.0
Juwan Johnson,1266.0
Kaleb Johnson,1203.0
Kayshon Boutte,1001.0
Kaytron Allen,1356.0
KC Concepcion,2518.0
KeAndre Lambert-Smith,5.0
Keaton Mitchell,1269.0
Keenan Allen,62.0
Kendre Miller,22.0
Kenneth Gainwell,1363.0
Kenneth Walker,4221.0
Kenyon Sadiq,3127.0
Keon Coleman,1107.0
Khalil Shakir,1285.0
Kimani Vidal,912.0
Kirk Cousins,261.0
Kyle Monangai,1578.0
Kyle Pitts,2976.0
Kyle Williams,1014.0
Kyler Murray,2897.0
Kyren Williams,3099.0
Ladd McConkey,3996.0
Lamar Jackson,7803.0
Le'Veon Moss,998.0
LeQuint Allen,471.0
Luke McCaffrey,66.0
Luke Musgrave,5.0
Luther Burden,3317.0
Mac Jones,1296.0
Mack Hollins,5.0
Makai Lemon,4840.0
Malachi Fields,1286.0
Malik Nabers,7680.0
Malik Washington,1098.0
Malik Willis,2633.0
Marcus Mariota,294.0
Mark Andrews,1382.0
Marquise Brown,261.0
MarShawn Lloyd,232.0
Marvin Harrison,3434.0
Marvin Mims,235.0
Mason Taylor,1370.0
Matthew Golden,1772.0
Matthew Stafford,2159.0
Max Klare,1409.0
Michael Mayer,610.0
Michael Penix,1594.0
Michael Pittman,1908.0
Michael Trigg,670.0
Michael Wilson,2186.0
Mike Evans,2032.0
Mike Washington,1660.0
Najee Harris,882.0
Nicholas Singleton,2011.0
Nico Collins,4736.0
Noah Gray,77.0
Ollie Gordon,950.0
Omar Cooper,2137.0
Omarion Hampton,6187.0
Oronde Gadsden,2562.0
Parker Washington,1996.0
Pat Bryant,1157.0
Pat Freiermuth,1023.0
Patrick Mahomes,6335.0
Puka Nacua,9597.0
Quentin Johnston,1566.0
Quinn Ewers,233.0
Quinshon Judkins,3661.0
Rachaad White,1353.0
Rashee Rice,3595.0
Rashid Shaheed,1137.0
Rashod Bateman,258.0
Ray Davis,203.0
Rhamondre Stevenson,1301.0
Ricky Pearsall,1758.0
Rico Dowdle,1691.0
Riley Leonard,261.0
RJ Harvey,2563.0
Roman Wilson,4.0
Rome Odunze,3500.0
Romeo Doubs,1761.0
Ryan Flournoy,188.0
Sam Darnold,2977.0
Sam LaPorta,3160.0
Saquon Barkley,3355.0
Savion Williams,5.0
Sean Tucker,809.0
Shedeur Sanders,1532.0
Skyler Bell,1257.0
Spencer Rattler,77.0
Stefon Diggs,721.0
T.J. Hockenson,1549.0
Tahj Brooks,164.0
Tank Bigsby,1210.0
Tank Dell,1159.0
Tanner McKee,43.0
Ted Hurst,1045.0
Tee Higgins,3091.0
Terrance Ferguson,1304.0
Terry McLaurin,1855.0
Tetairoa McMillan,5449.0
Tez Johnson,545.0
Theo Johnson,740.0
Tony Pollard,1206.0
Tory Horton,1090.0
Travis Etienne,2972.0
Travis Hunter,2175.0
Travis Kelce,1465.0
Tre Tucker,784.0
Tre' Harris,1337.0
TreVeyon Henderson,4197.0
Trevor Etienne,248.0
Trevor Lawrence,5450.0
Trey Benson,1241.0
Trey Lance,19.0
Trey McBride,7896.0
Treylon Burks,48.0
Troy Franklin,1222.0
Tua Tagovailoa,1571.0
Tucker Kraft,3295.0
Tutu Atwell,309.0
Ty Simpson,1939.0
Tyjae Spears,1024.0
Tyler Allgeier,1796.0
Tyler Shough,3002.0
Tyler Warren,4803.0
Tyquan Thornton,30.0
Tyreek Hill,1238.0
Tyrone Tracy,1066.0
Tyson Bagent,4.0
Wan'Dale Robinson,2169.0
Will Howard,231.0
Will Levis,162.0
Woody Marks,1144.0
Xavier Hutchinson,2.0
Xavier Legette,330.0
Xavier Worthy,1623.0
Zach Charbonnet,1925.0
Zachariah Branch,1383.0
Zay Flowers,2992.0
