name,value
Aaron Jones,110.0
Aaron Rodgers,10.0
Adam Randall,130.0
Adonai Mitchell,124.0
AJ Barner,79.0
Alvin Kamara,189.0
Antonio Gibson,24.0
Blake Corum,256.0
Braelon Allen,172.0
Brandon Aiyuk,440.0
Brashard Smith,89.0
Brenton Strange,87.0
Brian Robinson,83.0
Bryce Lance,136.0
Bryce Young,180.0
Cade Otton,70.0
Calvin Ridley,64.0
Cam Akers,11.0
Cedric Tillman,96.0
Chigoziem Okonkwo,14.0
Chimere Dike,146.0
Chris Bell,198.0
Chris Brazzell,302.0
Chris Rodriguez,32.0
Christian Kirk,30.0
Colby Parkinson,15.0
Cole Kmet,13.0
Cooper Kupp,41.0
Dallas Goedert,217.0
Dalton Schultz,21.0
Damien Martinez,24.0
Daniel Jones,472.0
Darnell Mooney,56.0
David Njoku,275.0
De'Zhaun Stribling,29.0
DeAndre Hopkins,9.0
Deebo Samuel,348.0
Demario Douglas,18.0
Demond Claiborne,29.0
Deshaun Watson,10.0
Devin Neal,53.0
Dillon Gabriel,16.0
DJ Giddens,12.0
Dont'e Thornton,34.0
Dontayvion Wicks,28.0
Dyami Brown,23.0
Dylan Sampson,184.0
Eli Stowers,400.0
Elic Ayomanor,269.0
Elijah Arroyo,81.0
Elijah Moore,98.0
Elijah Sarratt,93.0
Emanuel Wilson,36.0
Emari Demercado,10.0
Emmett Johnson,100.0
Evan Engram,36.0
Geno Smith,16.0
Germie Bernard,309.0
Gunnar Helm,44.0
Hunter Henry,33.0
Isaac TeSlaa,118.0
Isaiah Bond,45.0
Isiah Pacheco,127.0
J.J. McCarthy,233.0
Jack Bech,133.0
Jacoby Brissett,60.0
Jacory Croskey-Merritt,391.0
Jahan Dotson,13.0
Jakobi Meyers,410.0
Jalen Coker,67.0
Jalen McMillan,107.0
Jalen Nailor,12.0
Jalen Royals,31.0
Jalen Tolbert,15.0
James Conner,48.0
Jared Wiley,11.0
Jauan Jennings,324.0
Javon Baker,37.0
Jaydon Blue,49.0
Jaylen Wright,91.0
Jaylin Noel,176.0
Jerome Ford,19.0
Joe Mixon,74.0
Jonathon Brooks,288.0
Jonnu Smith,38.0
Jordan James,22.0
Jordan Mason,282.0
Joshua Palmer,27.0
Justice Hill,17.0
Justin Fields,15.0
Juwan Johnson,77.0
Kaleb Johnson,250.0
Kareem Hunt,17.0
Kayshon Boutte,160.0
KeAndre Lambert-Smith,14.0
Keaton Mitchell,10.0
Keenan Allen,18.0
Kendre Miller,16.0
Kenneth Gainwell,113.0
Keon Coleman,156.0
Kimani Vidal,43.0
Kirk Cousins,42.0
Kyle Monangai,495.0
Kyle Williams,164.0
Le'Veon Moss,72.0
LeQuint Allen,26.0
Malachi Corley,76.0
Malachi Fields,149.0
Malik Washington,26.0
Malik Willis,295.0
Mark Andrews,340.0
Marquise Brown,12.0
Marvin Mims,51.0
Matthew Stafford,193.0
Max Klare,228.0
Michael Mayer,14.0
Michael Penix,239.0
Michael Trigg,142.0
Mike Evans,450.0
Mike Washington,430.0
Mike Williams,27.0
Najee Harris,18.0
Nick Chubb,35.0
Noah Gray,10.0
Ollie Gordon,85.0
Parker Washington,262.0
Pat Bryant,57.0
Pat Freiermuth,25.0
Rachaad White,69.0
Raheem Mostert,12.0
Rashid Shaheed,373.0
Rashod Bateman,19.0
Ray Davis,32.0
Rhamondre Stevenson,382.0
Roman Wilson,58.0
Roschon Johnson,9.0
Samaje Perine,11.0
Sean Tucker,23.0
Shedeur Sanders,20.0
Skyler Bell,212.0
Stefon Diggs,115.0
T.J. Hockenson,483.0
Tank Bigsby,39.0
Tank Dell,52.0
Ted Hurst,461.0
Terrance Ferguson,168.0
Tez Johnson,40.0
Theo Johnson,61.0
Tony Pollard,332.0
Tory Horton,121.0
Travis Kelce,102.0
Tre Harris,203.0
Tre Tucker,63.0
Trevor Etienne,13.0
Troy Franklin,244.0
Tua Tagovailoa,66.0
Ty Simpson,223.0
Tyjae Spears,356.0
Tyler Allgeier,317.0
Tyler Lockett,21.0
Tyler Shough,105.0
Tyreek Hill,46.0
Tyrone Tracy,365.0
Will Shipley,20.0
Woody Marks,420.0
Xavier Legette,153.0
Zachariah Branch,54.0
