name,value
2026 1st,3006
2026 2nd,1506
2026 3rd,996
2026 4th,744
2026 Pick 1.01,7055
2026 Pick 1.02,4869
2026 Pick 1.03,4192
2026 Pick 1.04,3842
2026 Pick 1.05,3496
2026 Pick 1.06,3056
2026 Pick 1.07,2956
2026 Pick 1.08,2728
2026 Pick 1.09,2532
2026 Pick 1.10,2362
2026 Pick 1.11,2214
2026 Pick 1.12,2084
2026 Pick 2.01,1967
2026 Pick 2.02,1863
2026 Pick 2.03,1770
2026 Pick 2.04,1685
2026 Pick 2.05,1609
2026 Pick 2.06,1539
2026 Pick 2.07,1474
2026 Pick 2.08,1415
2026 Pick 2.09,1361
2026 Pick 2.10,1310
2026 Pick 2.11,1263
2026 Pick 2.12,1220
2026 Pick 3.01,1179
2026 Pick 3.02,1141
2026 Pick 3.03,1105
2026 Pick 3.04,1071
2026 Pick 3.05,1040
2026 Pick 3.06,1010
2026 Pick 3.07,982
2026 Pick 3.08,955
2026 Pick 3.09,930
2026 Pick 3.10,906
2026 Pick 3.11,884
2026 Pick 3.12,862
2026 Pick 4.01,841
2026 Pick 4.02,822
2026 Pick 4.03,803
2026 Pick 4.04,785
2026 Pick 4.05,768
2026 Pick 4.06,752
2026 Pick 4.07,736
2026 Pick 4.08,721
2026 Pick 4.09,707
2026 Pick 4.10,693
2026 Pick 4.11,679
2026 Pick 4.12,667
2027 1st,3080
2027 2nd,1555
2027 3rd,1058
2027 4th,774
2028 1st,2183
2028 2nd,1334
2028 3rd,954
2028 4th,767
A.J. Brown,3416
Aaron Anderson,631
Aaron Jones,1173
Aaron Rodgers,771
Adam Randall,1204
Adonai Mitchell,1254
AJ Barner,1541
Alec Pierce,2442
Alvin Kamara,1193
Amon-Ra St. Brown,7316
Andrei Iosivas,36
Andy Dalton,53
Anthony Richardson,1287
Antonio Williams,1384
Ashton Jeanty,6795
Audric Estime,201
Baker Mayfield,3365
Bauer Sharp,183
Ben Sinnott,452
Bhayshul Tuten,2373
Bijan Robinson,9911
Blake Corum,1601
Bo Nix,5082
Braelon Allen,1267
Brandon Aiyuk,1540
Brashard Smith,683
Breece Hall,3822
Brenen Thompson,1170
Brenton Strange,1688
Brian Robinson,1257
Brian Thomas,3552
Brock Bowers,7102
Brock Purdy,4696
Bryce Young,2877
Bucky Irving,3696
C.J. Stroud,3479
Cade Klubnik,646
Cade Otton,935
Cade Stover,15
Caleb Douglas,135
Caleb Williams,7096
Calvin Austin,269
Calvin Ridley,663
Cam Skattebo,2930
Cam Ward,3660
Carnell Tate,4439
Carson Beck,1354
Carson Wentz,177
Cedric Tillman,397
CeeDee Lamb,6800
Charlie Kolar,7
Chase Brown,3685
Chig Okonkwo,1603
Chimere Dike,1195
Chris Bell,1687
Chris Brazzell,1596
Chris Brooks,4
Chris Godwin,1689
Chris Olave,4204
Chris Rodriguez,1262
Christian Kirk,494
Christian McCaffrey,4234
Christian Watson,1874
Chuba Hubbard,1963
CJ Daniels,1053
CJ Donaldson,961
Colby Parkinson,632
Cole Kmet,465
Cole Payton,657
Colston Loveland,4894
Cooper Kupp,456
Courtland Sutton,1843
D'Andre Swift,2053
Dak Prescott,4143
Dallas Goedert,1430
Dalton Kincaid,1911
Dalton Schultz,984
Dameon Pierce,32
Dane Key,758
Daniel Bellinger,28
Daniel Jones,2667
Darius Slayton,167
Darnell Mooney,793
Darnell Washington,294
Darren Waller,179
Davante Adams,2188
David Montgomery,2103
David Njoku,1152
Davis Mills,195
Davon Booth,98
Dawson Knox,128
De'Von Achane,5911
Dean Connors,356
Deebo Samuel,1222
Deion Burks,1123
DeMario Douglas,263
Demond Claiborne,1415
Denzel Boston,2812
Derrick Henry,2663
Deshaun Watson,698
Desmond Reid,390
Devaughn Vele,391
Devin Neal,635
Devin Singletary,159
DeVonta Smith,3179
Dillon Gabriel,162
DJ Giddens,636
DJ Moore,2641
DK Metcalf,2069
Dont'e Thornton,700
Dontayvion Wicks,329
Drake London,5950
Drake Maye,9063
Drew Allar,979
Dyami Brown,85
Dylan Devezin,579
Dylan Sampson,1276
Efton Chism,60
Eli Stowers,2214
Elic Ayomanor,983
Elijah Arroyo,739
Elijah Sarratt,1740
Emanuel Wilson,1184
Emari Demercado,167
Emeka Egbuka,4589
Emmett Johnson,2028
Eric McAlister,1123
Eric Rivers,446
Evan Engram,666
Fernando Mendoza,4216
Gardner Minshew,296
Garrett Wilson,4195
Geno Smith,1482
George Holani,61
George Kittle,2092
George Pickens,4869
Germie Bernard,1519
Greg Dulcich,296
Gunnar Helm,1418
Harold Fannin,3292
Hollywood Smothers,501
Hunter Henry,924
Isaac Guerendo,190
Isaac TeSlaa,1253
Isaiah Bond,858
Isaiah Davis,317
Isaiah Likely,2104
Isiah Pacheco,1280
J'Mari Taylor,1018
