name,Rank
Josh Allen,1.63
Ja'Marr Chase,3.5
Jaxon Smith-Njigba,3.63
Drake Maye,4.38
Bijan Robinson,5.38
Puka Nacua,5.5
Jahmyr Gibbs,6.63
Jayden Daniels,9.0
Amon-Ra St. Brown,10.63
Lamar Jackson,12.25
Malik Nabers,13.25
Caleb Williams,13.63
CeeDee Lamb,15.0
Joe Burrow,15.0
Ashton Jeanty,15.25
Justin Jefferson,15.5
Patrick Mahomes,18.0
Brock Bowers,18.13
Drake London,19.25
Trey McBride,20.88
Omarion Hampton,21.0
Jalen Hurts,23.5
Devon Achane,23.75
Tetairoa McMillan,26.63
Jaxson Dart,29.13
George Pickens,30.25
Justin Herbert,31.0
Colston Loveland,32.25
Trevor Lawrence,33.0
Garrett Wilson,33.63
Chris Olave,33.75
Nico Collins,34.75
Brock Purdy,35.0
Bo Nix,36.5
James Cook,38.25
Jonathan Taylor,39.25
Emeka Egbuka,40.75
Rashee Rice,40.88
Kenneth Walker,43.75
Ladd McConkey,45.75
Rome Odunze,49.5
Dak Prescott,49.75
Luther Burden,52.0
Jordan Love,53.38
Tee Higgins,54.5
Tyler Warren,55.0
Breece Hall,55.25
Bucky Irving,55.75
Chase Brown,56.88
Quinshon Judkins,57.63
TreVeyon Henderson,58.25
Brian Thomas,59.13
Jared Goff,60.25
Zay Flowers,62.38
Harold Fannin,62.88
Baker Mayfield,63.5
Marvin Harrison,63.63
Christian McCaffrey,63.63
Kyren Williams,65.25
Jaylen Waddle,68.63
Saquon Barkley,69.25
Jameson Williams,70.38
DeVonta Smith,74.5
A.J. Brown,74.75
Javonte Williams,75.13
Travis Etienne,75.88
Cam Ward,77.63
Tucker Kraft,78.38
C.J. Stroud,79.0
Kyler Murray,83.13
Cam Skattebo,83.38
Josh Jacobs,84.25
Tyler Shough,85.63
Sam Darnold,88.0
Travis Hunter,89.13
Bhayshul Tuten,89.25
Jordan Addison,89.63
Kyle Pitts,92.88
Bryce Young,93.63
DJ Moore,96.13
Michael Wilson,98.13
RJ Harvey,99.5
Derrick Henry,100.13
Daniel Jones,101.25
Alec Pierce,101.63
