name,rank,position,team,age,years_exp
Roquan Smith,1,LB1,BAL,29,8
Zack Baun,2,LB2,PHI,29,6
Quay Walker,3,LB3,LV,25,4
Jordyn Brooks,4,LB4,MIA,28,6
Jack Campbell,5,LB5,DET,25,3
Fred Warner,6,LB6,SF,29,8
Ernest Jones IV,7,LB7,SEA,26,5
Edgerrin Cooper,8,LB8,GB,24,2
Foyesade Oluokun,9,LB9,JAX,30,8
Nick Bolton,10,LB10,KC,26,5
Jamien Sherwood,11,LB11,NYJ,26,5
Blake Cashman,12,LB12,MIN,29,7
Devin Lloyd,13,LB13,CAR,27,4
Sonny Styles,14,LB14,FA,21,R
Cedric Gray,15,LB15,TEN,23,2
T.J. Edwards,16,LB16,CHI,29,7
Patrick Queen,17,LB17,PIT,26,6
Azeez Al-Shaair,18,LB18,HOU,28,7
Tremaine Edmunds,19,LB19,NYG,27,8
Payton Wilson,20,LB20,PIT,26,2
Daiyan Henley,21,LB21,LAC,26,3
Carson Schwesinger,22,LB22,CLE,23,1
Terrel Bernard,23,LB23,BUF,26,4
Nate Landman,24,LB24,LAR,27,4
Jihaad Campbell,25,LB25,PHI,22,1
Quincy Williams,26,LB26,CLE,29,7
DeForest Buckner,27,DT1,IND,32,10
Kobie Turner,28,DT2,LAR,26,3
Jeffery Simmons,29,DT3,TEN,28,7
Travis Hunter,30,CB1,JAX,22,1
Byron Murphy II,31,DT4,SEA,23,2
Jalen Carter,32,DT5,PHI,25,3
Eric Rivers,33,DE1,FA,23,R
Derrick Brown,34,DT6,CAR,28,6
Quinnen Williams,35,DT7,DAL,28,7
Leonard Williams,36,DT8,SEA,31,11
Zach Sieler,37,DT9,MIA,30,8
Calijah Kancey,38,DT10,TB,25,3
Zaire Franklin,39,LB27,GB,29,8
Nakobe Dean,40,LB28,LV,25,4
Robert Spillane,41,LB29,NE,30,8
Derrick Harmon,42,DT11,PIT,22,1
Walter Nolen III,43,DT12,ARI,22,1
Barrett Carter,44,LB30,CIN,23,1
Alex Singleton,45,LB31,DEN,32,11
Zach Allen,46,DT13,DEN,28,7
Devin Bush,47,LB32,CHI,27,7
Bobby Wagner,48,LB33,FA,35,14
Bobby Okereke,49,LB34,TEN,29,7
Lavonte David,50,LB35,FA,36,14
DeMarvion Overshown,51,LB36,DAL,25,3
Ed Oliver,52,DT14,BUF,28,7
Danny Stutsman,53,LB37,NO,23,1
Frankie Luvu,54,LB38,WAS,29,8
Demetrius Knight Jr.,55,LB39,CIN,25,1
Teddye Buchanan,56,LB40,BAL,23,1
Kaden Elliss,57,LB41,NO,30,7
Cody Simon,58,LB42,ARI,24,1
Arvell Reese,59,LB43,FA,20,R
Devin White,60,LB44,FA,28,7
Logan Wilson,61,LB45,FA,29,6
CJ Allen,62,LB46,FA,21,R
SirVocea Dennis,63,LB47,TB,26,3
Tyrel Dodson,64,LB48,MIA,27,7
Demario Davis,65,LB49,NYJ,37,14
Kyle Hamilton,66,S1,BAL,25,4
Eric Wilson,67,LB50,MIN,31,9
Drake Thomas,68,LB51,SEA,26,3
Micah McFadden,69,LB53,NYG,26,4
Keeanu Benton,70,DT15,PIT,24,3
Germaine Pratt,71,LB54,FA,29,7
Drue Tranquill,72,LB55,KC,30,7
Jer'Zhan Newton,73,DT16,WAS,23,2
Anthony Hill Jr.,74,LB56,FA,21,R
Leo Chenal,75,LB57,WAS,25,4
Jacob Rodriguez,76,LB58,FA,23,R
Braden Fiske,77,DT17,LAR,26,2
Divine Deablo,78,LB59,ATL,27,5
Dre Greenlaw,79,LB60,SF,28,7
Jake Golday,80,LB61,FA,22,R
Milton Williams,81,DT18,NE,27,5
Kris Jenkins Jr.,82,DT19,CIN,24,2
Bryan Bresee,83,DT21,NO,24,3
Jordan Davis,84,DT22,PHI,26,4
Mason Graham,85,DT23,CLE,22,1
Chris Jones,86,DT24,KC,31,10
Dexter Lawrence II,87,DT25,NYG,28,7
Pete Werner,88,LB62,NO,27,5
Henry To'oTo'o,89,LB63,HOU,25,3
Cody Barton,90,LB64,TEN,29,7
Ivan Pace Jr.,91,LB65,MIN,25,3
B.J. Hill,92,DT26,CIN,31,8
Dee Winters,93,LB66,SF,25,3
Tatum Bethune,94,LB67,SF,25,2
Nick Martin,95,LB68,SF,23,1
Trevin Wallace,96,LB69,CAR,23,2
Kyle Louis,97,LB70,FA,22,R
Jordan Magee,98,LB72,WAS,25,2
Matt Milano,99,LB73,FA,31,9
Alex Anzalone,100,LB74,TB,31,9
Malik Harrison,101,LB75,PIT,28,6
Kenneth Murray Jr.,102,LB76,FA,27,6
Mohamoud Diabate,103,LB77,TEN,24,3
Deion Jones,104,LB78,FA,31,10
Trenton Simpson,105,LB79,BAL,24,3
Omar Speights,106,LB80,LAR,25,2
Nicholas Morrow,107,LB81,FA,30,9
Tyrice Knight,108,LB82,SEA,26,2
Jack Kiser,109,LB83,JAX,25,1
Oren Burks,110,LB84,CIN,31,8
Christian Rozeboom,111,LB85,TB,29,6
Krys Barnes,112,LB86,FA,28,6
Brian Asamoah II,113,LB88,FA,26,4
Chris Paul Jr.,114,LB89,SEA,23,1
Isaiah McDuffie,115,LB90,GB,26,5
Jeremiah Trotter Jr.,116,LB91,PHI,23,2
Tommy Eichenberg,117,LB92,LV,25,2
Tyus Bowser,118,LB93,FA,30,9
Channing Tindall,119,LB94,ATL,26,4
Junior Colson,120,LB95,LAC,23,2
Marist Liufau,121,LB96,DAL,25,2
Chris Braswell,122,LB97,TB,24,2
Nathaniel Watson,123,LB98,CLE,25,2
Edefuan Ulofoshio,124,LB99,CLE,26,2
Ty'Ron Hopper,125,LB100,GB,24,2
Jaylan Ford,126,LB101,NO,24,2
JD Bertrand,127,LB102,ATL,25,2
Darius Muasau,128,LB103,NYG,25,2
Myles Garrett,129,DE2,CLE,30,9
Jared Verse,130,DE3,LAR,25,2
Will Anderson Jr.,131,DE4,HOU,24,3
Micah Parsons,132,DE5,GB,26,5
Derwin James Jr.,133,S2,LAC,29,8
Tykee Smith,134,S3,TB,25,2
Budda Baker,135,S4,ARI,30,9
Caleb Downs,136,S5,FA,21,R
Nick Emmanwori,137,S6,SEA,22,1
Jessie Bates III,138,S7,ATL,29,8
Antoine Winfield Jr,139,S8,TB,27,6
Kam Curl,140,S9,LAR,27,6
Brian Branch,141,S10,DET,24,3
Talanoa Hufanga,142,S11,DEN,26,5
Tre'von Moehrig,143,S12,CAR,26,5
Jordan Battle,144,S13,CIN,25,3
Julian Love,145,S14,SEA,28,7
Minkah Fitzpatrick,146,S15,NYJ,29,8
Jeremy Chinn,147,S16,LV,28,6
Jalen Pitre,148,S17,HOU,26,4
Malaki Starks,149,S18,BAL,22,1
Jaquan Brisker,150,S19,PIT,27,4
Quentin Lake,151,S20,LAR,27,4
Kevin Winston Jr.,152,S21,TEN,22,1
Brandon Jones,153,S22,DEN,28,6
Chamarri Conner,154,S23,KC,25,3
Jalen Thompson,155,S24,DAL,27,7
Nick Cross,156,S25,WAS,24,4
Xavier McKinney,157,S26,GB,27,6
Emmanuel McNeil-Warren,158,S27,FA,22,R
Ryan Miller,159,S28,NYG,26,3
Jamal Adams,160,S29,NYJ,30,9
Tyler Nubin,161,S31,NYG,24,2
Amani Hooker,162,S33,TEN,27,7
Aidan Hutchinson,163,DE6,DET,25,4
Nik Bonitto,164,DE7,DEN,26,4
Maxx Crosby,165,DE8,LV,28,7
Nick Bosa,166,DE9,SF,28,7
Brian Burns,167,DE10,NYG,28,7
Dallas Turner,168,DE11,MIN,23,2
T.J. Watt,169,DE12,PIT,31,9
Tuli Tuipulotu,170,DE13,LAC,23,3
Laiatu Latu,171,DE14,IND,25,2
Abdul Carter,172,DE15,NYG,22,1
Josh Hines-Allen,173,DE16,JAX,28,7
Danielle Hunter,174,DE17,HOU,31,11
Alex Highsmith,175,DE18,PIT,28,6
Byron Young,176,DE19,LAR,28,3
Jaelan Phillips,177,DE21,CAR,26,5
Trey Hendrickson,178,DE22,BAL,31,9
Jalon Walker,179,DE23,ATL,22,1
Yaya Diaby,180,DE24,TB,26,3
Rueben Bain Jr.,181,DE25,FA,21,R
Cashius Howell,182,DE26,FA,23,R
Chop Robinson,183,DE27,MIA,23,2
Jalyx Hunt,184,DE28,PHI,25,2
Jonathan Greenard,185,DE29,MIN,28,6
Greg Rousseau,186,DE30,BUF,26,5
Travon Walker,187,DE31,JAX,25,4
Jonathon Cooper,188,DE32,DEN,28,5
Harold Landry III,189,DE33,NE,29,8
Montez Sweat,190,DE34,CHI,29,7
Kayvon Thibodeaux,191,DE35,NYG,25,4
Derrick Barnes,192,DE36,DET,26,5
Josh Sweat,193,DE37,ARI,29,8
Chase Young,194,DE38,NO,27,6
Odafe Oweh,195,DE39,WAS,27,5
Nic Scourton,196,DE40,CAR,21,1
Austin Booker,197,DE41,CHI,23,2
Devonte Wyatt,198,DT27,GB,28,4
Darius Robinson,199,DT28,ARI,24,2
Cooper DeJean,200,CB2,PHI,23,2
Jonathan Allen,201,DT29,CIN,31,9
Alim McNeill,202,DT30,DET,25,5
John Franklin-Myers,203,DT31,TEN,29,8
Cameron Heyward,204,DT32,PIT,36,15
Mike Sainristil,205,CB3,WAS,25,2
Kamari Lassiter,206,CB4,HOU,23,2
Devon Witherspoon,207,CB5,SEA,25,3
Christian Gonzalez,208,CB7,NE,23,3
Quinyon Mitchell,209,CB8,PHI,24,2
Paulson Adebo,210,CB9,NYG,26,5
Alontae Taylor,211,CB10,TEN,27,4
Marlon Humphrey,212,CB11,BAL,29,9
Trent McDuffie,213,CB12,LAR,25,4
Kenny Moore II,214,CB13,IND,30,9
Jaycee Horn,215,CB14,CAR,26,5
Jalen Ramsey,216,CB15,PIT,31,10
Mike Jackson,217,CB16,CAR,29,7
Nate Wiggins,218,CB17,BAL,22,2
Taron Johnson,219,CB18,LV,29,8
Carlton Davis III,220,CB19,NE,29,8
Riley Moss,221,CB20,DEN,26,3
Jahdae Barron,222,CB22,DEN,24,1
Kyler Gordon,223,CB23,CHI,26,4
Dax Hill,224,CB24,CIN,25,4
Derek Stingley Jr,225,CB25,HOU,24,4
Marcus Jones,226,CB26,NE,27,4
A.J. Terrell Jr.,227,CB27,ATL,27,6
Byron Murphy Jr.,228,CB28,MIN,28,7
Tyson Campbell,229,CB29,CLE,26,5
Amik Robertson,230,CB30,WAS,27,6
Terrion Arnold,231,CB31,DET,23,2
Joey Porter Jr.,232,CB32,PIT,25,3
Charvarius Ward,233,CB33,IND,29,8
Nahshon Wright,234,CB34,NYJ,27,5
Denzel Burke,235,CB35,ARI,23,1
Nnamdi Madubuike,236,DT34,BAL,28,6
Sauce Gardner,237,CB36,IND,24,4
Jaire Alexander,238,CB37,FA,29,8
Patrick Surtain II,239,CB38,DEN,26,5
Keisean Nixon,240,CB39,GB,28,7
Zyon McCollum,241,CB40,TB,26,4
Will Johnson,242,CB41,ARI,23,1
Brandon Stephens,243,CB42,NYJ,28,5
Greg Newsome II,244,CB43,NYG,25,5
Jakorian Bennett,245,CB44,PHI,25,3
Isaiah Rodgers,246,CB45,MIN,28,6
Ennis Rakestraw Jr.,247,CB46,DET,23,2
Mansoor Delane,248,CB47,FA,22,R
Gervon Dexter Sr,249,DT35,CHI,24,3
Harrison Phillips,250,DT37,NYJ,30,8
Javon Hargrave,251,DT38,GB,33,10
A'Shawn Robinson,252,DT39,TB,31,10
Tershawn Wharton,253,DT40,CAR,27,6
Christian Barmore,254,DT41,NE,26,5
Sheldon Rankins,255,DT42,HOU,32,10
T'Vondre Sweat,256,DT43,NYJ,24,2
Vita Vea,257,DT44,TB,31,8
Tommy Togiai,258,DT45,HOU,26,5
Byron Young,259,DT46,PHI,25,3
Caleb Banks,260,DT47,FA,23,R
Bobby Brown III,261,DT48,CAR,25,5
Kenny Clark,262,DT49,DAL,30,10
Travis Jones,263,DT51,BAL,26,4
Osa Odighizuwa,264,DT52,SF,27,5
Grady Jarrett,265,DT53,CHI,32,11
D.J. Jones,266,DT54,DEN,31,9
Jarran Reed,267,DT55,SEA,33,10
Maliek Collins,268,DT56,CLE,31,10
Justin Eboigbe,269,DT57,LAC,25,2
Logan Hall,270,DT58,HOU,26,4
Grover Stewart,271,DT59,IND,32,9
Deone Walker,272,DT61,BUF,22,1
Reed Blankenship,273,S34,HOU,27,4
Dillon Thieneman,274,S35,FA,21,R
Coby Bryant,275,S36,CHI,27,4
Adam Butler,276,DT62,LV,32,9
Greg Gaines,277,DT63,FA,29,7
Shelby Harris,278,DT64,FA,34,12
Javon Kinlaw,279,DT65,WAS,28,6
Xavier Watts,280,S37,ATL,24,1
Karl Brooks,281,DT66,GB,25,3
Alfred Collins,282,DT67,SF,24,1
Solomon Thomas,283,DT69,TEN,30,9
Cole Bishop,284,S38,BUF,23,2
Andrew Mukuba,285,S39,PHI,23,1
Brandon Dorlus,286,DT70,ATL,25,2
Grant Delpit,287,S40,CLE,27,6
DaVon Hamilton,288,DT71,JAX,29,6
Teair Tart,289,DT72,LAC,29,6
Dadrion Taylor-Demerson,290,S41,ARI,25,2
Javon Bullard,291,S42,GB,23,2
Lathan Ransom,292,S43,CAR,23,1
DeShon Elliott,293,S44,PIT,29,8
Dane Belton,294,S45,NYJ,25,4
Ruke Orhorhoro,295,DT74,JAX,24,2
DeMarcus Lawrence,296,DE43,SEA,33,12
Boye Mafe,297,DE44,CIN,27,4
Jaylen Reed,298,S46,HOU,23,1
Mike Green,299,DE45,BAL,22,1
Will McDonald IV,300,DE46,NYJ,26,3
Jabrill Peppers,301,S47,FA,30,9
Evan Williams,302,S48,GB,24,2
Donovan Ezeiruaku,303,DE47,DAL,22,1
Rashan Gary,304,DE48,DAL,28,7
Nick Herbig,305,DE49,PIT,24,3
Jermaine Johnson II,306,DE50,TEN,27,4
Khalil Mack,307,DE51,LAC,35,12
Omarr Norman-Lott,308,DT76,KC,24,1
Roy Robertson-Harris,309,DT77,NYG,32,10
Khalen Saunders Jr.,310,DT78,FA,29,7
Jihad Ward,311,DT79,FA,31,10
Felix Anudike-Uzomah,312,DE52,KC,24,3
Joseph Ossai,313,DE53,NYJ,26,5
Bryan Cook,314,S49,CIN,26,4
Joey Bosa,315,DE54,FA,30,10
Carl Granderson,316,DE55,NO,29,7
Kwity Paye,317,DE56,LV,27,5
Nolan Smith Jr.,318,DE57,PHI,25,3
Andre Cisco,319,S50,NYJ,26,5
Dre'Mont Jones,320,DE58,NE,29,7
Arden Key,321,DE59,IND,29,8
Myles Murphy,322,DE60,CIN,24,3
James Pearce Jr.,323,DE61,ATL,22,1
Cam Bynum,324,S51,IND,27,5
Dante Stills,325,DT80,ARI,26,3
Shemar Stewart,326,DE62,CIN,22,1
Sam Williams,327,DE63,DAL,27,4
Tyree Wilson,328,DE64,LV,25,3
Xavier Woods,329,S52,FA,30,9
Malcolm Koonce,330,DE65,LV,27,5
Uchenna Nwosu,331,DE66,SEA,29,8
Mykel Williams,332,DE67,SF,21,1
Ashtyn Davis,333,S53,FA,29,6
Elijah Molden,334,S54,LAC,27,5
Jadeveon Clowney,335,DE68,FA,33,12
