name,rank,position,team,age,years_exp
Josh Allen,1,QB1,BUF,29,8
Drake Maye,2,QB2,NE,23,2
Jayden Daniels,3,QB3,WAS,25,2
Lamar Jackson,4,QB4,BAL,29,8
Joe Burrow,5,QB5,CIN,29,6
Caleb Williams,6,QB6,CHI,24,2
Justin Herbert,7,QB7,LAC,28,6
Jalen Hurts,8,QB8,PHI,27,6
Patrick Mahomes II,9,QB9,KC,30,9
Trevor Lawrence,10,QB10,JAX,26,5
Jaxson Dart,11,QB11,NYG,22,1
Bo Nix,12,QB12,DEN,26,2
Brock Purdy,13,QB13,SF,26,4
Ja'Marr Chase,14,WR1,CIN,26,5
Puka Nacua,15,WR2,LAR,24,3
Jaxon Smith-Njigba,16,WR3,SEA,24,3
Fernando Mendoza,17,QB14,FA,22,R
Dak Prescott,18,QB15,DAL,32,10
Jordan Love,19,QB16,GB,27,6
Bijan Robinson,20,RB1,ATL,24,3
Baker Mayfield,21,QB17,TB,31,8
Jahmyr Gibbs,22,RB2,DET,24,3
Malik Nabers,23,WR4,NYG,22,2
CeeDee Lamb,24,WR5,DAL,27,6
Amon-Ra St. Brown,25,WR6,DET,26,5
C.J. Stroud,26,QB18,HOU,24,3
Justin Jefferson,27,WR7,MIN,26,6
Drake London,28,WR8,ATL,24,4
Ashton Jeanty,29,RB3,LV,22,1
Jonathan Taylor,30,RB4,IND,27,6
De'Von Achane,31,RB5,MIA,24,3
Jared Goff,32,QB19,DET,31,10
Tetairoa McMillan,33,WR9,CAR,23,1
Sam Darnold,34,QB20,SEA,28,8
Nico Collins,35,WR10,HOU,27,5
Omarion Hampton,36,RB6,LAC,23,1
Tyler Shough,37,QB21,NO,26,1
George Pickens,38,WR11,DAL,25,4
Garrett Wilson,39,WR12,NYJ,25,4
Brock Bowers,40,TE1,LV,23,2
Chris Olave,41,WR13,NO,25,4
Trey McBride,42,TE2,ARI,26,4
James Cook,43,RB7,BUF,26,4
Jeremiyah Love,44,RB8,FA,20,R
Cameron Ward,45,QB22,TEN,23,1
Kyler Murray,46,QB23,MIN,28,7
Rashee Rice,47,WR14,KC,26,3
Emeka Egbuka,48,WR15,TB,23,1
Ladd McConkey,49,WR16,LAC,24,2
TreVeyon Henderson,50,RB9,NE,23,1
Bryce Young,51,QB24,CAR,24,3
Colston Loveland,52,TE3,CHI,22,1
Tee Higgins,53,WR17,CIN,27,6
Zay Flowers,54,WR18,BAL,25,3
Rome Odunze,55,WR19,CHI,23,2
Daniel Jones,56,QB25,IND,28,7
A.J. Brown,57,WR20,PHI,28,7
Breece Hall,58,RB10,NYJ,24,4
Tyler Warren,59,TE4,IND,23,1
Luther Burden III,60,WR21,CHI,22,1
Christian McCaffrey,61,RB11,SF,29,9
Chase Brown,62,RB12,CIN,26,3
Carnell Tate,63,WR22,FA,21,R
Quinshon Judkins,64,RB13,CLE,22,1
DeVonta Smith,65,WR23,PHI,27,5
Kyren Williams,66,RB14,LAR,25,4
Ken Walker III,67,RB15,KC,25,4
Tucker Kraft,68,TE5,GB,25,3
Saquon Barkley,69,RB16,PHI,29,8
Brian Thomas Jr.,70,WR24,JAX,23,2
Harold Fannin Jr.,71,TE6,CLE,21,1
Jameson Williams,72,WR25,DET,25,4
Makai Lemon,73,WR26,FA,21,R
Bucky Irving,74,RB17,TB,23,2
Marvin Harrison Jr.,75,WR27,ARI,23,2
Jordyn Tyson,76,WR28,FA,21,R
Jaylen Waddle,77,WR29,DEN,27,5
Sam LaPorta,78,TE7,DET,25,3
Josh Jacobs,79,RB18,GB,28,7
Cam Skattebo,80,RB19,NYG,24,1
Michael Penix Jr.,81,QB26,ATL,25,2
Matthew Stafford,82,QB27,LAR,38,17
Travis Etienne Jr.,83,RB20,NO,27,5
Javonte Williams,84,RB21,DAL,25,5
Kyle Pitts Sr.,85,TE8,ATL,25,5
