name,value
Abdul Carter,5414.0
Adisa Isaac,770.0
Aidan Hutchinson,5667.0
AJ Epenesa,807.0
Akeem Davis Gaither,795.0
Alex Anzalone,1265.0
Alex Highsmith,2948.0
Alex Singleton,1415.0
Alex Wright,764.0
Alim McNeil,767.0
Alohi Gilman,1233.0
Alontae Taylor,1225.0
Amani Hooker,1243.0
Andrew Mukuba,1232.0
Andrew Van Ginkel,2963.0
Andrew Wingard,857.0
Andru Phillips,1237.0
Anfernee Jennings,804.0
Anthony Hill,1970.0
Antoine Winfield,1921.0
Arden Key,793.0
Arnold Ebiketie,762.0
Arvell Reese,4169.0
Ashawn Robinson,766.0
Ashton Gillotte,1911.0
Ashtyn Davis,756.0
Austin Booker,1911.0
Azeez Al Shaair,1938.0
Azeez Ojulari,801.0
Baron Browning,1227.0
Barrett Carter,1945.0
Billy Bowman,1288.0
Blake Cashman,2934.0
Bobby Okereke,1380.0
Bobby Wagner,1254.0
Boye Mafe,1977.0
Braden Fiske,1912.0
Bradley Chubb,1237.0
Bralen Trice,771.0
Brandon Dorlus,871.0
Brandon Jones,1232.0
Brian Branch,3596.0
Brian Burns,3606.0
Bryan Bresee,1225.0
Bryan Cook,1294.0
Bryce Huff,755.0
Budda Baker,1923.0
Byron Murphy,3020.0
Byron Young,3031.0
Caleb Downs,3608.0
Calen Bullock,899.0
Calijah Kancey,2098.0
Cam Taylor Britt,913.0
Cameron Heyward,1225.0
Camryn Bynum,1231.0
Carl Granderson,1926.0
Carson Schwesinger,5651.0
Cedric Gray,3082.0
Chamarri Conner,1276.0
Charvarius Ward,762.0
Chase Young,1980.0
Chop Robinson,1984.0
Chris Braswell,809.0
Chris Jones,1910.0
Christian Barmore,894.0
Christian Benford,923.0
Christian Elliss,1226.0
Christian Gonzalez,1228.0
Christian Harris,1913.0
Christian Izien,760.0
Christian Rozeboom,1346.0
CJ Allen,3180.0
CJ Gardner-Johnson,903.0
Coby Bryant,1225.0
Cody Barton,1253.0
Cody Lindenberg,755.0
Cody Simon,1913.0
Cole Bishop,1917.0
Cooper Dejean,2989.0
Cooper McDonald,775.0
Craig Woodson,860.0
D.J. Wonnum,882.0
Dadrion Taylor-Demerson,1917.0
Daiyan Henley,2089.0
Dallas Turner,4173.0
Danielle Hunter,3009.0
Danny Stutsman,2108.0
Dante Fowler,761.0
Dante Trader,845.0
Darien Porter,756.0
Darius Muasau,772.0
Darius Robinson,1225.0
Daron Payne,851.0
David Bailey,3426.0
David Walker,780.0
Daxton Hill,1233.0
Dayo Odeyingbo,1227.0
Dee Winters,1241.0
DeForest Buckner,1931.0
Demarcus Lawrence,777.0
Demario Davis,1229.0
Demarvion Overshown,2035.0
Demetrius Knight,1958.0
Deommodore Lenoir,832.0
Deone Walker,768.0
Derek Barnett,756.0
Derek Stingley,908.0
Derick Hall,1230.0
Derrick Barnes,1247.0
Derrick Brown,1319.0
Derrick Harmon,1915.0
Derwin James,2999.0
Deshon Elliot,1225.0
Devin Bush,3241.0
Devin Lloyd,3264.0
Devin White,1256.0
Devon Witherspoon,2980.0
Devonte Wyatt,1234.0
Dexter Lawrence,1228.0
Dillon Thieneman,3111.0
Divine Deablo,1927.0
Dondrea Tillman,759.0
Donovan Ezeiruaku,2006.0
Donovan Wilson,763.0
Dorance Armstrong,1227.0
Dorian Williams,1226.0
Drake Thomas,1282.0
Dre Greenlaw,1240.0
Drew Sanders,790.0
Drue Tranquill,1225.0
Ed Oliver,1298.0
Edgerrin Cooper,3595.0
EJ Speed,771.0
Elijah Molden,825.0
Elijah Roberts,756.0
Emmanuel McNeil-Warren,3096.0
Eric Kendricks,761.0
Eric Wilson,789.0
Ernest Jones,3599.0
Evan Williams,778.0
Foye Oluokun,2141.0
