name,value
2026 Early 1st,5858
2026 Early 2nd,3350
2026 Early 3rd,2394
2026 Early 4th,1831
2026 Late 1st,3951
2026 Late 2nd,2871
2026 Late 3rd,2144
2026 Late 4th,1527
2026 Mid 1st,4763
2026 Mid 2nd,3047
2026 Mid 3rd,2259
2026 Mid 4th,1657
2027 Early 1st,6838
2027 Early 2nd,3746
2027 Early 3rd,2562
2027 Early 4th,1816
2027 Late 1st,4782
2027 Late 2nd,3034
2027 Late 3rd,2240
2027 Late 4th,1651
2027 Mid 1st,5605
2027 Mid 2nd,3467
2027 Mid 3rd,2398
2027 Mid 4th,1801
2028 Early 1st,4984
2028 Early 2nd,3101
2028 Early 3rd,2170
2028 Early 4th,1632
2028 Late 1st,3904
2028 Late 2nd,2697
2028 Late 3rd,1956
2028 Late 4th,1346
2028 Mid 1st,4498
2028 Mid 2nd,2910
2028 Mid 3rd,2149
2028 Mid 4th,1538
A.J. Brown,4781
Aaron Jones,2070
Aaron Rodgers,1843
Adonai Mitchell,2712
Aidan O'Connell,1002
Ainias Smith,851
AJ Barner,2883
AJ Dillon,819
Alec Pierce,4370
Alexander Mattison,835
Alvin Kamara,2134
Amon-Ra St. Brown,7715
Andrei Iosivas,1728
Anthony Richardson,2530
Antonio Gibson,833
Antonio Williams,1325
Arian Smith,1056
Ashton Jeanty,7479
Audric Estime,1615
Baker Mayfield,4761
Bam Knight,1448
Barion Brown,746
Ben Sinnott,1896
Bhayshul Tuten,3919
Bijan Robinson,9984
Blake Corum,3284
Bo Melton,1094
Bo Nix,6271
Braelon Allen,2746
Brandon Aiyuk,2596
Brashard Smith,2151
Breece Hall,5386
Brenden Rice,840
Brenton Strange,3092
Brevin Jordan,1043
Brian Robinson,2253
Brian Thomas,4929
Brock Bowers,7718
Brock Purdy,5941
Brock Wright,983
Bryce Young,4517
Bub Means,903
Bucky Irving,5112
C.J. Stroud,4805
Cade Klubnik,1008
Cade Otton,2504
Cade Stover,1466
Caleb Williams,7750
Calvin Austin,1684
Calvin Ridley,1833
Cam Akers,970
Cam Skattebo,4528
Cam Ward,5139
Carnell Tate,5194
Carson Wentz,739
Cedric Tillman,2132
CeeDee Lamb,7332
Charlie Kolar,1028
Chase Brown,4938
Chigoziem Okonkwo,2751
Chimere Dike,2741
Chris Bell,1949
Chris Brazzell,2094
Chris Brooks,1083
Chris Godwin,2879
Chris Olave,5660
Chris Rodriguez,2263
Christian Kirk,2102
Christian McCaffrey,5111
Christian Watson,3655
Chuba Hubbard,3373
CJ Daniels,952
Colby Parkinson,2157
Cole Kmet,2046
Colston Loveland,6003
Cooper Kupp,1850
Courtland Sutton,3196
Curtis Samuel,832
D'Andre Swift,3518
D.J. Moore,3922
Dak Prescott,5073
Dallas Goedert,2606
Dalton Kincaid,3338
Dalton Schultz,2290
