canonicalName,sourceName,position,team,rank,total_ranked,projection
aidan hutchinson,Aidan Hutchinson,DE,,1,183,
will anderson,Will Anderson Jr.,DE,,2,183,
jack campbell,Jack Campbell,LB,,3,183,
roquan smith,Roquan Smith,LB,,4,183,
fred warner,Fred Warner,LB,,5,183,
jordyn brooks,Jordyn Brooks,LB,,6,183,
carson schwesinger,Carson Schwesinger,LB,,7,183,
foyesade oluokun,Foyesade Oluokun,LB,,8,183,
nick bolton,Nick Bolton,LB,,9,183,
nick bosa,Nick Bosa,DE,,10,183,
edgerrin cooper,Edgerrin Cooper,LB,,11,183,
tj edwards,T.J. Edwards,LB,,12,183,
zaire franklin,Zaire Franklin,LB,,13,183,
zack baun,Zack Baun,LB,,14,183,
cedric gray,Cedric Gray,LB,,15,183,
jamien sherwood,Jamien Sherwood,LB,,16,183,
ernest jones,Ernest Jones IV,LB,,17,183,
blake cashman,Blake Cashman,LB,,18,183,
nate landman,Nate Landman,LB,,19,183,
quay walker,Quay Walker,LB,,20,183,
tremaine edmunds,Tremaine Edmunds,LB,,21,183,
nakobe dean,Nakobe Dean,LB,,22,183,
daiyan henley,Daiyan Henley,LB,,23,183,
quincy williams,Quincy Williams,LB,,24,183,
dre greenlaw,Dre Greenlaw,LB,,25,183,
kyle hamilton,Kyle Hamilton,S,,26,183,
payton wilson,Payton Wilson,LB,,27,183,
azeez al shaair,Azeez Al-Shaair,LB,,28,183,
brian branch,Brian Branch,S,,29,183,
demarvion overshown,DeMarvion Overshown,LB,,30,183,
sonny styles,Sonny Styles,LB,,31,183,
nick emmanwori,Nick Emmanwori,S,,32,183,
alex singleton,Alex Singleton,LB,,33,183,
cj allen,CJ Allen,LB,,34,183,
robert spillane,Robert Spillane,LB,,35,183,
arvell reese,Arvell Reese,LB,,36,183,
derwin james,Derwin James Jr.,S,,37,183,
barrett carter,Barrett Carter,LB,,38,183,
myles garrett,Myles Garrett,DE,,39,183,
maxx crosby,Maxx Crosby,DE,,40,183,
jacob rodriguez,Jacob Rodriguez,LB,,41,183,
budda baker,Budda Baker,S,,42,183,
laiatu latu,Laiatu Latu,DE,,43,183,
devin bush,Devin Bush Jr.,LB,,44,183,
demetrius knight,Demetrius Knight Jr.,LB,,45,183,
divine deablo,Divine Deablo,LB,,46,183,
josiah trotter,Josiah Trotter,LB,,47,183,
kaleb elarms orr,Kaleb Elarms-Orr,LB,,48,183,
jalen carter,Jalen Carter,DT,,49,183,
xavier mckinney,Xavier McKinney,S,,50,183,
anthony hill,Anthony Hill Jr.,LB,,51,183,
jeffery simmons,Jeffery Simmons,DT,,52,183,
gregory rousseau,Greg Rousseau,DE,,53,183,
tykee smith,Tykee Smith,S,,54,183,
tyler nubin,Tyler Nubin,S,,55,183,
dexter lawrence,Dexter Lawrence II,DT,,56,183,
jessie bates,Jessie Bates III,S,,57,183,
jake golday,Jake Golday,LB,,58,183,
quinnen williams,Quinnen Williams,DT,,59,183,
george karlaftis,George Karlaftis III,DE,,60,183,
nick cross,Nick Cross,S,,61,183,
byron murphy,Byron Murphy II,DT,,62,183,
kamren curl,Kam Curl,S,,63,183,
antoine winfield,Antoine Winfield Jr.,S,,64,183,
devin lloyd,Devin Lloyd,LB,,65,183,
zach allen,Zach Allen,DE,,66,183,
caleb downs,Caleb Downs,S,,67,183,
terrel bernard,Terrel Bernard,LB,,68,183,
dillon thieneman,Dillon Thieneman,S,,69,183,
jihaad campbell,Jihaad Campbell,LB,,70,183,
micah parsons,Micah Parsons,LB,,71,183,
aj haulcy,AJ Haulcy,S,,72,183,
deforest buckner,DeForest Buckner,DT,,73,183,
joshua metellus,Joshua Metellus,S,,74,183,
malachi moore,Malachi Moore,CB,,75,183,
trevon moehrig,Tre'von Moehrig,S,,76,183,
brian burns,Brian Burns,DE,,77,183,
nik bonitto,Nik Bonitto,DE,,78,183,
jordan battle,Jordan Battle,S,,79,183,
calijah kancey,Calijah Kancey,DT,,80,183,
talanoa hufanga,Talanoa Hufanga,S,,81,183,
brandon jones,Brandon Jones,S,,82,183,
emmanuel mcneil warren,Emmanuel McNeil-Warren,S,,83,183,
deshon elliott,DeShon Elliott,S,,84,183,
kobie turner,Kobie Turner,DT,,85,183,
chamarri conner,Chamarri Conner,S,,86,183,
xavier watts,Xavier Watts,S,,87,183,
trey hendrickson,Trey Hendrickson,DE,,88,183,
kevin winston,Kevin Winston Jr.,S,,89,183,
cam bynum,Cam Bynum,S,,90,183,
jared verse,Jared Verse,DE,,91,183,
jeremy chinn,Jeremy Chinn,S,,92,183,
abdul carter,Abdul Carter,DE,,93,183,
malaki starks,Malaki Starks,S,,94,183,
byron young,Byron Young,DE,,95,183,
tj watt,T.J. Watt,LB,,96,183,
patrick queen,Patrick Queen,LB,,97,183,
frankie luvu,Frankie Luvu,LB,,98,183,
jalon walker,Jalon Walker,LB,,99,183,
alex highsmith,Alex Highsmith,LB,,100,183,
montez sweat,Montez Sweat,DE,,101,183,
josh hines allen,Josh Hines-Allen,DE,,102,183,
tuli tuipulotu,Tuli Tuipulotu,DE,,103,183,
tyrel dodson,Tyrel Dodson,LB,,103,183,
will mcdonald,Will McDonald IV,DE,,104,183,
jaquan brisker,Jaquan Brisker,S,,105,183,
jermaine johnson,Jermaine Johnson II,DE,,106,183,
andrew van ginkel,Andrew Van Ginkel,LB,,107,183,
chase young,Chase Young,DE,,107,183,
danielle hunter,Danielle Hunter,DE,,107,183,
jonathan greenard,Jonathan Greenard,DE,,107,183,
austin booker,Austin Booker,LB,,108,183,
chop robinson,Chop Robinson,DE,,108,183,
dallas turner,Dallas Turner,DE,,108,183,
jaelan phillips,Jaelan Phillips,DE,,108,183,
james pearce,James Pearce Jr.,DE,,108,183,
kaden elliss,Kaden Elliss,LB,,108,183,
chris jones,Chris Jones,DT,,109,183,
jonathon cooper,Jonathon Cooper,DE,,109,183,
kayvon thibodeaux,Kayvon Thibodeaux,DE,,109,183,
leonard williams,Leonard Williams,DT,,109,183,
nick herbig,Nick Herbig,LB,,109,183,
travon walker,Travon Walker,DE,,109,183,
derrick brown,Derrick Brown,DT,,110,183,
uchenna nwosu,Uchenna Nwosu,LB,,110,183,
mykel williams,Mykel Williams,DT,,111,183,
mike green,Mike Green,LB,,112,183,
myles murphy,Myles Murphy,DE,,113,183,
harold landry,Harold Landry III,LB,,114,183,
josh sweat,Josh Sweat,DE,,115,183,
malcolm koonce,Malcolm Koonce,DE,,116,183,
lukas van ness,Lukas Van Ness,DE,,117,183,
quentin lake,Quentin Lake,S,,117,183,
mason graham,Mason Graham,DT,,118,183,
nolan smith,Nolan Smith Jr.,DE,,119,183,
baron browning,Baron Browning,LB,,120,183,
dee winters,Dee Winters,LB,,120,183,
boye mafe,Boye Mafe,DE,,121,183,
carl granderson,Carl Granderson,DE,,122,183,
demarcus lawrence,DeMarcus Lawrence,DE,,123,183,
ventrell miller,Ventrell Miller,LB,,123,183,
donovan ezeiruaku,Donovan Ezeiruaku,DE,,124,183,
dremont jones,Dre'Mont Jones,DT,,125,183,
leo chenal,Leo Chenal,LB,,126,183,
rashan gary,Rashan Gary,LB,,126,183,
christian harris,Christian Harris,LB,,130,183,
trenton simpson,Trenton Simpson,LB,,133,183,
devon witherspoon,Devon Witherspoon,CB,,135,183,
eric wilson,Eric Wilson,LB,,138,183,
jack gibbens,Jack Gibbens,LB,,143,183,
danny stutsman,Danny Stutsman,LB,,148,183,
kyle louis,Kyle Louis,LB,,150,183,
drake thomas,Drake Thomas,LB,,153,183,
julian love,Julian Love,S,,153,183,
sirvocea dennis,SirVocea Dennis,LB,,158,183,
tyrice knight,Tyrice Knight,LB,,160,183,
pete werner,Pete Werner,LB,,163,183,
cooper dejean,Cooper DeJean,CB,,165,183,
alex anzalone,Alex Anzalone,LB,,166,183,
drue tranquill,Drue Tranquill,LB,,168,183,
teddye buchanan,Teddye Buchanan,LB,,170,183,
jalen thompson,Jalen Thompson,S,,171,183,
trevin wallace,Trevin Wallace,LB,,173,183,
dadrion taylor demerson,Dadrion Taylor-Demerson,S,,177,183,
kerby joseph,Kerby Joseph,S,,183,183,
kamren kinchens,Kamren Kinchens,S,,189,183,
marcus jones,Marcus Jones,CB,,195,183,
kyle dugger,Kyle Dugger,S,,201,183,
cole bishop,Cole Bishop,S,,207,183,
zakee wheatley,Zakee Wheatley,S,,213,183,
jalen pitre,Jalen Pitre,S,,219,183,
CJ Gardner Johnson,C.J. Gardner-Johnson,S,,225,183,
andrew mukuba,Andrew Mukuba,S,,231,183,
bud clark,Bud Clark,S,,237,183,
jaylinn hawkins,Jaylinn Hawkins,S,,243,183,
kamari ramsey,Kamari Ramsey,S,,249,183,
genesis smith,Genesis Smith,S,,255,183,
craig woodson,Craig Woodson,S,,261,183,
dante trader,Dante Trader Jr.,S,,267,183,
reed blankenship,Reed Blankenship,S,,273,183,
minkah fitzpatrick,Minkah Fitzpatrick,S,,279,183,
grant delpit,Grant Delpit,S,,285,183,
kevin byard,Kevin Byard III,S,,291,183,
