canonicalName,sourceName,position,team,rank,total_ranked,projection
josh allen,Josh Allen,QB,BUF,1,230,
jahmyr gibbs,Jahmyr Gibbs,RB,DET,2,230,
bijan robinson,Bijan Robinson,RB,ATL,3,230,
puka nacua,Puka Nacua,WR,LAR,4,230,
drake maye,Drake Maye,QB,NE,5,230,
jonathan taylor,Jonathan Taylor,RB,IND,6,230,
lamar jackson,Lamar Jackson,QB,BAL,7,230,
joe burrow,Joe Burrow,QB,CIN,8,230,
jamarr chase,Ja'Marr Chase,WR,CIN,9,230,
jaxon smith njigba,Jaxon Smith-Njigba,WR,SEA,10,230,
christian mccaffrey,Christian McCaffrey,RB,SF,11,230,
derrick henry,Derrick Henry,RB,BAL,12,230,
dak prescott,Dak Prescott,QB,DAL,13,230,
jayden daniels,Jayden Daniels,QB,WAS,14,230,
amon ra st brown,Amon-Ra St. Brown,WR,DET,15,230,
jalen hurts,Jalen Hurts,QB,PHI,16,230,
matthew stafford,Matthew Stafford,QB,LAR,17,230,
james cook,James Cook III,RB,BUF,18,230,
brock purdy,Brock Purdy,QB,SF,19,230,
trevor lawrence,Trevor Lawrence,QB,JAX,20,230,
patrick mahomes,Patrick Mahomes,QB,KC,21,230,
caleb williams,Caleb Williams,QB,CHI,22,230,
devon achane,De'Von Achane,RB,MIA,23,230,
jared goff,Jared Goff,QB,DET,24,230,
justin herbert,Justin Herbert,QB,LAC,25,230,
drake london,Drake London,WR,ATL,26,230,
saquon barkley,Saquon Barkley,RB,PHI,27,230,
ceedee lamb,CeeDee Lamb,WR,DAL,28,230,
jaxson dart,Jaxson Dart,QB,NYG,29,230,
ashton jeanty,Ashton Jeanty,RB,LV,30,230,
justin jefferson,Justin Jefferson,WR,MIN,31,230,
bo nix,Bo Nix,QB,DEN,32,230,
george pickens,George Pickens,WR,DAL,33,230,
chase brown,Chase Brown,RB,CIN,34,230,
josh jacobs,Josh Jacobs,RB,GB,35,230,
aj brown,A.J. Brown,WR,NE,36,230,
rashee rice,Rashee Rice,WR,KC,37,230,
nico collins,Nico Collins,WR,HOU,38,230,
omarion hampton,Omarion Hampton,RB,LAC,39,230,
baker mayfield,Baker Mayfield,QB,TB,40,230,
kenneth walker,Kenneth Walker,RB,KC,41,230,
zay flowers,Zay Flowers,WR,BAL,42,230,
kyren williams,Kyren Williams,RB,LAR,43,230,
chris olave,Chris Olave,WR,NO,44,230,
breece hall,Breece Hall,RB,NYJ,45,230,
tyler shough,Tyler Shough,QB,NO,46,230,
javonte williams,Javonte Williams,RB,DAL,47,230,
jeremiyah love,Jeremiyah Love,RB,ARI,48,230,
tee higgins,Tee Higgins,WR,CIN,49,230,
emeka egbuka,Emeka Egbuka,WR,TB,50,230,
cam skattebo,Cam Skattebo,RB,NYG,51,230,
davante adams,Davante Adams,WR,LAR,52,230,
malik nabers,Malik Nabers,WR,NYG,53,230,
tetairoa mcmillan,Tetairoa McMillan,WR,CAR,54,230,
sam darnold,Sam Darnold,QB,SEA,55,230,
jameson williams,Jameson Williams,WR,DET,56,230,
kyler murray,Kyler Murray,QB,MIN,57,230,
jordan love,Jordan Love,QB,GB,58,230,
devonta smith,DeVonta Smith,WR,PHI,59,230,
