canonicalName,sourceName,position,team,rank,total_ranked,projection
jack campbell,Jack Campbell,LB1,,1,419,
jordyn brooks,Jordyn Brooks,LB2,,2,419,
roquan smith,Roquan Smith,LB3,,3,419,
ernest jones,Ernest Jones IV,LB4,,4,419,
fred warner,Fred Warner,LB5,,5,419,
quay walker,Quay Walker,LB6,,6,419,
sonny styles,Sonny Styles,LB7,,7,419,
zack baun,Zack Baun,LB8,,8,419,
edgerrin cooper,Edgerrin Cooper,LB9,,9,419,
foyesade oluokun,Foyesade Oluokun,LB10,,10,419,
nick bolton,Nick Bolton,LB11,,11,419,
tj edwards,T.J. Edwards,LB12,,12,419,
cedric gray,Cedric Gray,LB13,,13,419,
jamien sherwood,Jamien Sherwood,LB14,,14,419,
blake cashman,Blake Cashman,LB15,,15,419,
daiyan henley,Daiyan Henley,LB16,,16,419,
carson schwesinger,Carson Schwesinger,LB17,,17,419,
tremaine edmunds,Tremaine Edmunds,LB18,,18,419,
devin lloyd,Devin Lloyd,LB19,,19,419,
azeez al shaair,Azeez Al-Shaair,LB20,,20,419,
kyle hamilton,Kyle Hamilton,S1,,21,419,
nate landman,Nate Landman,LB21,,22,419,
myles garrett,Myles Garrett,DE1,,23,419,
jeffery simmons,Jeffery Simmons,DT1,,24,419,
nakobe dean,Nakobe Dean,LB22,,25,419,
will anderson,Will Anderson Jr.,DE2,,26,419,
cj allen,CJ Allen,LB23,,27,419,
patrick queen,Patrick Queen,LB24,,28,419,
jalen carter,Jalen Carter,DT2,,29,419,
arvell reese,Arvell Reese,LB25,,30,419,
zaire franklin,Zaire Franklin,LB26,,31,419,
jihaad campbell,Jihaad Campbell,LB27,,32,419,
aidan hutchinson,Aidan Hutchinson,DE3,,33,419,
jared verse,Jared Verse,DE4,,34,419,
maxx crosby,Maxx Crosby,DE5,,35,419,
caleb downs,Caleb Downs,S2,,36,419,
tykee smith,Tykee Smith,S3,,37,419,
kobie turner,Kobie Turner,DT3,,38,419,
derwin james,Derwin James Jr.,S4,,39,419,
micah parsons,Micah Parsons,DE6,,40,419,
quinnen williams,Quinnen Williams,DT4,,41,419,
byron murphy,Byron Murphy II,DT5,,42,419,
brian burns,Brian Burns,DE7,,43,419,
budda baker,Budda Baker,S5,,44,419,
nick bosa,Nick Bosa,DE8,,45,419,
deforest buckner,DeForest Buckner,DT6,,46,419,
nick emmanwori,Nick Emmanwori,S6,,47,419,
jessie bates,Jessie Bates III,S7,,48,419,
brian branch,Brian Branch,S8,,49,419,
kamren curl,Kam Curl,S9,,50,419,
nik bonitto,Nik Bonitto,DE9,,51,419,
antoine winfield,Antoine Winfield Jr,S10,,52,419,
dallas turner,Dallas Turner,DE10,,53,419,
abdul carter,Abdul Carter,DE11,,54,419,
tj watt,T.J. Watt,DE12,,55,419,
derrick brown,Derrick Brown,DT7,,56,419,
tuli tuipulotu,Tuli Tuipulotu,DE13,,57,419,
josh hines allen,Josh Hines-Allen,DE14,,58,419,
zach allen,Zach Allen,DT8,,59,419,
laiatu latu,Laiatu Latu,DE15,,60,419,
leonard williams,Leonard Williams,DT9,,61,419,
david bailey,David Bailey,DE16,,62,419,
talanoa hufanga,Talanoa Hufanga,S11,,63,419,
danielle hunter,Danielle Hunter,DE17,,64,419,
kamari lassiter,Kamari Lassiter,CB1,,65,419,
travis hunter,Travis Hunter,CB2,,66,419,
derrick harmon,Derrick Harmon,DT10,,67,419,
byron young,Byron Young,DE18,,68,419,
jordan battle,Jordan Battle,S12,,69,419,
trevon moehrig,Tre'von Moehrig,S13,,70,419,
walter nolen,Walter Nolen III,DT11,,71,419,
payton wilson,Payton Wilson,LB28,,72,419,
malaki starks,Malaki Starks,S14,,73,419,
zach sieler,Zach Sieler,DT12,,74,419,
andrew van ginkel,Andrew Van Ginkel,DE19,,75,419,
trey hendrickson,Trey Hendrickson,DE20,,76,419,
calijah kancey,Calijah Kancey,DT13,,77,419,
terrel bernard,Terrel Bernard,LB29,,78,419,
jaquan brisker,Jaquan Brisker,S15,,79,419,
barrett carter,Barrett Carter,LB30,,80,419,
nick cross,Nick Cross,S16,,81,419,
ed oliver,Ed Oliver,DT14,,82,419,
jalon walker,Jalon Walker,DE21,,83,419,
rueben bain,Rueben Bain Jr.,DE22,,84,419,
devin bush,Devin Bush,LB31,,85,419,
julian love,Julian Love,S17,,86,419,
chamarri conner,Chamarri Conner,S18,,87,419,
demetrius knight,Demetrius Knight Jr.,LB32,,88,419,
robert spillane,Robert Spillane,LB33,,89,419,
eric rivers,Eric Rivers,DE23,,90,419,
quincy williams,Quincy Williams,LB34,,91,419,
cooper dejean,Cooper DeJean,CB3,,92,419,
demarvion overshown,DeMarvion Overshown,LB35,,93,419,
gregory rousseau,Greg Rousseau,DE24,,94,419,
jordan davis,Jordan Davis,DT15,,95,419,
mike sainristil,Mike Sainristil,CB4,,96,419,
anthony hill,Anthony Hill Jr.,LB36,,97,419,
devon witherspoon,Devon Witherspoon,CB5,,98,419,
kaden elliss,Kaden Elliss,LB37,,99,419,
dillon thieneman,Dillon Thieneman,S19,,100,419,
bobby okereke,Bobby Okereke,LB38,,101,419,
josiah trotter,Josiah Trotter,LB39,,102,419,
jacob rodriguez,Jacob Rodriguez,LB40,,103,419,
kool aid mckinstry,Kool-Aid McKinstry,CB6,,104,419,
jalen pitre,Jalen Pitre,S20,,105,419,
jeremy chinn,Jeremy Chinn,S21,,106,419,
marlon humphrey,Marlon Humphrey,CB7,,107,419,
christian gonzalez,Christian Gonzalez,CB8,,108,419,
alex singleton,Alex Singleton,LB41,,109,419,
paulson adebo,Paulson Adebo,CB9,,110,419,
alontae taylor,Alontae Taylor,CB10,,111,419,
tyrel dodson,Tyrel Dodson,LB42,,112,419,
quentin lake,Quentin Lake,S22,,113,419,
emmanuel mcneil warren,Emmanuel McNeil-Warren,S23,,114,419,
xavier watts,Xavier Watts,S24,,115,419,
kenny moore,Kenny Moore II,CB11,,116,419,
danny stutsman,Danny Stutsman,LB43,,117,419,
mike jackson,Mike Jackson,CB12,,118,419,
nate wiggins,Nate Wiggins,CB13,,119,419,
jarvis brownlee,Jarvis Brownlee Jr.,CB14,,120,419,
jake golday,Jake Golday,LB44,,121,419,
minkah fitzpatrick,Minkah Fitzpatrick,S25,,122,419,
xavier mckinney,Xavier McKinney,S26,,123,419,
leo chenal,Leo Chenal,LB45,,124,419,
drake thomas,Drake Thomas,LB46,,125,419,
henry tootoo,Henry To'oTo'o,LB47,,126,419,
logan wilson,Logan Wilson,LB48,,127,419,
cole bishop,Cole Bishop,S27,,128,419,
sirvocea dennis,SirVocea Dennis,LB49,,129,419,
bobby wagner,Bobby Wagner,LB50,,130,419,
nahshon wright,Nahshon Wright,CB15,,131,419,
jalen ramsey,Jalen Ramsey,CB16,,132,419,
lavonte david,Lavonte David,LB51,,133,419,
yaya diaby,Yaya Diaby,DE25,,134,419,
cody simon,Cody Simon,LB52,,135,419,
frankie luvu,Frankie Luvu,LB53,,136,419,
cashius howell,Cashius Howell,DE26,,137,419,
devin white,Devin White,LB54,,138,419,
quinyon mitchell,Quinyon Mitchell,CB17,,139,419,
malachi moore,Malachi Moore,S28,,140,419,
keeanu benton,Keeanu Benton,DT16,,141,419,
chop robinson,Chop Robinson,DE27,,142,419,
tyson campbell,Tyson Campbell,CB18,,143,419,
