Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
1,1.33,DE (DL1),Arvell Reese,Ohio State,20,1,1,2,,
2,1.67,LB1,Sonny Styles,Ohio State,21,2,2,1,,
3,3.00,DE (DL2),David Bailey,Texas Tech,-,3,3,3,,
4,4.67,S (DB1),Caleb Downs,Ohio State,21,4,5,5,,
5,5.00,LB2,Jacob Rodriguez,Texas Tech,23,5,4,6,,
6,6.67,DE (DL3),Rueben Bain Jr,Miami (Florida),21,9,7,4,,
7,6.67,LB3,Jake Golday,Cincinnati,22,6,6,8,,
8,8.33,S (DB2),Dillon Thieneman,Oregon,21,7,8,10,,
9,9.33,LB4,Anthony Hill Jr,Texas,21,8,11,9,,
10,10.67,LB5,CJ Allen,Georgia,21,10,15,7,,
11,11.33,S (DB3),Emmanuel McNeil-Warren,Toledo,-,11,12,11,,
12,12.33,LB6,Kyle Louis,Pittsburgh,22,12,9,16,,
13,13.00,DE (DL4),Akheem Mesidor,Miami (Florida),24,13,14,12,,
14,16.00,DE (DL5),Zion Young,Missouri,22,14,20,14,,
15,16.33,S (DB4),AJ Haulcy,LSU,22,15,13,21,,
16,17.00,DE (DL6),Cashius Howell,Texas A&M,-,16,16,19,,
17,17.67,LB7,Keyshaun Elliott,Arizona State,22,17,10,-,,
18,18.33,DE (DL7),Keldric Faulk,Auburn,20,18,19,18,,
19,19.33,DT (DL8),Peter Woods,Clemson,21,19,17,22,,
20,19.67,LB8,Josiah Trotter,Missouri,20,20,-,13,,
21,20.67,DT (DL9),Caleb Banks,Florida,23,21,18,23,,
22,21.00,DE (DL10),Gabe Jacas,Illinois,21,22,-,15,,
23,22.00,DE (DL11),TJ Parker,Clemson,21,23,-,17,,
24,22.67,S (DB5),Jalon Kilgore,South Carolina,21,24,24,20,,
25,24.00,DE (DL12),Derrick Moore,Michigan,23,25,21,-,,
26,24.67,DE (DL13),Malachi Lawrence,UCF,-,-,22,-,,
27,25.00,S (DB6),Treydan Stukes,Arizona,-,-,23,-,,
28,25.33,DT (DL14),Lee Hunter,Texas Tech,23,-,-,24,,
29,25.67,S (DB7),Zakee Wheatley,Penn State,24,-,-,25,,
30,25.67,S (DB8),Kamari Ramsey,USC,21,-,25,-,,
