Rank,Avg,Pos,Name,Team,Age,EricD,John A,Matt P,Michael M,Ryan M,Value,Follow
1,1.00,QB1,Josh Allen,BUF,29,1,1,1,1,1,,
2,4.20,WR1,Ja'Marr Chase,CIN,26,3,2,8,3,5,,
3,4.40,QB2,Lamar Jackson,BAL,29,2,14,2,2,2,,
4,5.00,WR2,Jaxon Smith-Njigba,SEA,24,5,4,6,6,4,,
5,5.80,WR3,Puka Nacua,LAR,24,4,5,7,5,8,,
6,6.00,QB3,Drake Maye,NE,23,9,3,5,10,3,,
7,9.20,WR4,Amon-Ra St. Brown,DET,26,7,7,9,13,10,,
8,9.20,QB4,Jalen Hurts,PHI,27,18,6,4,7,11,,
9,9.60,WR5,CeeDee Lamb,DAL,26,6,11,10,8,13,,
10,10.00,RB1,Jahmyr Gibbs,DET,23,13,8,11,11,7,,
11,11.20,RB2,Bijan Robinson,ATL,24,12,9,12,17,6,,
12,11.80,QB5,Joe Burrow,CIN,29,10,12,19,4,14,,
13,12.00,QB6,Jayden Daniels,WAS,25,8,22,3,12,15,,
14,13.00,WR6,Justin Jefferson,MIN,26,11,10,16,16,12,,
15,13.20,WR7,Malik Nabers,NYG,22,14,15,14,14,9,,
16,18.60,TE1,Trey McBride,ARI,26,17,18,13,25,20,,
17,20.00,TE2,Brock Bowers,LV,23,15,26,20,20,19,,
18,20.20,WR8,Drake London,ATL,24,16,17,15,32,21,,
19,21.00,QB7,Patrick Mahomes,KC,30,19,20,32,9,25,,
20,21.00,QB8,Justin Herbert,LAC,28,20,21,25,15,24,,
21,21.20,QB9,Caleb Williams,CHI,23,23,19,24,22,18,,
22,23.20,QB10,Jaxson Dart,NYG,22,35,13,18,33,17,,
23,23.60,WR9,Nico Collins,HOU,27,28,24,17,19,30,,
24,25.20,QB11,Trevor Lawrence,JAC,26,29,31,23,27,16,,
25,25.40,RB3,Ashton Jeanty,LV,22,22,43,22,18,22,,
26,26.00,RB4,De'Von Achane,MIA,24,24,25,21,31,29,,
27,27.20,WR10,Tetairoa McMillan,CAR,22,26,28,30,29,23,,
28,28.00,WR11,Emeka Egbuka,TB,23,21,37,27,23,32,,
29,30.00,QB12,Jordan Love,GB,27,27,33,26,28,36,,
30,31.00,QB13,Bo Nix,DEN,26,25,41,28,34,27,,
31,35.40,RB5,Jonathan Taylor,IND,27,31,55,29,24,38,,
32,35.40,WR12,George Pickens,DAL,25,37,38,33,43,26,,
33,35.60,WR13,Garrett Wilson,NYJ,25,32,36,34,41,35,,
34,38.80,QB14,Brock Purdy,SF,26,38,30,41,36,49,,
35,39.40,WR14,AJ Brown,PHI,28,41,23,35,38,60,,
36,39.60,QB15,Dak Prescott,DAL,32,34,40,40,21,63,,
37,40.00,RB6,Omarion Hampton,LAC,23,30,46,49,42,33,,
38,40.20,RB7,Breece Hall,NYJ,24,39,52,31,26,53,,
39,42.60,WR15,Ladd McConkey,LAC,24,33,53,37,48,42,,
40,43.20,WR16,Brian Thomas,JAC,23,48,44,38,45,41,,
41,45.60,WR17,Rome Odunze,CHI,23,36,66,45,44,37,,
42,48.20,QB16,Baker Mayfield,TB,30,44,32,51,50,64,,
43,48.20,WR18,DeVonta Smith,PHI,27,51,29,46,49,66,,
44,48.20,RB8,James Cook,BUF,26,40,54,48,54,45,,
45,48.20,TE3,Tyler Warren,IND,23,43,42,54,62,40,,
46,48.80,WR19,Marvin Harrison Jr,ARI,23,62,47,44,35,56,,
47,50.20,QB17,CJ Stroud,HOU,24,63,50,43,30,65,,
48,50.80,WR20,Tee Higgins,CIN,27,58,51,47,55,43,,
49,51.60,TE4,Sam LaPorta,DET,25,54,73,36,37,58,,
50,52.20,WR21,Chris Olave,NO,25,67,27,39,57,71,,
51,52.80,RB9,Kenneth Walker,KC,25,46,57,50,67,44,,
52,53.00,WR22,Zay Flowers,BAL,25,59,16,60,61,69,,
53,53.80,QB18,Jared Goff,DET,31,55,35,67,53,59,,
54,54.40,RB10,Saquon Barkley,PHI,29,52,56,68,39,57,,
55,54.80,RB11,Bucky Irving,TB,23,42,74,53,66,39,,
56,55.60,TE5,Colston Loveland,CHI,21,53,34,95,65,31,,
57,56.00,RB12,Christian McCaffrey,SF,29,49,93,52,40,46,,
58,56.20,WR23,Rashee Rice,KC,25,57,80,57,59,28,,
59,56.40,QB19,Kyler Murray,MIN,28,69,45,42,64,62,,
60,57.40,RB13,Kyren Williams,LAR,25,47,72,66,52,50,,
61,57.80,WR24,DK Metcalf,PIT,28,64,39,62,51,73,,
62,57.80,WR25,Jaylen Waddle,DEN,27,65,49,61,46,68,,
63,62.00,WR26,Jordan Addison,MIN,24,61,62,70,56,61,,
64,62.00,RB14,Quinshon Judkins,CLE,22,45,85,65,68,47,,
65,63.00,RB15,TreVeyon Henderson,NE,23,50,61,58,94,52,,
66,63.00,RB16,Chase Brown,CIN,25,60,70,59,71,55,,
