PAGE                                           ANON                     AUTH                    
/                                              200|                     200|                    
/login                                         200|                     200|                    
/rankings                                      307|http://127.0.0.1:30  200|                    
/rankings/qb                                   307|http://127.0.0.1:30  200|                    
/trending                                      307|http://127.0.0.1:30  200|                    
/idptc-rookies                                 307|http://127.0.0.1:30  200|                    
/players/compare                               307|http://127.0.0.1:30  200|                    
/bdvm                                          307|http://127.0.0.1:30  200|                    
/news                                          307|http://127.0.0.1:30  200|                    
/trade                                         307|http://127.0.0.1:30  200|                    
/angle                                         307|http://127.0.0.1:30  200|                    
/arbitrage                                     307|http://127.0.0.1:30  200|                    
/trades                                        307|http://127.0.0.1:30  200|                    
/rosters                                       307|http://127.0.0.1:30  200|                    
/waivers                                       307|http://127.0.0.1:30  200|                    
/draft                                         307|http://127.0.0.1:30  200|                    
/phases                                        307|http://127.0.0.1:30  200|                    
/edge                                          307|http://127.0.0.1:30  200|                    
/consensus-edge                                307|http://127.0.0.1:30  200|                    
/market/sharp-tracker                          307|http://127.0.0.1:30  200|                    
/market/sharp-roster-percentage                307|http://127.0.0.1:30  200|                    
/league                                        200|                     200|                    
/league/activity                               200|                     200|                    
/league/insider-trading                        307|http://127.0.0.1:30  200|                    
/league-comparison                             307|http://127.0.0.1:30  200|                    
/settings                                      307|http://127.0.0.1:30  200|                    
/more                                          307|http://127.0.0.1:30  200|                    
/tools/source-health                           307|http://127.0.0.1:30  200|                    
/tools/ros-data-health                         307|http://127.0.0.1:30  200|                    
/tools/trade-coverage                          307|http://127.0.0.1:30  200|                    
/admin                                         307|http://127.0.0.1:30  200|                    
/finder                                        307|http://127.0.0.1:30  200|                    
/design                                        307|http://127.0.0.1:30  200|                    
/intel                                         307|http://127.0.0.1:30  200|                    
/draft-capital                                 308|http://127.0.0.1:30  308|http://127.0.0.1:30 
/league/franchise/1                            200|                     200|                    
/league/player/4046                            200|                     200|                    
/league/rivalry/a-vs-b                         200|                     200|                    
/league/week/2025/1                            200|                     200|                    
/league/weekly/2025/1/1                        200|                     200|                    
/league/articles/2025/1                        200|                     200|                    
/league/articles/2025/1/1/recap                200|                     200|                    
/robots.txt                                    200|                     200|                    
/sitemap.xml                                   200|                     200|                    
/manifest.webmanifest                          200|                     200|                    
/nonexistent-xyz                               307|http://127.0.0.1:30  404|                    
