surface,kind,auth,live status,has bridge?,called by which page/component,reachable from nav?,verdict
/api/admin/guest-pass,backend route (POST),admin,non-GET (not probed),no,frontend/app/settings/page.jsx; frontend/components/admin/GuestPassPanel.jsx,n/a,Reachable from UI
/api/admin/guest-pass/{pass_id}/revoke,backend route (POST),admin,non-GET (not probed),no,frontend/components/admin/GuestPassPanel.jsx,n/a,Reachable from UI
/api/admin/guest-passes,backend route (GET),admin,anon 401 / auth 403,no,frontend/app/settings/page.jsx; frontend/components/admin/GuestPassPanel.jsx,n/a,Reachable from UI
/api/admin/nfl-data/flush,backend route (POST),admin,non-GET (not probed),no,frontend/app/admin/page.jsx,n/a,Reachable from UI
/api/admin/sessions/force-logout-all,backend route (POST),admin,non-GET (not probed),no,frontend/app/admin/page.jsx,n/a,Reachable from UI
/api/admin/signal-state/migrate,backend route (POST),admin,non-GET (not probed),no,frontend/app/admin/page.jsx,n/a,Reachable from UI
/api/angle/find,backend route (POST),session,non-GET (not probed),no,-,n/a,"DEAD - bridge exists, no UI caller (/angle uses /api/angle/packages only)"
/api/angle/packages,backend route (POST),session,non-GET (not probed),yes,frontend/app/angle/page.jsx,n/a,Reachable from UI
/api/auth/login,backend route (POST),public,non-GET (not probed),no,frontend/app/login/page.jsx,n/a,Reachable from UI
/api/auth/logout,backend route (POST),public,non-GET (not probed),yes,frontend/components/useAuth.js,n/a,Reachable from UI
/api/auth/status,backend route (GET),public,anon 200 / auth 200,yes,frontend/components/useAuth.js,n/a,Reachable from UI
/api/bdvm/roster,backend route (GET),session,anon 401 / auth 200,yes,frontend/app/bdvm/page.jsx; frontend/lib/bdvm.js,n/a,Reachable from UI
/api/bdvm/trade-eval,backend route (POST),session,non-GET (not probed),yes,frontend/components/BdvmTradePanel.jsx,n/a,Reachable from UI
/api/bdvm/trades,backend route (GET),session,anon 401 / auth 200,yes,frontend/app/bdvm/page.jsx; frontend/lib/bdvm.js,n/a,Reachable from UI
/api/bdvm/values,backend route (GET),session,anon 401 / auth 200,yes,frontend/app/bdvm/page.jsx; frontend/app/draft/page.jsx; frontend/app/rankings/page.jsx; frontend/components/useBdvm.js,n/a,Reachable from UI
/api/consensus-edge/health,backend route (GET),session,anon 401 / auth 503,yes,-,n/a,"DEAD - bridge exists, no UI caller"
/api/consensus-edge/methodology,backend route (GET),session,anon 401 / auth 200,yes,frontend/app/consensus-edge/page.jsx,n/a,Reachable from UI
/api/consensus-edge/player/{player_key},backend route (GET),session,anon 401 / auth 503,no,-,n/a,DEAD - tests only
/api/consensus-edge/players,backend route (GET),session,anon 401 / auth 503,yes,frontend/app/consensus-edge/page.jsx,n/a,Reachable from UI
