player,pos,assetClass,boardRank,value,A_rankings_EdgeCol(marketAction),B_rankings_SignalCol(actionLabel+cautions),C_rankings_EdgeRail,D_edge_offense_section,E_edge_IDP_verb(idpMarketAction),F_signalsPanel_JS(signal-engine.js),G_api_terminal_PY(_evaluate_signal),H_api_movers,I_bdvm_signal,J_consensus_edge_label,K_trade_suggestions,L_sharp_market,backend_marketGapDirection,marketGapMagnitude,sourceRankSpread,confidenceBucket,trend7,trend30
Josh Allen,QB,offense,1,9988,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,1.6153846153846154,2,high,null,null
Tyler Shough,QB,offense,91,4321,HOLD,—,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,0.5833333333333286,28,medium,null,null
Bijan Robinson,RB,offense,3,9706,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,3.083333333333333,8,high,null,null
Kenneth Walker,RB,offense,45,5813,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,2.636363636363633,25,high,null,null
J.K. Dobbins,RB,offense,209,2660,HOLD,—,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,4.333333333333343,111,medium,null,null
Ja'Marr Chase,WR,offense,4,9641,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,0.45454545454545414,9,high,null,null
Nico Collins,WR,offense,40,6080,BUY,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,9.769230769230766,23,high,null,null
Romeo Doubs,WR,offense,201,2732,BUY,—,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,10.615384615384613,98,medium,null,null
Brock Bowers,TE,offense,2,9947,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,5.363636363636363,11,high,null,null
Kyle Pitts,TE,offense,64,5074,SELL,—,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,28.461538461538467,54,medium,null,null
