setting,host API value,repo config value,frontend copy value,canonical,status,source of truth
scoring.blk_kick,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_def_fum_td_50p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_def_int_td_50p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_fd_qb,0.67,0.67,n/a (frontend holds no scoring copy),0.67,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_fd_rb,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_fd_te,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_fd_wr,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_pass_cmp_25,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_pass_yd_300,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_pass_yd_400,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rec_rb,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rec_te,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rec_wr,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rec_yd_100,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rec_yd_200,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rush_att_20,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rush_rec_yd_100,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rush_rec_yd_200,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rush_yd_100,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_rush_yd_200,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_sack_2p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.bonus_tkl_10p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_2pt,4.0,4.0,n/a (frontend holds no scoring copy),4.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_3_and_out,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_4_and_stop,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_forced_punts,1.0,1.0,n/a (frontend holds no scoring copy),1.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_kr_yd,0.01,0.01,n/a (frontend holds no scoring copy),0.01,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_pass_def,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_pr_yd,0.01,0.01,n/a (frontend holds no scoring copy),0.01,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_st_ff,0.5,0.5,n/a (frontend holds no scoring copy),0.5,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_st_fum_rec,0.5,0.5,n/a (frontend holds no scoring copy),0.5,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_st_td,6.0,6.0,n/a (frontend holds no scoring copy),6.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_st_tkl_solo,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.def_td,6.0,6.0,n/a (frontend holds no scoring copy),6.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.ff,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fg_ret_yd,0.01,0.01,n/a (frontend holds no scoring copy),0.01,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_0_19,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_20_29,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_30_39,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_40_49,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_50p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_60p,0.0,0.0,n/a (frontend holds no scoring copy),0.0,MATCH,Sleeper host GET /v1/league/1312006700437352448
scoring.fgm_yds,0.07,0.07,n/a (frontend holds no scoring copy),0.07,MATCH,Sleeper host GET /v1/league/1312006700437352448
