script,scheduled_by,cadence,writes_what,read_by,prod_refs,test_refs,last_real_output_in_repo
scripts/__init__.py,none,n/a,nothing — prints + exit code only,NOTHING,0,0,(no matching file in repo)
scripts/_shared.py,none,n/a,nothing — prints + exit code only,export_player_map.py; validate_ingest.py; identity_resolve.py; generate_test_seeds.py; src/utils/name_clean.py,5,0,(no matching file in repo)
scripts/audit_dropped_sources.py,workflow:audit-dropped-sources.yml [weekly Mon 07:23Z],weekly Mon 07:23Z,nothing — prints + exit code only,src/api/data_contract.py,2,1,(no matching file in repo)
scripts/audit_identity.py,none,n/a,nothing — prints + exit code only,audit_dropped_sources.py,1,0,(no matching file in repo)
scripts/audit_identity_matches.py,workflow:audit-identity-matches.yml [daily 08:17Z],daily 08:17Z,writes (path built at runtime),src/utils/name_clean.py,2,1,(no matching file in repo)
scripts/auto_refit_hill_curves.py,workflow:refit-hill-curves.yml [weekly Tue 06:17Z],weekly Tue 06:17Z,nothing — prints + exit code only,fit_hill_curve_percentile.py; src/model_registry/hill_masters.py; src/model_registry/holdout.py,4,2,(no matching file in repo)
scripts/backfill_ktc_sftep_raw.py,none,n/a,data,NOTHING,0,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/backfill_rank_history.py,none,n/a,nothing — prints + exit code only,src/maintenance/retention.py,1,1,(no matching file in repo)
scripts/backfill_source_history.py,deploy-script:deploy/deploy.sh,n/a,data,NOTHING,1,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/backtest_adjusted_board.py,none,n/a,exports,NOTHING,0,0,exports/latest/dynasty_values.csv @ 2026-08-04
scripts/backtest_alpha_lambda_joint.py,none,n/a,data; reports,NOTHING,0,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/backtest_alpha_shrinkage.py,none,n/a,data; reports,NOTHING,0,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/backtest_consensus_edge_composite.py,none,n/a,writes (path built at runtime),NOTHING,0,0,(no matching file in repo)
scripts/backtest_ktc_volatility.py,none,n/a,writes (path built at runtime),TESTS ONLY,0,1,(no matching file in repo)
scripts/backtest_legacy_rank_curve.py,none,n/a,exports,src/canonical/player_valuation.py,1,3,exports/latest/dynasty_values.csv @ 2026-08-04
scripts/backtest_percentile_reference_n.py,none,n/a,data; reports,TESTS ONLY,0,1,data/public_league/nfl_players.json @ 2026-08-04
scripts/backtest_scoring_adjustment.py,none,n/a,writes (path built at runtime),NOTHING,0,0,(no matching file in repo)
scripts/backtest_soft_fallback.py,none,n/a,data; reports,NOTHING,0,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/bdvm_build_baseline.py,none,n/a,exports,refresh_bdvm_projections.py; src/api/feature_flags.py,2,1,exports/latest/dynasty_values.csv @ 2026-08-04
scripts/board_diff.py,none,n/a,nothing — prints + exit code only,golden_board.py,1,0,(no matching file in repo)
scripts/board_invariance_hash.py,none,n/a,writes (path built at runtime),NOTHING,0,0,(no matching file in repo)
scripts/build_historical_scoring_dataset.py,none,n/a,writes (path built at runtime),NOTHING,0,0,(no matching file in repo)
scripts/build_public_league_snapshot.py,none,n/a,nothing — prints + exit code only,Dynasty Scraper.py,1,0,(no matching file in repo)
scripts/calibrate_va_formula.py,none,n/a,scripts,collect_ktc_va.py; frontend/lib/trade-logic.js,2,1,scripts/__pycache__/refresh_reception_depth.cpython-311.pyc @ 2026-08-04
scripts/check_env.py,workflow:smoke-test.yml [daily 06:15Z]; workflow:audit-rank-form-drift.yml [weekly Tue 07:41Z]; workflow:refit-hill-curves.yml [weekly Tue 06:17Z]; workflow:deploy.yml [on push to main]; workflow:audit-dropped-sources.yml [weekly Mon 07:23Z]; workflow:scheduled-refresh.yml [every 2h :42]; workflow:pr-validation.yml [on PR],daily 06:15Z; weekly Tue 07:41Z; weekly Tue 06:17Z; on push to main; weekly Mon 07:23Z; every 2h :42; on PR,nothing — prints + exit code only,setup.sh; Makefile,9,0,(no matching file in repo)
scripts/check_ktc_health.py,none,n/a,nothing — prints + exit code only,collect_ktc_va.py,1,0,(no matching file in repo)
scripts/check_rank_form_drift.py,workflow:audit-rank-form-drift.yml [weekly Tue 07:41Z],weekly Tue 07:41Z,scripts,src/canonical/player_valuation.py,2,4,scripts/__pycache__/refresh_reception_depth.cpython-311.pyc @ 2026-08-04
scripts/collect_ktc_va.py,none,n/a,scripts,calibrate_va_formula.py,1,0,scripts/__pycache__/refresh_reception_depth.cpython-311.pyc @ 2026-08-04
scripts/convert_dlf_csv.py,none,n/a,writes (path built at runtime),TESTS ONLY,0,1,(no matching file in repo)
scripts/crawl_ffpc_sharp.py,timer:dynasty-ffpc-sharp [daily 05:20Z]; timer:chase-upside-ffpc-sharp [daily 05:20Z],daily 05:20Z; daily 05:20Z,config; data,TESTS ONLY,2,1,data/public_league/nfl_players.json @ 2026-08-04
scripts/crawl_sharp_activity.py,deploy-script:deploy/bootstrap-sharp-records.sh; timer:dynasty-sharp-activity [daily 06:30Z],daily 06:30Z,nothing — prints + exit code only,TESTS ONLY,2,1,(no matching file in repo)
scripts/crawl_sharp_records.py,deploy-script:deploy/bootstrap-sharp-records.sh; timer:dynasty-sharp-records [daily 04:50Z],daily 04:50Z,nothing — prints + exit code only,NOTHING,2,0,(no matching file in repo)
scripts/crawl_sharp_rosters.py,timer:dynasty-sharp-rosters [daily 05:50Z],daily 05:50Z,nothing — prints + exit code only,validate_sharp_roster_percentage.py,2,0,(no matching file in repo)
scripts/discover_sharp_graph.py,timer:dynasty-sharp-discovery [daily 04:20Z],daily 04:20Z,nothing — prints + exit code only,NOTHING,1,0,(no matching file in repo)
scripts/export_player_map.py,none,n/a,writes (path built at runtime),NOTHING,0,0,(no matching file in repo)
scripts/fetch_clay_projections.py,none,n/a,nothing — prints + exit code only,refresh_bdvm_projections.py; src/bdvm/clay_projections.py,2,0,(no matching file in repo)
scripts/fetch_dlf.py,workflow:scheduled-refresh.yml [every 2h :42]; deploy-script:deploy/dlf_fetch_and_push.sh; deploy-script:deploy/install-systemd-service.sh,every 2h :42,CSVs/site_raw/dlfIdp.csv; CSVs/site_raw/dlfRookieIdp.csv; CSVs/site_raw/dlfRookieSf.csv; CSVs/site_raw/dlfSf.csv,src/api/data_contract.py,4,1,CSVs/site_raw/dlfSf.csv @ 2026-08-04
scripts/fetch_draftsharks.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,writes (path built at runtime),fetch_draftsharks_ros.py; src/api/data_contract.py; src/ros/sources/draftsharks_ros.py,4,0,(no matching file in repo)
scripts/fetch_draftsharks_ros.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,writes (path built at runtime),src/ros/sources/draftsharks_ros.py,2,0,(no matching file in repo)
scripts/fetch_dynasty_daddy.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,CSVs; data,src/api/data_contract.py; frontend/lib/dynasty-data.js,3,1,data/public_league/nfl_players.json @ 2026-08-04
scripts/fetch_dynasty_nerds.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,CSVs; data,server.py; src/api/data_contract.py,3,1,data/public_league/nfl_players.json @ 2026-08-04
scripts/fetch_fantasycalc.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,CSVs; data,src/api/data_contract.py; frontend/lib/dynasty-data.js,3,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/fetch_fantasynavigator.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,CSVs; data,refresh_playerctx.py; src/api/data_contract.py; src/playerctx/service.py; src/playerctx/normalize.py; frontend/lib/dynasty-data.js,6,0,data/public_league/nfl_players.json @ 2026-08-04
scripts/fetch_fantasypros_fitzmaurice.py,workflow:scheduled-refresh.yml [every 2h :42],every 2h :42,writes (path built at runtime),src/api/data_contract.py; frontend/lib/dynasty-data.js,3,1,(no matching file in repo)
