Rank,Avg,Pos,Name,Team,Age,EricD,John A,John H,Matt P,Michael M,Ryan M,Value,Follow
1,1.00,QB1,Josh Allen,BUF,29,1,1,1,1,1,1,,
2,4.83,QB2,Lamar Jackson,BAL,29,2,14,7,2,2,2,,
3,5.17,WR1,Ja'Marr Chase,CIN,26,3,2,11,7,3,5,,
4,5.83,QB3,Drake Maye,NE,23,9,3,6,4,10,3,,
5,6.50,WR2,Jaxon Smith-Njigba,SEA,24,5,4,14,6,6,4,,
6,7.50,WR3,Puka Nacua,LAR,24,4,5,15,8,5,8,,
7,9.17,QB4,Jalen Hurts,PHI,27,18,6,8,5,7,11,,
8,10.00,RB1,Jahmyr Gibbs,DET,24,13,8,10,11,11,7,,
9,10.33,WR4,CeeDee Lamb,DAL,27,6,11,12,12,8,13,,
10,10.33,WR5,Amon-Ra St. Brown,DET,26,7,7,16,9,13,10,,
11,10.50,QB5,Joe Burrow,CIN,29,10,12,3,20,4,14,,
12,10.50,RB2,Bijan Robinson,ATL,24,12,9,9,10,17,6,,
13,10.67,QB6,Jayden Daniels,WAS,25,8,22,4,3,12,15,,
14,12.83,WR6,Justin Jefferson,MIN,26,11,10,13,15,16,12,,
15,13.83,WR7,Malik Nabers,NYG,22,14,15,17,14,14,9,,
16,17.33,QB7,Justin Herbert,LAC,28,20,21,5,19,15,24,,
17,17.83,QB8,Patrick Mahomes,KC,30,19,20,2,32,9,25,,
18,18.67,TE1,Trey McBride,ARI,26,17,18,19,13,25,20,,
19,19.83,TE2,Brock Bowers,LV,23,15,26,18,21,20,19,,
20,21.00,QB9,Caleb Williams,CHI,23,23,19,20,24,22,18,,
21,21.33,WR8,Drake London,ATL,24,16,17,27,16,31,21,,
22,24.00,QB10,Jaxson Dart,NYG,22,35,13,29,18,32,17,,
23,24.50,QB11,Trevor Lawrence,JAC,26,29,31,21,23,27,16,,
24,25.17,WR9,Nico Collins,HOU,27,28,24,33,17,19,30,,
25,25.33,RB3,Ashton Jeanty,LV,22,22,43,25,22,18,22,,
26,26.00,RB4,De'Von Achane,MIA,24,24,25,23,25,30,29,,
27,29.00,QB12,Jordan Love,GB,27,27,33,24,26,28,36,,
28,29.33,QB13,Bo Nix,DEN,26,25,41,22,28,33,27,,
29,30.00,WR10,Tetairoa McMillan,CAR,23,26,28,44,30,29,23,,
30,30.83,WR11,Emeka Egbuka,TB,23,21,37,45,27,23,32,,
31,33.83,WR12,Garrett Wilson,NYJ,25,32,36,26,34,40,35,,
32,34.67,RB5,Jonathan Taylor,IND,27,31,55,31,29,24,38,,
33,37.00,RB6,Omarion Hampton,LAC,23,30,46,28,44,41,33,,
34,37.50,WR13,George Pickens,DAL,25,37,38,49,33,42,26,,
35,40.33,RB7,Breece Hall,NYJ,24,39,52,41,31,26,53,,
36,40.67,WR14,Ladd McConkey,LAC,24,33,53,32,36,48,42,,
37,40.83,QB14,Brock Purdy,SF,26,38,30,54,39,35,49,,
38,41.33,QB15,Dak Prescott,DAL,32,34,40,50,40,21,63,,
39,42.33,WR15,AJ Brown,PHI,28,41,23,47,46,37,60,,
40,46.17,RB8,James Cook,BUF,26,40,54,34,50,54,45,,
41,46.50,QB16,Baker Mayfield,TB,31,44,32,37,52,50,64,,
42,46.50,WR16,DeVonta Smith,PHI,27,51,29,43,41,49,66,,
43,47.83,WR17,Brian Thomas,JAC,23,48,44,72,37,45,41,,
44,48.00,WR18,Marvin Harrison Jr,ARI,23,62,47,42,47,34,56,,
45,49.67,RB9,Kenneth Walker,KC,25,46,57,39,45,67,44,,
46,50.17,TE3,Tyler Warren,IND,23,43,42,59,55,62,40,,
47,51.33,WR19,Rome Odunze,CHI,23,36,66,75,51,43,37,,
48,51.50,RB10,Saquon Barkley,PHI,29,52,56,38,68,38,57,,
49,52.50,RB11,Bucky Irving,TB,23,42,74,40,54,66,39,,
50,53.00,WR20,Chris Olave,NO,25,67,27,58,38,57,71,,
51,53.67,QB17,Jared Goff,DET,31,55,35,53,67,53,59,,
52,54.33,QB18,CJ Stroud,HOU,24,63,50,61,43,44,65,,
53,54.83,TE4,Colston Loveland,CHI,22,53,34,51,95,65,31,,
54,55.00,WR21,Rashee Rice,KC,25,57,80,48,58,59,28,,
55,55.50,WR22,Tee Higgins,CIN,27,58,51,78,48,55,43,,
56,56.50,WR23,Jaylen Waddle,DEN,27,65,49,62,49,46,68,,
57,57.50,RB12,Quinshon Judkins,CLE,22,45,85,35,65,68,47,,
58,58.00,RB13,Christian McCaffrey,SF,29,49,93,68,53,39,46,,
59,58.17,TE5,Sam LaPorta,DET,25,54,73,93,35,36,58,,
60,58.50,RB14,Kyren Williams,LAR,25,47,72,64,66,52,50,,
61,58.67,WR24,DK Metcalf,PIT,28,64,39,63,62,51,73,,
62,60.33,QB19,Kyler Murray,MIN,28,69,45,80,42,64,62,,
63,60.83,WR25,Zay Flowers,BAL,25,59,16,99,61,61,69,,
64,61.33,RB15,Chase Brown,CIN,26,60,70,52,60,71,55,,
65,61.83,RB16,TreVeyon Henderson,NE,23,50,61,55,59,94,52,,
66,63.67,TE6,Tucker Kraft,GB,25,56,90,36,56,93,51,,
67,68.50,QB20,Cam Ward,TEN,23,71,75,57,72,47,89,,
68,68.83,WR26,Luther Burden,CHI,22,72,78,74,97,58,34,,
