name,value
Abdul Carter,9702
Aidan Hutchinson,9999
Alex Highsmith,9276
Alex Singleton,5204
Andrew Mukuba,3798
Andrew Van Ginkel,6604
Antoine Winfield,7549
Austin Booker,3944
Azeez Al-Shaair,8474
Barrett Carter,4733
Blake Cashman,7690
Bobby Okereke,8015
Bobby Wagner,6815
Boye Mafe,5170
Braden Fiske,6815
Bradley Chubb,4946
Brandon Jones,4361
Brian Branch,8674
Brian Burns,9615
Bryan Bresee,4005
Budda Baker,7367
Byron Murphy,8709
Byron Young,7446
Calijah Kancey,6993
Cameron Heyward,3798
Carl Granderson,5386
Carson Schwesinger,9840
Cedric Gray,7575
Chase Young,5942
Chop Robinson,8801
Chris Jones,5320
Christian Barmore,3861
Cody Barton,3944
Cody Simon,4303
Cole Bishop,4342
Cooper DeJean,6703
Dadrion Taylor-Demerson,3840
Daiyan Henley,9086
Dallas Turner,8604
Danielle Hunter,9018
Danny Stutsman,5354
Dee Winters,7549
DeForest Buckner,7829
Demario Davis,3776
DeMarvion Overshown,6759
Demetrius Knight,5419
Derrick Brown,7209
Derrick Harmon,5204
Derwin James,7235
DeShon Elliott,4568
Devin Lloyd,8331
Devin White,4751
Devon Witherspoon,7142
Dexter Lawrence,8138
Divine Deablo,5724
Donovan Ezeiruaku,5972
Dorian Williams,3985
Drake Thomas,5756
Dre Greenlaw,6745
Drue Tranquill,4322
Ed Oliver,6403
Edgerrin Cooper,9637
Ernest Jones,9561
Foye Oluokun,8927
Frankie Luvu,7367
Fred Warner,9430
George Karlaftis,8295
Germaine Pratt,4893
Gervon Dexter,4512
Grant Delpit,3964
Gregory Rousseau,8882
Harold Landry,4046
Isaiah McDuffie,4225
Ivan Pace,4804
Jack Campbell,9851
Jack Sanborn,4046
Jaden Hicks,3819
Jaelan Phillips,8211
Jalen Carter,9198
Jalen Pitre,5517
Jalon Walker,7966
Jalyx Hunt,5849
James Pearce,6018
Jamien Sherwood,9474
Jaquan Brisker,4981
Jared Verse,9883
Jaylon Carlies,4696
Jeffery Simmons,8996
Jer'Zhan Newton,6505
Jeremy Chinn,4303
Jermaine Johnson,7155
Jessie Bates,6183
Jevon Holland,4025
Jihaad Campbell,8961
Joey Bosa,3923
Jonathan Allen,4911
Jonathan Greenard,8545
Jonathon Cooper,7169
Jordan Battle,4066
Jordan Magee,4264
Jordyn Brooks,9320
Josh Hines-Allen,9209
Josh Metellus,4475
Josh Sweat,4568
Julian Love,5661
Junior Colson,5484
Justin Madubuike,6078
Kaden Elliss,8355
Kamren Curl,5370
Kayvon Thibodeaux,7715
Kenneth Murray,4066
Kerby Joseph,4245
Kiko Mauigoa,4086
Kobie Turner,8040
Kwity Paye,4264
Kyle Dugger,5033
Kyle Hamilton,8569
Kyzir White,3882
Laiatu Latu,9243
Leo Chenal,5271
Leonard Williams,6432
Logan Wilson,5533
Lukas Van Ness,4205
Malaki Starks,5565
Malcolm Koonce,4106
Mason Graham,6505
Maxx Crosby,9723
Micah Parsons,9915
Mike Green,6108
Milton Williams,5102
Montez Sweat,6345
Mykel Williams,6842
Myles Garrett,9819
Nakobe Dean,8732
Nate Landman,6897
Nic Scourton,4166
Nick Bolton,9419
Nick Bosa,9798
Nick Cross,7275
Nick Emmanwori,7510
Nick Herbig,6490
Nik Bonitto,9712
Nolan Smith,6461
Odafe Oweh,4284
Omar Speights,4245
Patrick Queen,8331
Payton Wilson,8778
Pete Werner,4186
Quay Walker,8973
Quentin Lake,5597
Quincy Williams,8415
Quinnen Williams,8174
Rashan Gary,6168
Robert Spillane,7854
Roquan Smith,9507
Shemar Stewart,3861
SirVocea Dennis,5271
Talanoa Hufanga,4660
Tatum Bethune,4418
Teddye Buchanan,6093
Terrel Bernard,8674
TJ Edwards,8639
TJ Watt,9594
Travis Hunter,5693
Travon Walker,8076
Tre'von Moehrig,4005
Tremaine Edmunds,8089
Trevin Wallace,6301
Trey Hendrickson,8247
Tuli Tuipulotu,9018
Tykee Smith,6590
Tyler Nubin,6048
Tyrel Dodson,6360
Tyrice Knight,5452
Uchenna Nwosu,4858
Walter Nolen,5787
Will Anderson,9967
Will McDonald,7115
Xavier McKinney,6773
Xavier Watts,4605
YaYa Diaby,7778
Zach Allen,7314
Zach Sieler,5613
Zack Baun,9353
Zaire Franklin,8615
