name,value
AJ Haulcy,1683
Akheem Mesidor,1889
Anthony Hill,2049
Arvell Reese,2764
Bryce Boettcher,805
Caleb Banks,1246
Caleb Downs,2508
Cashius Howell,1513
CJ Allen,2049
David Bailey,2655
Derrick Moore,959
Dillon Thieneman,2205
Emmanuel McNeil-Warren,2127
Gabe Jacas,1246
Jacob Rodriguez,2508
Jake Golday,2358
Jalon Kilgore,1057
Josiah Trotter,1337
Keldric Faulk,1426
Keyshaun Elliott,1381
Kyle Louis,1848
Lee Hunter,805
Malachi Lawrence,908
Peter Woods,1337
Rueben Bain,2470
Sonny Styles,2764
TJ Parker,1153
Treydan Stukes,857
Zakee Wheatley,751
Zion Young,1556
