name,value
Aaron Anderson,5192
Adam Randall,5903
Antonio Williams,7932
Brenen Thompson,6557
Bryce Lance,7545
Cade Klubnik,5221
Carnell Tate,9801
Carson Beck,4839
Chris Bell,8528
Chris Brazzell,8999
CJ Daniels,5077
Cole Payton,5556
Cyrus Allen,5018
De'Zhaun Stribling,4717
Deion Burks,6361
Demond Claiborne,6701
Denzel Boston,9190
Drew Allar,5221
Eli Heidenreich,5106
Eli Raridon,4625
Eli Stowers,8548
Elijah Sarratt,8922
Emmett Johnson,8078
Eric McAlister,6435
Eric Rivers,4809
Fernando Mendoza,9801
Garrett Nussmeier,7257
Germie Bernard,8508
J'Mari Taylor,5334
Ja'Kobi Lane,7740
Jack Endries,5163
Jadarian Price,8960
Jam Miller,5106
Jaydn Ott,4839
Jeff Caldwell,4899
Jeremiyah Love,9981
Jonah Coleman,8706
Jordan Hudson,5221
Jordyn Tyson,9783
Josh Cameron,6160
Josh Cuevas,4809
Justin Joly,5718
Kaelon Black,5077
Kaytron Allen,7257
KC Concepcion,9378
Kenyon Sadiq,9434
Kevin Coleman,5929
Le'Veon Moss,4869
Makai Lemon,9710
Malachi Fields,7479
Max Klare,7889
Michael Trigg,7211
Mike Washington,8467
Nicholas Singleton,7632
Omar Cooper,9114
Reggie Virgil,4656
RJ Maryland,4656
Robert Henry,4625
Roman Hemby,4929
Seth McGowan,5718
Skyler Bell,7189
Tanner Koziol,5135
Taylen Green,5664
Ted Hurst,7783
Ty Simpson,8687
Zachariah Branch,7523
