name,rank
Josh Allen,1
Lamar Jackson,3.20
Ja'Marr Chase,6
Drake Maye,6.40
Jaxon Smith-Njigba,7
Puka Nacua,7.40
Jayden Daniels,8.40
CeeDee Lamb,9.20
Jalen Hurts,9.60
Joe Burrow,10
Jahmyr Gibbs,10.60
Amon-Ra St. Brown,10.80
Bijan Robinson,11.40
Justin Jefferson,13.80
Malik Nabers,14.20
Patrick Mahomes,17.20
Justin Herbert,17.60
Brock Bowers,19.60
Trey McBride,20
Caleb Williams,21.40
Ashton Jeanty,21.40
Drake London,21.60
Trevor Lawrence,23.20
Nico Collins,25.40
De'Von Achane,25.40
Jaxson Dart,26.20
Bo Nix,27
Jordan Love,28.20
Emeka Egbuka,29.80
Jonathan Taylor,30.40
Garrett Wilson,33.60
Tetairoa McMillan,34
George Pickens,36.60
Omarion Hampton,36.60
Breece Hall,38
Ladd McConkey,38.40
Dak Prescott,41
Brock Purdy,43
AJ Brown,43.40
James Cook,44.40
Rome Odunze,46.20
Brian Thomas,46.60
Marvin Harrison Jr,47.40
Bucky Irving,47.60
Baker Mayfield,49.20
Rashee Rice,49.40
Christian McCaffrey,50.20
Saquon Barkley,50.40
DeVonta Smith,51
Tyler Warren,51.20
CJ Stroud,51.80
Quinshon Judkins,52
Sam LaPorta,55
Kyren Williams,56
Tee Higgins,56.20
Jared Goff,57.20
Tucker Kraft,57.40
Chris Olave,58.40
Colston Loveland,58.40
Chase Brown,58.60
TreVeyon Henderson,60
Jaylen Waddle,60.20
Kenneth Walker,61
DK Metcalf,62.60
Kyler Murray,63.40
Josh Jacobs,66
Cam Ward,67.20
Zay Flowers,69.40
Jordan Addison,71.80
Brandon Aiyuk,79.40
Davante Adams,79.60
Chris Godwin,80.60
Travis Etienne,80.60
Cam Skattebo,80.60
Sam Darnold,81.60
RJ Harvey,81.80
Travis Hunter,82.60
Luther Burden,83.80
Terry McLaurin,85.20
Jameson Williams,86.20
Bryce Young,87
Derrick Henry,87.60
Kyle Pitts,88
Mark Andrews,88.20
George Kittle,90.40
DJ Moore,90.80
Dalton Kincaid,92.40
Michael Pittman,92.60
Trey Benson,95.20
Jayden Reed,96.40
Deebo Samuel,96.60
Michael Penix,98.60
Xavier Worthy,98.80
Javonte Williams,99.40
Matthew Golden,99.60
JJ McCarthy,102.20
TJ Hockenson,102.40
Courtland Sutton,103.20
D'Andre Swift,103.40
Josh Downs,104.60
Daniel Jones,105
Matthew Stafford,106.60
Zach Charbonnet,107.40
Mike Evans,108.40
Ricky Pearsall,108.60
Oronde Gadsden,109.20
David Njoku,109.40
Travis Kelce,110.60
Tyler Shough,116.60
Harold Fannin,117
Alvin Kamara,117.20
Jaylen Warren,117.60
Rhamondre Stevenson,118.80
Jayden Higgins,119.20
Christian Watson,119.60
Tua Tagovailoa,121.60
Keon Coleman,121.80
David Montgomery,123.20
Jakobi Meyers,123.80
Stefon Diggs,124.40
Jauan Jennings,125.20
Aaron Jones,125.80
Quentin Johnston,126
Isiah Pacheco,127.20
Tyreek Hill,127.60
Jake Ferguson,127.80
JK Dobbins,131
Rico Dowdle,132.40
Calvin Ridley,134.60
Geno Smith,135
Kaleb Johnson,135
Tyjae Spears,135.80
Jerry Jeudy,136
Chuba Hubbard,137.60
Dallas Goedert,138.40
Cooper Kupp,138.80
Woody Marks,138.80
Tony Pollard,140.60
Isaiah Likely,142.20
Parker Washington,143.40
Jacory Croskey-Merritt,144.20
Tyrone Tracy Jr,145.20
Kyle Monangai,145.40
Wan'Dale Robinson,147
Bhayshul Tuten,147.20
Alec Pierce,148
Elic Ayomanor,149.60
Brian Robinson,151.20
Evan Engram,151.40
Tre Harris,151.80
Tyler Allgeier,152.80
Juwan Johnson,153
Blake Corum,154.20
Michael Wilson,156.40
Romeo Doubs,156.60
Tank Dell,159
Malik Willis,160.20
Rachaad White,160.20
Braelon Allen,160.20
Rashid Shaheed,162.40
Joe Mixon,163
Jordan Mason,163.80
Justin Fields,165
James Conner,165.60
Aaron Rodgers,167.40
Mason Taylor,168.80
Shedeur Sanders,169
Jaylen Wright,171.20
Christian Kirk,173
Tory Horton,173.40
Adonai Mitchell,173.80
Jalen Coker,174
Ray Davis,175.60
Khalil Shakir,177
Darnell Mooney,177.60
Elijah Arroyo,178.40
Jalen Milroe,180.20
Theo Johnson,180.40
Chig Okonkwo,181
Dontayvion Wicks,181.60
Tank Bigsby,181.80
Tre Tucker,182.20
Pat Bryant,182.40
Marvin Mims,184
Jack Bech,185
Kayshon Boutte,185.40
Xavier Legette,185.40
Troy Franklin,185.60
Anthony Richardson,186.20
Terrance Ferguson,187
Jaylin Noel,187.40
Rashod Bateman,188.40
Kenneth Gainwell,189
Marquise Brown,191.40
Russell Wilson,192.40
Jonnu Smith,192.80
Kendre Miller,193.80
Kyle Williams,195.60
Cedric Tillman,196
Nick Chubb,197.40
Kirk Cousins,198
Demario Douglas,198
Isaac TeSlaa,198.20
Jonathon Brooks,198.40
Dylan Sampson,198.60
Spencer Rattler,199.20
Cole Kmet,200
Hunter Henry,200.80
Pat Freiermuth,203.60
Cade Otton,204
Dalton Schultz,204.60
Chimere Dike,205.40
Keenan Allen,207
Kimani Vidal,207.40
DJ Giddens,211.40
Jaydon Blue,212.60
Ja'Tavion Sanders,212.80
Jerome Ford,215
Sean Tucker,215.40
Devin Neal,215.40
Dillon Gabriel,215.80
Ollie Gordon,216.60
MarShawn Lloyd,218
Jalen Royals,219.20
Gunnar Helm,219.60
Roschon Johnson,219.80
Brashard Smith,220.60
Isaiah Davis,221
Joe Flacco,222.40
