name,value
A.J. Brown,73.0
Aaron Anderson,719.0
Aaron Jones,273.0
Aaron Rodgers,598.0
Adam Randall,329.0
Adonai Mitchell,245.0
AJ Barner,234.0
Alec Pierce,132.0
Alvin Kamara,262.0
Amon-Ra St. Brown,14.0
Andrei Iosivas,589.0
Andres Borregales,532.0
Anthony Gould,837.0
Anthony Richardson,383.0
Antonio Gibson,603.0
Antonio Williams,256.0
Arian Smith,692.0
Ashton Jeanty,20.0
Audric Estime,610.0
Baker Mayfield,69.0
Barion Brown,612.0
Barry Kpeenu,765.0
Bauer Sharp,866.0
Behren Morton,756.0
Ben Sinnott,839.0
Bhayshul Tuten,147.0
Bijan Robinson,4.0
Blake Corum,188.0
Bo Nix,42.0
Braelon Allen,229.0
Brandon Aiyuk,238.0
Brandon Aubrey,117.0
Brandon McManus,403.0
Brashard Smith,348.0
Breece Hall,47.0
Brenen Thompson,340.0
Brenton Strange,135.0
Brian Robinson,347.0
Brian Thomas,94.0
Brock Bowers,12.0
Brock Purdy,33.0
Bryce Lance,291.0
Bryce Young,88.0
Bub Means,803.0
Bucky Irving,71.0
C.J. Stroud,55.0
Cade Klubnik,743.0
Cade Otton,242.0
Cade Stover,840.0
Cairo Santos,611.0
Caleb Douglas,708.0
Caleb Williams,15.0
Calvin Austin,372.0
Calvin Ridley,455.0
Cam Little,288.0
Cameron Dicker,170.0
Cameron Skattebo,102.0
Cameron Ward,85.0
Carnell Tate,68.0
Carson Beck,506.0
Caullin Lacy,777.0
Cedric Tillman,355.0
CeeDee Lamb,16.0
Charlie Kolar,774.0
Charlie Smyth,671.0
Chase Brown,64.0
Chase McLaughlin,203.0
Chase Roberts,797.0
Chigoziem Okonkwo,213.0
Chimere Dike,309.0
Chip Trayanum,728.0
Chris Bell,212.0
Chris Boswell,409.0
Chris Brazzell,220.0
Chris Godwin,168.0
Chris Hilton,778.0
Chris Olave,51.0
Chris Rodriguez,325.0
Christian Kirk,535.0
Christian McCaffrey,49.0
Christian Watson,119.0
Chuba Hubbard,176.0
CJ Daniels,624.0
CJ Dippre,855.0
CJ Donaldson,721.0
Colbie Young,779.0
Colby Parkinson,305.0
Cole Kmet,744.0
Cole Payton,298.0
Colston Loveland,30.0
Cooper Kupp,516.0
Courtland Sutton,138.0
Cyrus Allen,807.0
D'Andre Swift,149.0
D.J. Moore,141.0
D.K. Metcalf,121.0
Dae'Quan Wright,867.0
Dak Prescott,50.0
Dallas Goedert,145.0
Dallen Bentley,857.0
Dalton Kincaid,79.0
Dalton Schultz,197.0
Dan Villari,872.0
Daniel Bellinger,792.0
Daniel Jones,97.0
Darius Slayton,678.0
Darnell Mooney,400.0
Darnell Washington,649.0
Darren Waller,830.0
Davante Adams,129.0
David Montgomery,185.0
David Njoku,167.0
Davis Allen,845.0
Dawson Knox,834.0
De'Von Achane,23.0
De'Zhaun Stribling,478.0
Deebo Samuel,339.0
Deion Burks,302.0
Demarcus Robinson,771.0
Demario Douglas,446.0
Demond Claiborne,293.0
Denzel Boston,140.0
Derius Davis,793.0
Derrick Henry,110.0
Deshaun Watson,641.0
Desmond Reid,714.0
Devaughn Vele,416.0
Devin Culp,856.0
Devin Neal,350.0
Devin Singletary,501.0
Devin Voisin,802.0
DeVonta Smith,70.0
Devontez Walker,750.0
Diego Pavia,726.0
Dillon Gabriel,444.0
DJ Giddens,558.0
DJ Rogers,811.0
Dominic Lovett,836.0
Donaven McCulley,794.0
Dont'e Thornton,392.0
Dontayvion Wicks,376.0
Drake London,24.0
Drake Maye,2.0
Drew Allar,297.0
Dyami Brown,753.0
Dylan Sampson,247.0
Eli Heidenreich,620.0
Eli Raridon,860.0
Eli Stowers,130.0
Elic Ayomanor,281.0
Elijah Arroyo,226.0
Elijah Sarratt,235.0
Emanuel Wilson,412.0
Emari Demercado,617.0
Emeka Egbuka,43.0
Emmanuel Henderson,799.0
Emmett Johnson,178.0
Eric McAlister,628.0
Eric Rivers,699.0
Evan Engram,507.0
Evan McPherson,277.0
Fernando Mendoza,45.0
Garrett Nussmeier,285.0
Garrett Wilson,59.0
Geno Smith,275.0
George Kittle,113.0
George Pickens,39.0
Germie Bernard,225.0
Graham Gano,849.0
Greg Dortch,770.0
Greg Dulcich,764.0
Gunnar Helm,253.0
Harold Fannin,32.0
Harrison Butker,216.0
Harrison Mevis,729.0
Harrison Wallace,619.0
Haynes King,730.0
Hunter Henry,179.0
Isaac Guerendo,425.0
Isaac TeSlaa,289.0
Isaiah Bond,473.0
Isaiah Davis,377.0
Isaiah Likely,128.0
Isiah Pacheco,261.0
J'Mari Taylor,609.0
J. Michael Sturdivant,747.0
J.J. McCarthy,111.0
J.K. Dobbins,206.0
Ja'Corey Brooks,825.0
Ja'Kobi Lane,264.0
Ja'Lynn Polk,810.0
Ja'Marr Chase,5.0
Ja'Tavion Sanders,538.0
Jack Bech,341.0
Jack Endries,808.0
Jackson Hawes,843.0
Jacob Cowing,832.0
Jacoby Brissett,343.0
Jacory Croskey-Merritt,218.0
Jadarian Price,134.0
Jahan Dotson,321.0
Jahmyr Gibbs,8.0
Jake Bates,146.0
Jake Briningstool,846.0
Jake Elliott,221.0
Jake Ferguson,82.0
Jake Tonges,831.0
Jakobi Meyers,172.0
Jaleel McLaughlin,583.0
Jalen Coker,239.0
Jalen Hurts,21.0
Jalen McMillan,211.0
Jalen Milroe,450.0
Jalen Nailor,502.0
Jalen Royals,554.0
Jalen Tolbert,694.0
Jalen Walthall,782.0
Jalin Hyatt,783.0
Jalon Daniels,749.0
Jamal Haynes,759.0
Jamarion Miller,368.0
James Conner,324.0
James Cook,38.0
Jameson Williams,76.0
Jared Goff,75.0
Jaren Kanak,869.0
Jarquez Hunter,449.0
Jason Myers,408.0
Jason Sanders,509.0
Jauan Jennings,233.0
Javonte Williams,115.0
Jawhar Jordan,690.0
Jaxon Smith-Njigba,6.0
Jaxson Dart,34.0
Jayden Daniels,3.0
Jayden Higgins,125.0
Jayden Reed,191.0
Jaydn Ott,701.0
Jaydon Blue,362.0
Jaylen Waddle,74.0
Jaylen Warren,150.0
Jaylen Wright,361.0
Jaylin Lane,542.0
Jaylin Noel,280.0
Jeff Caldwell,615.0
Jeremiyah Love,19.0
Jeremy Ruckert,853.0
Jerome Ford,499.0
Jerry Jeudy,290.0
Jimmy Horn,653.0
Joe Burrow,10.0
Joe Fagnano,762.0
Joe Mixon,315.0
Joe Royer,842.0
John Metchie,769.0
John Michael Gyllenborg,850.0
Jonah Coleman,164.0
Jonathan Mingo,776.0
Jonathan Taylor,29.0
Jonathon Brooks,240.0
Jonnu Smith,713.0
Jordan Addison,120.0
Jordan Hudson,651.0
Jordan James,432.0
Jordan Love,41.0
Jordan Mason,207.0
Jordan Watkins,655.0
Jordan Whittington,645.0
Jordyn Tyson,77.0
Josh Allen,1.0
Josh Cameron,568.0
Josh Cuevas,861.0
Josh Downs,200.0
Josh Jacobs,61.0
Joshua Palmer,514.0
Justice Hill,482.0
Justin Fields,219.0
Justin Herbert,22.0
Justin Jefferson,17.0
Justin Joly,798.0
Juwan Johnson,166.0
K.J. Osborn,809.0
Ka'imi Fairbairn,162.0
Kaden Wetjen,763.0
Kaelon Black,772.0
Kaleb Johnson,353.0
KaVontae Turpin,710.0
Kayshon Boutte,304.0
Kaytron Allen,236.0
KC Concepcion,114.0
KeAndre Lambert-Smith,602.0
Keaton Mitchell,326.0
Keenan Allen,389.0
Kejon Owens,760.0
Kendre Miller,491.0
Kendrick Law,711.0
Kenneth Gainwell,208.0
Kenneth Walker,46.0
Kentrel Bullock,766.0
Kenyon Sadiq,48.0
Keon Coleman,333.0
Kevin Coleman,613.0
Khalil Dinkins,870.0
Khalil Shakir,156.0
Kimani Vidal,424.0
Kirk Cousins,570.0
Konata Mumpfield,631.0
Kyle Monangai,202.0
Kyle Pitts,53.0
Kyle Williams,335.0
Kyler Murray,84.0
Kyren Williams,81.0
Ladd McConkey,60.0
Lake McRee,859.0
Lamar Jackson,9.0
Le'Veon Moss,590.0
LeQuint Allen,381.0
Lewis Bond,801.0
Luke Altmyer,723.0
Luke McCaffrey,700.0
Luke Musgrave,835.0
Luke Schoonmaker,848.0
Luther Burden,66.0
Mac Jones,471.0
Mack Hollins,752.0
Makai Lemon,65.0
Malachi Fields,257.0
Malik Benson,680.0
Malik Nabers,18.0
Malik Washington,386.0
Malik Willis,87.0
Marcus Mariota,648.0
Mark Andrews,173.0
Marlin Klein,847.0
Marquise Brown,359.0
MarShawn Lloyd,497.0
Marvin Harrison,96.0
Marvin Mims,495.0
Mason Taylor,153.0
Mason Tipton,796.0
Matthew Golden,160.0
Matthew Hibner,862.0
Matthew Stafford,90.0
Max Bredeson,864.0
Max Klare,456.0
Michael Carter,599.0
Michael Mayer,365.0
Michael Penix,104.0
Michael Pittman,131.0
Michael Trigg,614.0
Michael Wilson,184.0
Mike Evans,137.0
Mike Gesicki,584.0
Mike Washington,174.0
Miles Kitselman,871.0
Mitchell Evans,795.0
Mitchell Tinsley,755.0
Najee Harris,547.0
Nate Boerkircher,851.0
Nathaniel Dell,358.0
Nicholas Singleton,243.0
Nick Chubb,627.0
Nick Westbrook-Ikhine,683.0
Nico Collins,26.0
Noah Fant,767.0
Noah Thomas,833.0
Noah Whittington,667.0
Ollie Gordon,314.0
Omar Cooper,112.0
Omarion Hampton,25.0
Oronde Gadsden,80.0
Oscar Delp,806.0
Parker Washington,182.0
Pat Bryant,232.0
Pat Freiermuth,267.0
Patrick Mahomes,11.0
Phil Mafah,608.0
Puka Nacua,7.0
Quentin Johnston,195.0
Quinshon Judkins,52.0
Rachaad White,260.0
Raheim Sanders,684.0
Rahsul Faison,666.0
Rashee Rice,36.0
Rasheen Ali,640.0
Rashid Shaheed,223.0
Rashod Bateman,510.0
Ray Davis,415.0
Reggie Virgil,636.0
Rhamondre Stevenson,169.0
Ricky Pearsall,103.0
Rico Dowdle,231.0
Riley Leonard,717.0
Riley Nowakowski,863.0
RJ Harvey,105.0
RJ Maryland,854.0
Robert Henry,695.0
Roman Hemby,625.0
Roman Wilson,664.0
Rome Odunze,101.0
Romello Brinson,804.0
Romeo Doubs,163.0
Roschon Johnson,659.0
Ryan Fitzgerald,865.0
Ryan Flournoy,468.0
Sam Darnold,86.0
Sam LaPorta,62.0
Sam Roush,686.0
Samaje Perine,663.0
Saquon Barkley,58.0
Savion Williams,572.0
Sawyer Robertson,746.0
Sean Tucker,422.0
Seth McGowan,411.0
Seydou Traore,873.0
Shedeur Sanders,127.0
Skyler Bell,284.0
Spencer Shrader,874.0
Stefon Diggs,237.0
T.J. Hockenson,214.0
Tahj Brooks,561.0
Tai Felton,586.0
Tank Bigsby,393.0
Tanner Koziol,616.0
