Rank,Team,Player,Fantasy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
1,,Carson Schwesinger,LB,8.09,11,23.5,271,783,1295,2426,,55
2,,Cedric Gray,LB,14.04,9,23.8,238,697,1152,2158,,47
3,,Sonny Styles,LB,9.11,7,21.8,120,615,1062,2139,,41
4,,CJ Allen,LB,15.05,13,21.4,145,559,965,1943,,36
5,,Nick Emmanwori,DB,14.05,11,22.5,205,570,933,1773,,36
6,,Edgerrin Cooper,LB,9.10,11,24.8,212,557,900,1633,,34
7,,Jihaad Campbell,LB,16.03,10,22.5,175,534,903,1744,,34
8,,Jack Campbell,LB,8.11,6,26,227,553,876,1492,,33
9,,Jamien Sherwood,LB,10.07,13,26.6,228,550,871,1484,,33
10,,Nick Bolton,LB,11.10,5,26.4,212,530,838,1428,,30
11,,Arvell Reese,LB,12.03,8,21,166,480,791,1594,,28
12,,Kevin Winston Jr.,DB,22.06,9,22.7,174,494,809,1535,,28
13,,Ernest Jones,LB,13.02,11,26.8,211,492,778,1326,,27
14,,Quay Walker,LB,12.01,13,26.3,208,473,748,1275,,26
15,,Cooper DeJean,DB,14.08,10,23.5,206,465,753,1350,,25
16,,Jordyn Brooks,LB,10.11,6,28.8,223,473,730,1165,,25
17,,Devin Lloyd,LB,13.06,5,27.9,222,453,710,1170,,24
18,,Nakobe Dean,LB,11.08,13,25.7,191,448,721,1263,,24
19,,Dillon Thieneman,DB,13.08,10,22,98,479,784,1489,,24
20,,Daiyan Henley,LB,12.04,7,26.8,193,454,718,1224,,24
21,,Jacob Rodriguez,LB,18.01,6,23.9,176,440,711,1290,,23
22,,Fred Warner,LB,9.09,8,29.8,212,439,690,1174,,23
23,,Zack Baun,LB,10.08,10,29.7,237,441,671,1019,,22
24,,Caleb Downs,DB,10.10,14,21.7,154,432,704,1312,,21
25,,Trevin Wallace,LB,25.05,5,23.5,126,397,656,1229,,19
26,,Devin Bush,LB,17.05,10,28.1,203,404,624,996,,19
27,,David Bailey,LB,14.10,13,23,116,389,655,1245,,18
28,,Tykee Smith,DB,14.12,10,25.5,210,396,632,1098,,17
29,,Tremaine Edmunds,LB,17.12,8,28.3,210,385,594,948,,17
30,,Barrett Carter,LB,18.06,6,23.8,165,375,606,1100,,17
31,,Blake Cashman,LB,15.04,6,30.3,228,391,584,866,,17
32,,DeMarvion Overshown,LB,22.07,14,26,196,365,579,986,,16
33,,Patrick Queen,LB,16.01,9,27,169,377,591,973,,16
34,,Kool-Aid McKinstry,DB,87.08,8,23.9,186,385,601,1053,,15
35,,Terrel Bernard,LB,16.12,7,27.3,179,349,547,901,,14
36,,Kyle Hamilton,DB,9.12,13,25.4,197,365,579,1001,,14
37,,Foyesade Oluokun,LB,11.01,7,31,219,356,522,744,,14
38,,Roquan Smith,LB,8.04,13,29.3,198,349,530,805,,14
39,,Xavier Watts,DB,15.02,11,24.8,167,363,587,1059,,13
40,,Kamari Lassiter,DB,18.02,8,23.6,169,364,586,1036,,13
41,,Demetrius Knight Jr.,LB,17.07,6,26.1,163,338,535,911,,13
42,,Zaire Franklin,LB,12.08,11,30.1,166,352,526,780,,12
43,,Cody Simon,LB,22.10,14,24.3,124,328,531,963,,12
44,,Kaleb Elarms-Orr,LB,23.04,7,23,113,325,537,1006,,12
45,,Sirvocea Dennis,LB,26.02,10,26.4,40,370,585,997,,12
46,,Nik Bonitto,DL,10.09,10,26.9,160,341,531,759,,12
47,,Nathan Landman,LB,14.09,11,27.8,191,316,495,816,,12
48,,T.J. Edwards,LB,19.01,10,30,206,322,482,714,,11
49,,Divine Deablo,LB,24.09,11,28,180,321,495,790,,11
50,,Kaden Elliss,LB,15.11,8,31.1,188,332,486,694,,11
51,,Will Johnson,DB,36.10,14,23.4,140,353,568,1005,,11
52,,Robert Spillane,LB,17.11,11,30.7,199,321,480,711,,11
53,,Aidan Hutchinson,DL,7.02,6,26,193,384,634,966,,10
54,,Malaki Starks,DB,15.07,13,22.8,119,336,551,1046,,10
55,,Devon Witherspoon,DB,17.10,11,25.7,188,324,508,931,,10
56,,Will Anderson Jr.,DL,9.01,8,24.9,170,363,609,999,,10
57,,Antoine Winfield Jr.,DB,18.08,10,28,206,318,505,872,,9
58,,Riley Moss,DB,28.08,10,26.4,199,326,513,870,,9
59,,Frankie Luvu,LB,21.10,7,29.9,170,307,460,681,,9
60,,Maxwell Hairston,DB,36.08,7,23,146,333,535,946,,9
61,,Cody Barton,LB,26.08,9,29.8,127,316,481,730,,9
62,,Brian Burns,DL,10.05,8,28.3,175,390,560,784,,9
63,,Quincy Williams,LB,18.10,11,30,167,301,450,666,,9
64,,Brian Branch,DB,15.09,6,24.8,163,328,520,899,,9
65,,Dallas Turner,DL,14.11,6,23.5,114,283,469,883,,9
66,,Tuli Tuipulotu,DL,14.06,7,23.9,161,332,557,998,,9
67,,Jared Verse,DL,10.01,11,25.8,153,342,575,942,,9
68,,Malachi Moore,DB,77.07,13,24.9,151,325,523,902,,8
69,,Chris Johnson,DB,29.03,6,21.8,131,327,522,964,,8
70,,Anthony Hill Jr.,LB,16.09,9,21.5,96,268,462,930,,8
71,,Maxx Crosby,DL,7.10,13,29,198,372,501,699,,8
72,,Chamarri Conner,DB,14.07,5,26.1,192,311,492,823,,8
73,,Cole Bishop,DB,18.12,7,23.8,156,312,505,910,,8
74,,Alontae Taylor,DB,25.03,9,27.7,191,314,495,816,,8
75,,Nate Wiggins,DB,87.12,13,23,155,314,505,893,,7
76,,Myles Garrett,DL,7.05,11,30.7,213,351,456,659,,7
77,,Gregory Rousseau,DL,15.10,7,26.3,158,319,526,802,,7
78,,Jalen Carter,DL,17.06,10,25.3,143,319,513,858,,7
79,,Eric Wilson,LB,22.04,6,31.9,197,279,398,554,,7
