name,value
2026 Early 1st,5048.0
2026 Early 2nd,1878.0
2026 Early 3rd,784.0
2026 Early 4th,478.0
2026 Late 1st,2383.0
2026 Late 2nd,1311.0
2026 Late 3rd,546.0
2026 Late 4th,406.0
2026 Mid 1st,3000.0
2026 Mid 2nd,1561.0
2026 Mid 3rd,655.0
2026 Mid 4th,458.0
2027 Early 1st,3796.0
2027 Early 2nd,1838.0
2027 Early 3rd,751.0
2027 Early 4th,472.0
2027 Late 1st,2303.0
2027 Late 2nd,1252.0
2027 Late 3rd,520.0
2027 Late 4th,392.0
2027 Mid 1st,2905.0
2027 Mid 2nd,1495.0
2027 Mid 3rd,607.0
2027 Mid 4th,440.0
2028 Early 1st,3224.0
2028 Early 2nd,1684.0
2028 Early 3rd,671.0
2028 Early 4th,466.0
2028 Late 1st,2194.0
2028 Late 2nd,1240.0
2028 Late 3rd,500.0
2028 Late 4th,386.0
2028 Mid 1st,2889.0
2028 Mid 2nd,1493.0
2028 Mid 3rd,564.0
2028 Mid 4th,414.0
A.J. Brown,3149.0
Aaron Jones,1090.0
Aaron Rodgers,891.0
Adonai Mitchell,1122.0
AJ Barner,1306.0
Alec Pierce,2460.0
Alvin Kamara,1046.0
Amon-Ra St. Brown,7446.0
Andrei Iosivas,66.0
Anthony Richardson,1194.0
Antonio Williams,1184.0
Ashton Jeanty,7219.0
Audric Estime,10.0
Baker Mayfield,3192.0
Ben Sinnott,260.0
Bhayshul Tuten,2445.0
Bijan Robinson,10127.0
Blake Corum,1464.0
Bo Nix,5494.0
Braelon Allen,1232.0
Brandon Aiyuk,1320.0
Brashard Smith,505.0
Breece Hall,3912.0
Brenton Strange,1539.0
Brian Robinson,1481.0
Brian Thomas,3255.0
Brock Bowers,7475.0
Brock Purdy,5211.0
Bryce Young,2855.0
Bucky Irving,3824.0
C.J. Stroud,3297.0
Cade Otton,1210.0
Caleb Williams,7662.0
Calvin Austin,124.0
Calvin Ridley,796.0
Cam Skattebo,2880.0
Cam Ward,4041.0
Carnell Tate,3788.0
Cedric Tillman,166.0
CeeDee Lamb,6946.0
Chase Brown,3481.0
Chig Okonkwo,1656.0
Chimere Dike,1098.0
Chris Bell,1802.0
Chris Brazzell,1421.0
Chris Godwin,1415.0
Chris Olave,4442.0
Chris Rodriguez,1378.0
Christian Kirk,438.0
Christian McCaffrey,4347.0
Christian Watson,1758.0
Chuba Hubbard,1749.0
Colby Parkinson,374.0
Cole Kmet,48.0
Colston Loveland,5491.0
Cooper Kupp,234.0
Courtland Sutton,1590.0
D'Andre Swift,1854.0
Dak Prescott,4448.0
Dallas Goedert,1331.0
Dalton Kincaid,1739.0
Dalton Schultz,1250.0
Daniel Bellinger,136.0
Daniel Jones,2644.0
Darius Slayton,27.0
Darnell Mooney,739.0
Darnell Washington,172.0
Darren Waller,44.0
Davante Adams,2228.0
David Montgomery,2049.0
David Njoku,1183.0
Davis Mills,51.0
De'Von Achane,6291.0
Deebo Samuel,969.0
DeMario Douglas,84.0
Demond Claiborne,1412.0
Denzel Boston,2617.0
Derrick Henry,2541.0
Deshaun Watson,1059.0
Devaughn Vele,286.0
Devin Neal,326.0
DeVonta Smith,3034.0
Dillon Gabriel,8.0
DJ Giddens,985.0
DJ Moore,2641.0
DK Metcalf,1812.0
Dont'e Thornton,795.0
Dontayvion Wicks,199.0
Drake London,6224.0
Drake Maye,9781.0
Dylan Sampson,1257.0
Efton Chism,33.0
Eli Stowers,2227.0
Elic Ayomanor,1060.0
Elijah Arroyo,974.0
Elijah Sarratt,1712.0
Emanuel Wilson,1248.0
Emari Demercado,70.0
Emeka Egbuka,4809.0
Emmett Johnson,2201.0
Evan Engram,469.0
Fernando Mendoza,4228.0
Gardner Minshew,187.0
Garrett Nussmeier,668.0
Garrett Wilson,4445.0
Geno Smith,1338.0
George Holani,95.0
George Kittle,1839.0
George Pickens,4952.0
Germie Bernard,1302.0
Greg Dulcich,277.0
Gunnar Helm,1232.0
Harold Fannin,3287.0
Hunter Henry,1147.0
Isaac Guerendo,175.0
Isaac TeSlaa,1162.0
Isaiah Bond,932.0
Isaiah Davis,86.0
Isaiah Likely,2164.0
Isiah Pacheco,1122.0
J.J. McCarthy,1520.0
J.K. Dobbins,1460.0
Ja'Kobi Lane,1287.0
Ja'Lynn Polk,95.0
Ja'Marr Chase,10035.0
Ja'Tavion Sanders,196.0
Jack Bech,1020.0
Jacoby Brissett,1403.0
Jacory Croskey-Merritt,1221.0
Jadarian Price,2551.0
Jahan Dotson,268.0
Jahmyr Gibbs,9798.0
Jake Ferguson,1857.0
Jake Tonges,1051.0
Jakobi Meyers,1464.0
Jalen Coker,1376.0
Jalen Hurts,6162.0
Jalen McMillan,1479.0
Jalen Milroe,396.0
Jalen Nailor,1048.0
Jalen Royals,192.0
Jalen Tolbert,286.0
Jameis Winston,68.0
James Conner,987.0
James Cook,5189.0
Jameson Williams,2881.0
Jared Goff,3052.0
Jarquez Hunter,220.0
Jauan Jennings,1247.0
Javonte Williams,2918.0
Jaxon Smith-Njigba,10159.0
Jaxson Dart,5963.0
Jayden Daniels,7800.0
Jayden Higgins,1730.0
Jayden Reed,1457.0
Jaydon Blue,533.0
Jaylen Waddle,2970.0
Jaylen Warren,1492.0
Jaylen Wright,492.0
Jaylin Lane,187.0
Jaylin Noel,1103.0
Jeremiyah Love,6897.0
Jerome Ford,84.0
Jerry Jeudy,1234.0
Jimmy Horn,3.0
Joe Burrow,7368.0
Joe Flacco,1018.0
Joe Milton,236.0
Joe Mixon,229.0
John Metchie,81.0
Jonah Coleman,2652.0
Jonathan Taylor,5375.0
Jonathon Brooks,1481.0
Jordan Addison,2323.0
Jordan James,936.0
Jordan Love,4503.0
Jordan Mason,1162.0
Jordyn Tyson,3104.0
Josh Allen,10200.0
Josh Downs,1530.0
Josh Jacobs,2981.0
Justice Hill,26.0
Justin Fields,1380.0
Justin Herbert,6666.0
Justin Jefferson,7632.0
Juwan Johnson,1265.0
Kaleb Johnson,1191.0
Kayshon Boutte,966.0
Kaytron Allen,1369.0
KC Concepcion,2433.0
KeAndre Lambert-Smith,5.0
Keaton Mitchell,1254.0
Keenan Allen,41.0
Kendre Miller,17.0
Kenneth Gainwell,1344.0
Kenneth Walker,4235.0
Kenyon Sadiq,3120.0
Keon Coleman,1146.0
Khalil Shakir,1265.0
Kimani Vidal,925.0
Kirk Cousins,746.0
Kyle Monangai,1586.0
Kyle Pitts,2978.0
Kyle Williams,1003.0
Kyler Murray,2878.0
Kyren Williams,3082.0
Ladd McConkey,3963.0
Lamar Jackson,7742.0
LeQuint Allen,434.0
Luke McCaffrey,115.0
Luke Musgrave,4.0
Luther Burden,3311.0
Mac Jones,1286.0
Mack Hollins,4.0
Makai Lemon,4808.0
Malachi Fields,1296.0
Malik Nabers,7677.0
Malik Washington,1090.0
Malik Willis,2607.0
Marcus Mariota,294.0
Mark Andrews,1383.0
Marquise Brown,257.0
