name,value
Aaron Jones,113.0
Aaron Rodgers,12.0
Adam Randall,145.0
Adonai Mitchell,153.0
AJ Barner,51.0
Alvin Kamara,254.0
Antonio Gibson,26.0
Ben Sinnott,14.0
Blake Corum,254.0
Braelon Allen,153.0
Brashard Smith,90.0
Brenton Strange,98.0
Brian Robinson,89.0
Bryce Lance,125.0
Bryce Young,162.0
Cade Otton,76.0
Calvin Austin,10.0
Calvin Ridley,57.0
Cam Akers,14.0
Cedric Tillman,105.0
Chigoziem Okonkwo,12.0
Chimere Dike,175.0
Chris Bell,213.0
Chris Brazzell,350.0
Chris Rodriguez,26.0
Christian Kirk,29.0
Colby Parkinson,17.0
Cole Kmet,16.0
Cooper Kupp,90.0
Dallas Goedert,233.0
Dalton Schultz,30.0
Damien Martinez,25.0
Daniel Jones,459.0
Darnell Mooney,53.0
David Njoku,313.0
DeAndre Hopkins,12.0
Deebo Samuel,426.0
Demario Douglas,22.0
Demond Claiborne,37.0
Deshaun Watson,16.0
Devin Neal,55.0
Dillon Gabriel,16.0
DJ Giddens,14.0
Dont'e Thornton,41.0
Dontayvion Wicks,31.0
Dyami Brown,24.0
Dylan Sampson,182.0
Eli Stowers,408.0
Elic Ayomanor,335.0
Elijah Arroyo,83.0
Elijah Moore,93.0
Elijah Sarratt,35.0
Emanuel Wilson,37.0
Emmett Johnson,103.0
Evan Engram,44.0
Geno Smith,17.0
Germie Bernard,336.0
Gunnar Helm,50.0
Hunter Henry,41.0
Isaac TeSlaa,109.0
Isaiah Bond,43.0
Isaiah Davis,11.0
Isaiah Likely,499.0
Isiah Pacheco,136.0
J.J. McCarthy,265.0
Jack Bech,127.0
Jacoby Brissett,56.0
Jacory Croskey-Merritt,405.0
Jakobi Meyers,484.0
Jalen Coker,77.0
Jalen McMillan,117.0
Jalen Royals,38.0
Jalin Hyatt,10.0
James Conner,45.0
Jared Wiley,15.0
Jarquez Hunter,11.0
Jauan Jennings,430.0
Javon Baker,36.0
Jaydon Blue,46.0
Jaylen Wright,88.0
Jaylin Noel,184.0
Jerry Jeudy,468.0
Joe Mixon,68.0
Jonathon Brooks,271.0
Jonnu Smith,47.0
Jordan James,18.0
Jordan Mason,263.0
Joshua Palmer,14.0
Justice Hill,10.0
Justin Fields,16.0
Juwan Johnson,79.0
Kaleb Johnson,294.0
Kareem Hunt,19.0
Kayshon Boutte,169.0
Keaton Mitchell,14.0
Keenan Allen,26.0
Kendre Miller,24.0
Kenneth Gainwell,126.0
Keon Coleman,176.0
Kimani Vidal,45.0
Kirk Cousins,28.0
Kyle Williams,165.0
Le'Veon Moss,85.0
LeQuint Allen,18.0
Luke Musgrave,10.0
Mac Jones,12.0
Malachi Corley,67.0
Malachi Fields,156.0
Malik Washington,22.0
Malik Willis,212.0
Mark Andrews,399.0
MarShawn Lloyd,9.0
Marvin Mims,51.0
Matthew Stafford,223.0
Max Klare,250.0
Michael Mayer,18.0
Michael Penix,227.0
Michael Trigg,110.0
Mike Evans,344.0
Mike Washington,296.0
Mike Williams,29.0
Najee Harris,20.0
Nick Chubb,36.0
Noah Gray,11.0
Ollie Gordon,80.0
Parker Washington,226.0
Pat Bryant,68.0
Pat Freiermuth,29.0
Quinn Ewers,10.0
Rachaad White,57.0
Raheem Mostert,17.0
Rashid Shaheed,283.0
Rashod Bateman,23.0
Ray Davis,35.0
Rhamondre Stevenson,410.0
Roman Wilson,35.0
Romeo Doubs,491.0
Roschon Johnson,11.0
Sean Tucker,32.0
Shedeur Sanders,23.0
Stefon Diggs,154.0
T.J. Hockenson,490.0
Tank Bigsby,43.0
Tank Dell,44.0
Taylen Green,9.0
Ted Hurst,199.0
Terrance Ferguson,155.0
Tez Johnson,48.0
Theo Johnson,83.0
Tony Pollard,335.0
Tory Horton,118.0
Travis Kelce,80.0
Tre Harris,215.0
Tre Tucker,76.0
Trevor Etienne,17.0
Troy Franklin,256.0
Tua Tagovailoa,67.0
Ty Simpson,248.0
Tyjae Spears,375.0
Tyler Allgeier,381.0
Tyler Lockett,20.0
Tyler Shough,105.0
Tyreek Hill,45.0
Tyrone Tracy,349.0
Will Shipley,16.0
Xavier Legette,146.0
Zach Charbonnet,485.0
Zachariah Branch,77.0
