name,originalRank,effectiveRank,derivationMethod,family,normalizedValue,matchedSourceName,position,team
Will Anderson Jr.,1,1,direct_combined,DL,9999,Will Anderson Jr.,DE,HOU
Aidan Hutchinson,2,2,direct_combined,DL,9849,Aidan Hutchinson,DE,DET
Brian Burns,3,3,direct_combined,DL,9684,Brian Burns,DE,NYG
Micah Parsons,4,4,direct_combined,LB,9515,Micah Parsons,LB,GB
Maxx Crosby,5,5,direct_combined,DL,9347,Maxx Crosby,DE,LV
Myles Garrett,6,6,direct_combined,DL,9180,Myles Garrett,DE,CLE
Nik Bonitto,7,7,direct_combined,DL,9016,Nik Bonitto,DE,DEN
Roquan Smith,8,8,direct_combined,LB,8855,Roquan Smith,LB,BAL
Jordyn Brooks,9,9,direct_combined,LB,8698,Jordyn Brooks,LB,MIA
Ernest Jones IV,10,10,direct_combined,LB,8544,Ernest Jones IV,LB,SEA
Cedric Gray,11,11,direct_combined,LB,8394,Cedric Gray,LB,TEN
Nate Landman,12,12,direct_combined,LB,8248,Nate Landman,LB,LAR
T.J. Edwards,13,13,direct_combined,LB,8105,T.J. Edwards,LB,CHI
Jack Campbell,14,14,direct_combined,LB,7967,Jack Campbell,LB,DET
Fred Warner,15,15,direct_combined,LB,7831,Fred Warner,LB,SF
Foyesade Oluokun,16,16,direct_combined,LB,7700,Foyesade Oluokun,LB,JAC
Carson Schwesinger,17,17,direct_combined,LB,7572,Carson Schwesinger,LB,CLE
Zaire Franklin,18,18,direct_combined,LB,7447,Zaire Franklin,LB,GB
Nick Bolton,19,19,direct_combined,LB,7326,Nick Bolton,LB,KC
Alex Singleton,20,20,direct_combined,LB,7208,Alex Singleton,LB,DEN
Kaden Elliss,21,21,direct_combined,LB,7093,Kaden Elliss,LB,NO
Quay Walker,22,22,direct_combined,LB,6981,Quay Walker,LB,LV
Quincy Williams,23,23,direct_combined,LB,6872,Quincy Williams,LB,CLE
Azeez Al-Shaair,24,24,direct_combined,LB,6766,Azeez Al-Shaair,LB,HOU
Robert Spillane,25,25,direct_combined,LB,6663,Robert Spillane,LB,NE
Edgerrin Cooper,26,26,direct_combined,LB,6562,Edgerrin Cooper,LB,GB
Payton Wilson,27,27,direct_combined,LB,6464,Payton Wilson,LB,PIT
Daiyan Henley,28,28,direct_combined,LB,6369,Daiyan Henley,LB,LAC
Tyrel Dodson,29,29,direct_combined,LB,6276,Tyrel Dodson,LB,MIA
Blake Cashman,30,30,direct_combined,LB,6185,Blake Cashman,LB,MIN
Bobby Okereke,31,31,direct_combined,LB,6097,Bobby Okereke,LB,FA
Jihaad Campbell,32,32,direct_combined,LB,6011,Jihaad Campbell,LB,PHI
Dre Greenlaw,33,33,direct_combined,LB,5927,Dre Greenlaw,LB,SF
Zack Baun,34,34,direct_combined,LB,5845,Zack Baun,LB,PHI
Eric Wilson,35,35,direct_combined,LB,5765,Eric Wilson,LB,MIN
Jamien Sherwood,36,36,direct_combined,LB,5687,Jamien Sherwood,LB,NYJ
DeMarvion Overshown,37,37,direct_combined,LB,5610,DeMarvion Overshown,LB,DAL
Jack Gibbens,38,38,direct_combined,LB,5536,Jack Gibbens,LB,ARI
SirVocea Dennis,39,39,direct_combined,LB,5464,SirVocea Dennis,LB,TB
Divine Deablo,40,40,direct_combined,LB,5393,Divine Deablo,LB,ATL
Devin Bush Jr.,41,41,direct_combined,LB,5323,Devin Bush Jr.,LB,CHI
Drake Thomas,42,42,direct_combined,LB,5256,Drake Thomas,LB,SEA
Nakobe Dean,43,43,direct_combined,LB,5190,Nakobe Dean,LB,LV
