name,value
2026 Early 1st,5834
2026 Early 2nd,3360
2026 Early 3rd,2400
2026 Early 4th,1825
2026 Late 1st,3931
2026 Late 2nd,2874
2026 Late 3rd,2135
2026 Late 4th,1527
2026 Mid 1st,4750
2026 Mid 2nd,3023
2026 Mid 3rd,2247
2026 Mid 4th,1652
2027 Early 1st,6862
2027 Early 2nd,3729
2027 Early 3rd,2571
2027 Early 4th,1837
2027 Late 1st,4783
2027 Late 2nd,3060
2027 Late 3rd,2225
2027 Late 4th,1669
2027 Mid 1st,5635
2027 Mid 2nd,3435
2027 Mid 3rd,2392
2027 Mid 4th,1792
2028 Early 1st,4993
2028 Early 2nd,3127
2028 Early 3rd,2164
2028 Early 4th,1641
2028 Late 1st,3931
2028 Late 2nd,2724
2028 Late 3rd,1964
2028 Late 4th,1338
2028 Mid 1st,4538
2028 Mid 2nd,2904
2028 Mid 3rd,2134
2028 Mid 4th,1533
A.J. Brown,4783
Aaron Jones,2087
Aaron Rodgers,1832
Adam Trautman,686
Adonai Mitchell,2715
Aidan O'Connell,999
Ainias Smith,808
AJ Barner,2899
AJ Dillon,806
Alec Pierce,4340
Alexander Mattison,840
Alvin Kamara,2128
Amon-Ra St. Brown,7712
Andrei Iosivas,1728
Anthony Richardson,2513
Antonio Gibson,775
Antonio Williams,1319
Arian Smith,1062
Ashton Jeanty,7477
Audric Estime,1625
Baker Mayfield,4776
Bam Knight,1448
Barion Brown,725
Ben Sinnott,1879
Bhayshul Tuten,3934
Bijan Robinson,9995
Blake Corum,3252
Bo Melton,1091
Bo Nix,6258
Braelon Allen,2740
Brandon Aiyuk,2579
Brashard Smith,2163
Breece Hall,5351
Brenden Rice,824
Brenton Strange,3072
Brevin Jordan,1040
Brian Robinson,2259
Brian Thomas,4929
Brock Bowers,7728
Brock Purdy,5971
Brock Wright,983
Bryce Young,4518
Bub Means,908
Bucky Irving,5099
C.J. Stroud,4794
Cade Klubnik,1011
Cade Otton,2522
Cade Stover,1482
Caleb Williams,7754
Calvin Austin,1681
Calvin Ridley,1851
Cam Akers,994
Cam Skattebo,4528
Cam Ward,5147
Carnell Tate,5198
Carson Wentz,747
Cedric Tillman,2132
CeeDee Lamb,7327
Charlie Kolar,1040
Chase Brown,4953
Chigoziem Okonkwo,2758
Chimere Dike,2736
Chris Bell,1964
Chris Brazzell,2130
Chris Brooks,1089
Chris Godwin,2870
Chris Olave,5675
Chris Rodriguez,2284
Christian Kirk,2098
Christian McCaffrey,5137
Christian Watson,3660
Chuba Hubbard,3407
CJ Daniels,931
Colby Parkinson,2163
Cole Kmet,2050
Colston Loveland,5992
Cooper Kupp,1847
Courtland Sutton,3177
Curtis Samuel,776
D'Andre Swift,3530
D.J. Moore,3906
Dak Prescott,5053
Dallas Goedert,2633
Dalton Kincaid,3350
