name,value
2026 Early 1st,5594
2026 Early 2nd,3304
2026 Early 3rd,2320
2026 Early 4th,1719
2026 Late 1st,3952
2026 Late 2nd,2800
2026 Late 3rd,2078
2026 Late 4th,1515
2026 Mid 1st,4632
2026 Mid 2nd,3048
2026 Mid 3rd,2209
2026 Mid 4th,1620
2027 Early 1st,7119
2027 Early 2nd,3835
2027 Early 3rd,2614
2027 Early 4th,1831
2027 Late 1st,4868
2027 Late 2nd,3131
2027 Late 3rd,2308
2027 Late 4th,1655
2027 Mid 1st,5604
2027 Mid 2nd,3384
2027 Mid 3rd,2528
2027 Mid 4th,1779
2028 Early 1st,5185
2028 Early 2nd,3170
2028 Early 3rd,2276
2028 Early 4th,1663
2028 Late 1st,4008
2028 Late 2nd,2775
2028 Late 3rd,1996
2028 Late 4th,1336
2028 Mid 1st,4553
2028 Mid 2nd,2990
2028 Mid 3rd,2165
2028 Mid 4th,1572
A.J. Brown,5047
Aaron Jones,2322
Aaron Rodgers,1954
Adam Randall,1447
Adonai Mitchell,2684
Aidan O'Connell,506
Ainias Smith,619
AJ Barner,3516
AJ Dillon,540
Alec Pierce,3900
Alexander Mattison,766
Alvin Kamara,1986
Amon-Ra St. Brown,7947
Andrei Iosivas,1589
Anthony Richardson,2151
Antonio Williams,3092
Arian Smith,963
Ashton Jeanty,7676
Audric Estime,1498
Baker Mayfield,4630
Bam Knight,1033
Barion Brown,810
Ben Sinnott,2417
Bhayshul Tuten,4145
Bijan Robinson,9995
Blake Corum,3357
Bo Melton,943
Bo Nix,5994
Braelon Allen,2676
Brandon Aiyuk,1683
Brashard Smith,1748
Breece Hall,5329
Brenden Rice,838
Brenen Thompson,1614
Brenton Strange,3865
Brevin Jordan,1515
Brian Robinson,2321
Brian Thomas,4837
Brock Bowers,9876
Brock Purdy,5817
Brock Wright,1496
Bryce Lance,1757
Bryce Young,4035
Bub Means,734
Bucky Irving,4626
C.J. Stroud,4760
Cade Klubnik,1904
Cade Otton,3017
Cade Stover,1942
Caleb Douglas,1964
Caleb Williams,7903
Calvin Austin,1387
Calvin Ridley,1811
Cam Akers,489
Cam Skattebo,4787
Cam Ward,5306
Carnell Tate,5970
Carson Beck,2585
Carson Wentz,512
Cedric Tillman,1747
CeeDee Lamb,7141
Charlie Kolar,1629
Chase Brown,5198
Chigoziem Okonkwo,3567
Chimere Dike,2304
Chris Bell,3003
Chris Brazzell,2467
Chris Brooks,1500
Chris Godwin,2938
Chris Olave,5505
Chris Rodriguez,2651
Christian Kirk,1908
Christian McCaffrey,5122
Christian Watson,3977
Chuba Hubbard,3256
CJ Daniels,1077
Colby Parkinson,2534
Cole Kmet,2607
Cole Payton,871
Colston Loveland,7701
Cooper Kupp,1720
Courtland Sutton,3035
Cyrus Allen,1074
D'Andre Swift,3735
D.J. Moore,3567
Dak Prescott,4988
Dallas Goedert,3366
Dalton Kincaid,3939
Dalton Schultz,2863
Dameon Pierce,1019
Damien Martinez,1351
Daniel Bellinger,1967
Daniel Jones,3831
Darius Slayton,1548
Darnell Mooney,1982
Darnell Washington,2609
Davante Adams,3492
David Bell,1003
David Montgomery,3448
David Njoku,2890
Davis Allen,1480
Davis Mills,1221
Dawson Knox,2331
De'Von Achane,6827
De'Zhaun Stribling,2853
Deebo Samuel,1870
Deion Burks,1170
Demarcus Robinson,863
Demario Douglas,1890
Demond Claiborne,2159
Denzel Boston,3479
Derius Davis,560
Derrick Henry,4088
Deshaun Watson,2010
Devaughn Vele,1429
Devin Neal,1965
Devin Singletary,1204
DeVonta Smith,5492
Devontez Walker,1410
Dillon Gabriel,1221
DJ Giddens,2033
DK Metcalf,3435
Donovan Edwards,1148
Dont'e Thornton,1881
Dontayvion Wicks,2371
Drake London,7091
Drake Maye,9287
Drew Allar,1952
Drew Lock,889
Dyami Brown,1316
Dylan Laube,520
Dylan Sampson,2779
Efton Chism,1180
Eli Heidenreich,1706
Eli Raridon,2757
Eli Stowers,4261
Elic Ayomanor,2493
Elijah Arroyo,3214
Elijah Higgins,1784
Elijah Mitchell,578
Elijah Moore,1167
Elijah Sarratt,2681
Emanuel Wilson,1937
Emari Demercado,1206
Emeka Egbuka,6266
Emmett Johnson,2498
Erick All,2007
Evan Engram,2441
Fernando Mendoza,5468
Foster Moreau,998
Frank Gore,903
Gabriel Davis,1074
Gardner Minshew,1199
Garrett Nussmeier,1494
Garrett Wilson,5604
Geno Smith,2226
George Holani,1554
George Kittle,4226
George Pickens,6006
Germie Bernard,2949
Greg Dortch,1156
Greg Dulcich,2964
Gunnar Helm,3433
Harold Fannin,5839
Hassan Haskins,928
Hunter Henry,3060
Isaac Guerendo,1446
Isaac TeSlaa,2781
Isaiah Bond,2042
Isaiah Davis,1812
Isaiah Hodgins,1042
Isaiah Likely,4270
Isiah Pacheco,2252
Israel Abanikanda,1047
J'Mari Taylor,960
J.J. McCarthy,2612
J.K. Dobbins,3062
Ja'Kobi Lane,2428
Ja'Lynn Polk,1396
Ja'Marr Chase,9981
Ja'Tavion Sanders,2633
Jack Bech,2456
Jack Endries,1235
Jacob Cowing,1098
Jacoby Brissett,2549
Jacory Croskey-Merritt,2970
Jadarian Price,4832
Jahan Dotson,1609
Jahmyr Gibbs,9998
Jake Bobo,1000
Jake Ferguson,3938
Jake Tonges,2756
Jakobi Meyers,2991
Jaleel McLaughlin,1306
Jalen Coker,3188
Jalen Hurts,6124
Jalen McMillan,3047
Jalen Milroe,2208
Jalen Nailor,2552
Jalen Royals,1766
Jalen Tolbert,1826
Jalin Hyatt,1268
Jam Miller,812
Jamari Thrash,878
Jameis Winston,1264
James Conner,1705
James Cook,6133
Jameson Williams,4686
Jared Goff,4735
Jared Wiley,1555
Jarquez Hunter,1601
Jauan Jennings,2453
Javon Baker,1054
Javonte Williams,4613
Jawhar Jordan,811
Jaxon Smith-Njigba,9284
Jaxson Dart,6359
Jayden Daniels,7693
Jayden Higgins,3407
Jayden Reed,3363
Jaydon Blue,2130
Jaylen Waddle,4847
Jaylen Warren,3302
Jaylen Wright,2245
Jaylin Lane,1967
Jaylin Noel,2701
Jeremiyah Love,7532
Jeremy McNichols,548
Jeremy Ruckert,1094
Jerome Ford,1436
Jerry Jeudy,2446
Jimmy Horn,1434
Joe Burrow,7374
Joe Flacco,1009
Joe Milton,1565
Joe Mixon,730
John Metchie,1389
Johnny Wilson,639
Jonah Coleman,3151
Jonathan Mingo,1044
Jonathan Taylor,6101
Jonathon Brooks,3443
Jonnu Smith,1465
Jordan Addison,3837
Jordan James,2190
Jordan Love,5511
Jordan Mason,2682
Jordan Watkins,1161
Jordan Whittington,1442
Jordyn Tyson,5274
Josh Allen,9993
Josh Downs,3551
Josh Jacobs,4112
Josh Oliver,1019
Joshua Palmer,1520
Justice Hill,1428
Justin Fields,1990
Justin Herbert,7078
Justin Jefferson,7619
Justin Joly,2509
Juwan Johnson,3017
Kaelon Black,2026
Kaleb Johnson,2304
Kalel Mullings,1128
Kameron Johnson,1208
KaVontae Turpin,1140
Kayshon Boutte,2501
Kaytron Allen,2526
KC Concepcion,4288
KeAndre Lambert-Smith,1426
Keaton Mitchell,2575
Keenan Allen,1196
Kendall Milton,919
Kendre Miller,1749
Kendrick Bourne,1230
Kenneth Gainwell,2966
Kenneth Walker,5521
Kenny McIntosh,991
Kenny Pickett,1031
Kenyon Sadiq,4925
Keon Coleman,2405
Kevin Coleman,2063
Khalil Shakir,2864
Kimani Vidal,2167
Kirk Cousins,1857
Konata Mumpfield,1280
Kyle McCord,592
Kyle Monangai,3477
Kyle Pitts,5521
Kyle Williams,2249
Kyler Murray,3967
Kyren Williams,4956
Ladd McConkey,5553
LaJohntay Wester,558
Lamar Jackson,7613
Le'Veon Moss,922
LeQuint Allen,2051
Lil'Jordan Humphrey,882
Luke McCaffrey,1600
Luke Musgrave,2408
Luke Schoonmaker,1726
Luther Burden,5481
Mac Jones,2668
Mack Hollins,1097
Makai Lemon,5011
Malachi Corley,1265
Malachi Fields,2648
Malik Davis,1531
Malik Heath,517
Malik Nabers,7271
Malik Washington,2596
Malik Willis,3867
Marcus Mariota,1139
Mark Andrews,3515
Marquise Brown,1424
MarShawn Lloyd,2133
Marvin Harrison,4926
Marvin Mims,2041
Mason Rudolph,512
Mason Taylor,3086
Mason Tipton,909
Matthew Golden,3511
Matthew Hibner,1436
Matthew Stafford,3901
Max Klare,3049
Michael Carter,941
Michael Mayer,2801
Michael Penix,2843
Michael Pittman,3376
Michael Trigg,1777
Michael Wilson,3585
Mike Evans,3335
Mike Gesicki,2101
Mike Washington,2328
Mitchell Evans,1744
Najee Harris,1243
Nicholas Singleton,2835
Nick Westbrook-Ikhine,987
Nico Collins,5558
Noah Fant,2049
Noah Gray,2165
Olamide Zaccheaus,1230
Ollie Gordon,2285
Omar Cooper,3567
Omarion Hampton,7052
Oronde Gadsden,4363
Oscar Delp,2761
Parker Washington,3707
Pat Bryant,2473
Pat Freiermuth,2932
Patrick Mahomes,6394
Phil Mafah,1259
Puka Nacua,8733
Quentin Johnston,3557
Quinn Ewers,1778
Quinshon Judkins,5569
Rachaad White,2834
Raheim Sanders,1247
Rashee Rice,4894
Rasheen Ali,1267
Rashid Shaheed,2815
Rashod Bateman,2061
Ray Davis,1954
Ray-Ray McCloud,490
Rhamondre Stevenson,3075
Ricky Pearsall,3484
Rico Dowdle,3148
Riley Leonard,1607
RJ Harvey,3352
Roman Wilson,1490
Rome Odunze,5272
Romeo Doubs,3079
Roschon Johnson,1394
Ryan Flournoy,1992
Sam Darnold,4496
Sam Howell,1009
Sam LaPorta,5606
Sam Roush,1482
Samaje Perine,740
Saquon Barkley,5014
Savion Williams,1612
Sean Tucker,2288
Seth McGowan,1241
Shedeur Sanders,2715
Sione Vaki,923
Skyler Bell,2496
Skyy Moore,925
Spencer Rattler,1516
Stefon Diggs,2109
T.J. Hockenson,3458
Tahj Brooks,1723
Tahj Washington,1340
Tai Felton,1256
Tank Bigsby,2583
Tank Dell,2495
Tanner McKee,1199
Taylen Green,1158
Ted Hurst,2629
Tee Higgins,4959
Terrance Ferguson,3454
Terrell Jennings,556
Terry McLaurin,3560
Tetairoa McMillan,6368
Tez Johnson,2073
Theo Johnson,2793
Tim Patrick,482
Tommy Tremble,1873
Tony Pollard,2812
Tory Horton,2596
Travis Etienne,4418
Travis Hunter,3352
Travis Kelce,3321
Tre Harris,2716
Tre Tucker,2493
TreVeyon Henderson,5373
Trevor Etienne,1987
Trevor Lawrence,6377
Trey Benson,2150
Trey Lance,1039
Trey McBride,8931
Trey Palmer,1168
Treylon Burks,1625
Troy Franklin,2543
Tua Tagovailoa,2682
Tucker Kraft,6044
Tutu Atwell,1495
Ty Chandler,706
Ty Johnson,1269
Ty Simpson,3456
Tyjae Spears,2524
Tyler Allgeier,2671
Tyler Badie,970
Tyler Goodson,1041
Tyler Higbee,1891
Tyler Huntley,1177
Tyler Johnson,562
Tyler Scott,963
Tyler Shough,4849
Tyler Warren,7153
Tyquan Thornton,1739
Tyreek Hill,1666
Tyrell Shavers,995
Tyrone Tracy,2649
Tyson Bagent,1369
Van Jefferson,508
Wan'Dale Robinson,3402
Will Dissly,997
Will Howard,1824
Will Levis,1092
Will Shipley,1538
Woody Marks,2647
Xavier Gipson,907
Xavier Hutchinson,1603
Xavier Legette,1875
Xavier Restrepo,1211
Xavier Worthy,3329
Zach Charbonnet,3362
Zach Ertz,1205
Zach Wilson,939
Zachariah Branch,2717
Zavier Scott,698
Zavion Thomas,1622
Zay Flowers,4948
Zay Jones,551
