name,value
A'Shawn Robinson,248.0
Abdul Carter,6.0
Aidan Hutchinson,1.0
Akeem Davis-Gaither,195.0
Alex Anzalone,175.0
Alex Highsmith,21.0
Alex Singleton,76.0
Alontae Taylor,184.0
Andrew Mukuba,148.0
Andrew Van Ginkel,121.0
Andru Phillips,162.0
Antoine Winfield,53.0
Arnold Ebiketie,247.0
Azeez Al-Shaair,124.0
Barrett Carter,73.0
Blake Cashman,34.0
Bobby Okereke,105.0
Bobby Wagner,106.0
Boye Mafe,246.0
Bradley Chubb,167.0
Brandon Jones,128.0
Brian Branch,37.0
Brian Burns,10.0
Bryan Bresee,189.0
Budda Baker,54.0
Byron Murphy,211.0
Byron Young,20.0
C.J. Gardner-Johnson,186.0
Calen Bullock,227.0
Calijah Kancey,81.0
Cameron Heyward,142.0
Camryn Bynum,223.0
Carl Granderson,177.0
Carson Schwesinger,8.0
Cedric Gray,89.0
Chamarri Conner,102.0
Chase Young,98.0
Chop Robinson,47.0
Chris Jones,99.0
Christian Barmore,140.0
Christian Rozeboom,193.0
Cody Barton,215.0
Cody Simon,174.0
Cole Bishop,71.0
Cooper DeJean,92.0
Craig Woodson,149.0
Dadrion Taylor-Demerson,157.0
Daiyan Henley,72.0
Dallas Turner,46.0
Dane Belton,231.0
Danielle Hunter,28.0
Danny Stutsman,217.0
Dante Trader,229.0
Darius Robinson,244.0
DaRon Bland,152.0
Dax Hill,151.0
Dee Winters,122.0
DeForest Buckner,62.0
DeMarcus Lawrence,238.0
Demario Davis,176.0
DeMarvion Overshown,39.0
Demetrius Knight,90.0
Deommodore Lenoir,207.0
Derrick Brown,84.0
Derrick Harmon,143.0
Derwin James,52.0
DeShon Elliott,77.0
Devin Bush,212.0
Devin Lloyd,57.0
Devin White,109.0
Devon Witherspoon,93.0
Devonte Wyatt,85.0
Dexter Lawrence,43.0
Divine Deablo,135.0
Donovan Ezeiruaku,96.0
Dorance Armstrong,239.0
Drake Thomas,172.0
Dre Greenlaw,136.0
Drue Tranquill,204.0
Ed Oliver,83.0
Edgerrin Cooper,15.0
Eric Wilson,197.0
Ernest Jones,40.0
Evan Williams,224.0
Foyesade Oluokun,32.0
Frankie Luvu,137.0
Fred Warner,25.0
Geno Stone,232.0
George Karlaftis,50.0
Germaine Pratt,194.0
Gervon Dexter,190.0
Grant Delpit,159.0
Greg Rousseau,51.0
Haason Reddick,242.0
Harold Landry,178.0
Henry To'oTo'o,213.0
Jack Campbell,7.0
Jack Kiser,196.0
Jack Sawyer,200.0
Jacob Parrish,154.0
Jaelan Phillips,49.0
Jahdae Barron,156.0
Jalen Carter,45.0
Jalen Pitre,114.0
Jalen Ramsey,221.0
Jalen Redmond,171.0
Jalen Thompson,182.0
Jalon Walker,29.0
Jalyx Hunt,164.0
James Pearce,95.0
Jamien Sherwood,33.0
Jaquan Brisker,60.0
Jared Verse,4.0
Javon Bullard,226.0
Javon Hargrave,250.0
Jeffery Simmons,31.0
Jer'Zhan Newton,132.0
Jeremy Chinn,79.0
Jermaine Johnson,129.0
Jessie Bates,103.0
Jevon Holland,160.0
Ji'Ayir Brown,188.0
Jihaad Campbell,38.0
Joey Bosa,119.0
Jonas Sanker,147.0
Jonathan Greenard,61.0
Jonathon Cooper,67.0
Jordan Battle,78.0
Jordan Davis,118.0
Jordyn Brooks,17.0
Josaiah Stewart,243.0
Joseph Ossai,240.0
Josh Hines-Allen,22.0
Josh Metellus,127.0
Josh Sweat,101.0
Jourdan Lewis,161.0
JT Tuimoloau,201.0
Julian Love,104.0
Justin Reid,222.0
Kaden Elliss,108.0
Kamari Lassiter,236.0
Kamren Curl,111.0
Kamren Kinchens,180.0
Kayvon Thibodeaux,88.0
Keeanu Benton,141.0
Kenneth Grant,163.0
Kenny Moore,208.0
Kerby Joseph,187.0
Kevin Byard,126.0
Kevin Winston,59.0
Khalil Mack,131.0
Kobie Turner,63.0
Kwity Paye,203.0
Kyle Hamilton,23.0
Kyler Gordon,185.0
L'Jarius Sneed,235.0
Laiatu Latu,13.0
Lathan Ransom,146.0
Lavonte David,107.0
Leo Chenal,125.0
Leonard Williams,82.0
Logan Wilson,219.0
Lukas Van Ness,245.0
Mack Wilson,173.0
Malachi Moore,228.0
Malaki Starks,68.0
Malik Mustapha,181.0
Marcus Davenport,241.0
Marcus Jones,234.0
Marlon Humphrey,206.0
Marques Sigle,220.0
Mason Graham,64.0
Matt Milano,205.0
Maxx Crosby,11.0
Micah Parsons,3.0
Mike Green,41.0
Mike Sainristil,155.0
Milton Williams,100.0
Minkah Fitzpatrick,158.0
Montez Sweat,87.0
Mykel Williams,144.0
Myles Garrett,5.0
Myles Murphy,170.0
Nakobe Dean,27.0
Nate Landman,35.0
Nic Scourton,168.0
Nick Bolton,18.0
Nick Bosa,9.0
Nick Cross,115.0
Nick Emmanwori,24.0
Nick Herbig,110.0
Nickolas Martin,199.0
Nik Bonitto,14.0
Nnamdi Madubuike,116.0
Nolan Smith,165.0
Odafe Oweh,202.0
Omar Speights,214.0
Patrick Queen,123.0
Paulson Adebo,150.0
Payton Wilson,65.0
Pete Werner,216.0
Princely Umanmielen,169.0
Quay Walker,19.0
Quentin Lake,69.0
Quincy Williams,139.0
Quinnen Williams,44.0
Rashan Gary,120.0
Reed Blankenship,233.0
Riley Moss,210.0
Robert Spillane,94.0
Ronnie Hickman,230.0
Roquan Smith,16.0
Shemar Stewart,145.0
SirVocea Dennis,198.0
T'Vondre Sweat,133.0
T.J. Edwards,56.0
T.J. Watt,12.0
Talanoa Hufanga,70.0
Tarheeb Still,237.0
Taron Johnson,209.0
Tatum Bethune,218.0
Teddye Buchanan,91.0
Terrel Bernard,74.0
Travis Jones,191.0
Travon Walker,97.0
Tre'von Moehrig,112.0
Tremaine Edmunds,55.0
Trent McDuffie,183.0
Trevin Wallace,138.0
Trey Hendrickson,86.0
Tuli Tuipulotu,48.0
Tykee Smith,36.0
Tyler Nubin,80.0
Tyree Wilson,249.0
Tyrel Dodson,66.0
Uchenna Nwosu,179.0
Upton Stout,153.0
Ventrell Miller,192.0
Walter Nolen,134.0
Will Anderson,2.0
Will Harris,225.0
Will McDonald,166.0
Xavier McKinney,113.0
Xavier Watts,58.0
Yaya Diaby,130.0
Zach Allen,42.0
Zach Sieler,117.0
Zack Baun,26.0
Zaire Franklin,75.0
