alpha,lambda,value_weighted_rank_change
0.0,0.0,0.1494
0.0,0.05,0.2067
0.0,0.1,0.2435
0.0,0.2,0.3403
0.0,0.3,0.4099
0.0,0.5,0.6599
0.05,0.0,0.2395
0.05,0.05,0.2205
0.05,0.1,0.2446
0.05,0.2,0.2977
0.05,0.3,0.4166
0.05,0.5,0.6730
0.1,0.0,0.3317
0.1,0.05,0.2994
0.1,0.1,0.2992
0.1,0.2,0.3161
0.1,0.3,0.4057
0.1,0.5,0.5886
0.2,0.0,0.5260
0.2,0.05,0.4762
0.2,0.1,0.4681
0.2,0.2,0.4494
0.2,0.3,0.4681
0.2,0.5,0.6330
0.3,0.0,0.7168
0.3,0.05,0.6950
0.3,0.1,0.6697
0.3,0.2,0.6032
0.3,0.3,0.5930
0.3,0.5,0.6515
0.5,0.0,1.5485
0.5,0.05,1.4848
0.5,0.1,1.3864
0.5,0.2,1.2991
0.5,0.3,1.1804
0.5,0.5,1.0051
